Lieu de prêt,Emplacement,"Nb prêt
01/09/17","Nb prêt
02/09/17","Nb prêt
04/09/17","Nb prêt
05/09/17","Nb prêt
06/09/17","Nb prêt
07/09/17","Nb prêt
08/09/17","Nb prêt
09/09/17","Nb prêt
11/09/17","Nb prêt
12/09/17","Nb prêt
13/09/17","Nb prêt
14/09/17","Nb prêt
15/09/17","Nb prêt
16/09/17","Nb prêt
18/09/17","Nb prêt
19/09/17","Nb prêt
20/09/17","Nb prêt
21/09/17","Nb prêt
22/09/17","Nb prêt
23/09/17","Nb prêt
25/09/17","Nb prêt
26/09/17","Nb prêt
27/09/17","Nb prêt
28/09/17","Nb prêt
29/09/17","Nb prêt
30/09/17"
TOTAL                    ,                   ,1153,1143,119,1008,2525,625,941,2556,290,780,2698,602,993,2133,297,1071,2429,518,959,1763,347,1081,2663,573,1199,2313
Bourg                    ,TOTAL              ,169,0,0,130,435,0,133,0,0,135,346,0,223,0,0,92,439,0,149,0,0,189,445,0,286,0
                         ,ALBUMS             ,49,0,0,17,161,0,24,0,0,10,88,0,85,0,0,41,117,0,57,0,0,55,106,0,77,0
                         ,ARTS               ,0,0,0,0,5,0,0,0,0,0,4,0,1,0,0,0,4,0,4,0,0,4,8,0,2,0
                         ,GRAPHISME          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
                         ,BD ADULTES         ,2,0,0,0,14,0,9,0,0,20,14,0,0,0,0,0,10,0,7,0,0,13,4,0,11,0
                         ,BD JEUNESSE        ,22,0,0,45,71,0,22,0,0,22,60,0,30,0,0,15,121,0,8,0,0,31,117,0,42,0
                         ,CINEMA ADULTES     ,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
                         ,DANSE              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
