Lieu de prêt,Emplacement,"Nb prêt
02/01/19","Nb prêt
03/01/19","Nb prêt
04/01/19","Nb prêt
05/01/19","Nb prêt
07/01/19","Nb prêt
08/01/19","Nb prêt
09/01/19","Nb prêt
10/01/19","Nb prêt
11/01/19","Nb prêt
12/01/19","Nb prêt
14/01/19","Nb prêt
15/01/19","Nb prêt
16/01/19","Nb prêt
17/01/19","Nb prêt
18/01/19","Nb prêt
19/01/19","Nb prêt
21/01/19","Nb prêt
22/01/19","Nb prêt
23/01/19","Nb prêt
24/01/19","Nb prêt
25/01/19","Nb prêt
26/01/19","Nb prêt
28/01/19","Nb prêt
29/01/19","Nb prêt
30/01/19","Nb prêt
31/01/19"
TOTAL                    ,                   ,2295,1264,1700,1666,375,1626,2496,852,1040,2640,221,1208,2542,647,1073,2588,219,1209,2302,852,1136,2821,323,1000,2806,728
Haute-Chaussée           ,TOTAL              ,0,0,0,0,0,12,124,36,6,0,0,15,84,52,49,0,0,11,29,8,6,0,0,15,86,31
                         ,ALBUMS             ,0,0,0,0,0,1,13,2,0,0,0,0,6,0,12,0,0,0,7,0,1,0,0,1,6,0
                         ,ARTS               ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD JEUNESSE        ,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,DANSE              ,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,8,0,0,0,0,0,13,8,4,0,0,1,2,0,0,0,0,2,19,1
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,1,9,0,0,0,0,0,15,16,2,0,0,1,2,0,1,0,0,1,10,3
                         ,JEUX A REGLES      ,0,0,0,0,0,2,31,9,2,0,0,9,13,17,9,0,0,7,7,7,2,0,0,4,19,15
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,1,8,5,3,0,0,5,8,4,3,0,0,1,4,0,0,0,0,1,4,0
                         ,JEUX VIDEO         ,0,0,0,0,0,2,9,1,0,0,0,0,0,0,3,0,0,1,1,0,2,0,0,1,4,2
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,PRESSE             ,0,0,0,0,0,2,32,13,1,0,0,0,9,4,11,0,0,0,1,0,0,0,0,3,21,10
                         ,FONDS PRO          ,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0
                         ,RELIGIONS          ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,0,0,0,0,0,2,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,1,0
                         ,ROMANS JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,1,0
                         ,SCIENCES           ,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,SOCIETE            ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,1458,854,1049,1666,19,915,1145,623,498,2223,3,641,1233,396,508,2144,4,722,1247,621,660,2301,0,493,1350,485
                         ,ALBUMS             ,184,116,164,226,0,125,196,67,50,374,0,47,265,52,62,269,0,117,211,80,133,386,0,59,232,48
                         ,ARTS               ,8,27,9,23,0,22,21,6,5,32,0,13,23,8,11,34,0,9,12,6,11,50,0,5,20,21
