Lieu de prêt,Emplacement,"Nb prêt
01/08/18","Nb prêt
02/08/18","Nb prêt
03/08/18","Nb prêt
06/08/18","Nb prêt
07/08/18","Nb prêt
08/08/18","Nb prêt
09/08/18","Nb prêt
10/08/18","Nb prêt
13/08/18","Nb prêt
14/08/18","Nb prêt
16/08/18","Nb prêt
17/08/18","Nb prêt
20/08/18","Nb prêt
21/08/18","Nb prêt
22/08/18","Nb prêt
23/08/18","Nb prêt
24/08/18","Nb prêt
27/08/18","Nb prêt
28/08/18","Nb prêt
29/08/18","Nb prêt
30/08/18","Nb prêt
31/08/18"
TOTAL                    ,                   ,1607,789,1010,166,1374,1324,1011,943,41,1650,1141,1361,199,1298,1183,1234,1339,158,1546,2004,1013,1320
Haute-Chaussée           ,TOTAL              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,64,21,23
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,6
                         ,JEUX A REGLES      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,7
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,10
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0
                         ,PRESSE             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
                         ,ROMANS ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
Charles-Gautier-Hermeland,TOTAL              ,1136,649,722,24,939,971,853,726,28,1277,905,957,6,966,955,969,781,7,1139,1406,794,794
                         ,ALBUMS             ,161,77,20,0,119,119,107,101,1,128,66,145,0,97,156,123,65,0,157,222,154,130
                         ,ARTS               ,9,5,16,2,11,8,17,8,0,18,14,8,0,5,5,9,13,0,12,13,25,10
                         ,GRAPHISME          ,1,4,4,1,6,7,4,3,0,6,2,4,0,4,2,9,3,0,12,4,1,4
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,68,27,66,4,72,34,75,26,8,131,48,46,0,107,72,34,52,0,78,73,44,47
                         ,BD JEUNESSE        ,128,120,104,0,142,164,107,108,8,192,205,113,0,156,264,165,133,0,220,226,110,152
                         ,CINEMA ADULTES     ,58,17,48,2,66,102,76,52,1,103,80,61,0,61,27,60,57,1,52,107,37,64
                         ,CINEMA JEUNESSE    ,38,22,21,5,21,28,44,26,1,34,36,36,0,29,21,54,9,1,31,52,26,27
                         ,CINEMA             ,1,0,0,0,0,4,0,1,0,2,1,2,0,1,1,0,0,0,1,0,1,1
                         ,DANSE              ,3,3,6,0,0,5,5,3,0,4,0,5,3,11,0,1,1,0,0,1,0,1
                         ,GEOGRAPHIE         ,37,25,16,0,17,4,24,12,0,34,16,19,0,18,7,15,9,0,29,11,8,12
                         ,HISTOIRE           ,14,14,12,0,16,13,13,3,0,21,9,7,0,21,1,14,15,0,20,18,4,4
                         ,INFORMATIQUE       ,2,1,1,0,2,6,2,0,0,8,3,9,0,7,5,6,5,0,5,7,3,8
                         ,JEUX D'ASSEMBLAGE  ,5,2,3,0,8,7,6,6,0,9,8,8,0,1,9,16,5,0,12,10,5,6
                         ,JEUX D'EXERCICES   ,3,4,6,0,3,6,2,7,0,9,1,2,0,5,6,9,0,0,7,14,9,4
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
                         ,JEUX               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,JEUX A REGLES      ,38,20,19,3,37,18,33,18,3,29,7,34,0,21,45,28,12,0,26,54,35,14
                         ,JEUX SYMBOLIQUES   ,6,9,4,0,14,8,2,5,0,14,7,6,0,13,6,21,9,0,10,28,11,13
                         ,JEUX VIDEO         ,0,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
                         ,LANGUES            ,13,5,2,0,4,11,0,1,0,14,1,3,0,6,6,3,1,0,7,8,3,1
                         ,LITTERATURE        ,6,2,7,0,5,1,1,1,0,2,4,0,0,8,4,4,5,0,0,5,5,0
                         ,FONDS LOCAL        ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,23,4,5,1,14,3,16,2,0,5,21,18,0,10,8,18,5,0,9,8,5,4
                         ,MUSIQUE ADULTES    ,47,24,48,0,29,30,64,21,0,46,41,31,0,60,20,25,59,0,39,67,36,27
                         ,MUSIQUE            ,0,1,1,0,1,0,1,0,0,0,1,2,0,0,1,1,0,0,1,1,0,0
                         ,MUSIQUE JEUNESSE   ,23,14,0,0,8,5,10,24,0,11,12,23,0,15,10,8,2,0,13,29,20,10
                         ,PHILOSOPHIE        ,8,3,5,1,4,6,2,1,0,7,3,3,0,2,1,2,3,0,2,0,2,3
                         ,PRESSE             ,65,18,40,0,34,74,34,27,0,25,25,46,2,27,45,60,34,0,68,42,48,37
                         ,FONDS PRO          ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,2,0,0
                         ,PSYCHOLOGIE        ,9,4,13,0,1,5,4,1,0,15,17,16,0,6,9,10,5,0,10,14,7,4
                         ,RELIGIONS          ,5,2,3,0,7,1,3,4,0,4,7,5,0,8,2,6,9,0,3,3,9,1
                         ,ROMANS ADULTES     ,164,72,107,2,170,141,78,107,1,179,113,125,0,103,90,106,121,1,153,140,85,94
                         ,ROMANS JEUNESSE    ,113,57,44,0,58,43,48,89,2,105,86,47,0,60,50,68,92,1,67,137,49,45
                         ,SCIENCES           ,29,35,18,0,10,24,27,27,0,14,13,22,0,12,32,27,21,0,16,26,11,22
                         ,SOCIETE            ,10,18,20,0,18,19,8,4,2,24,14,42,0,13,18,10,9,0,12,42,12,18
                         ,SPORTS ET LOISIRS  ,4,8,4,2,6,4,3,10,0,4,1,7,0,3,1,3,3,0,1,7,6,2
                         ,VIE PRATIQUE       ,31,26,19,0,31,54,27,26,0,33,27,16,1,22,24,27,19,1,53,31,20,14
                         ,THEATRE            ,13,3,35,0,5,17,8,0,0,42,16,43,0,50,7,23,2,0,12,4,3,13
                         ,VERSION ORIGINALE  ,1,2,4,0,0,0,0,1,0,5,0,1,0,0,0,0,2,0,0,0,0,2
                         ,xx                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bellevue                 ,TOTAL              ,173,0,105,130,83,147,0,103,7,142,0,138,185,87,62,0,228,146,217,215,0,193
                         ,ALBUMS             ,18,0,18,19,15,28,0,11,0,18,0,22,42,10,18,0,18,32,44,47,0,18
                         ,ARTS               ,1,0,0,1,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,3,0,2
                         ,BD ADULTES         ,5,0,1,4,1,14,0,7,0,1,0,4,3,0,2,0,17,0,0,11,0,2
                         ,BD JEUNESSE        ,53,0,51,31,7,32,0,26,0,52,0,41,31,34,12,0,47,38,57,26,0,43
                         ,CINEMA ADULTES     ,4,0,2,6,7,7,0,6,1,9,0,17,16,2,0,0,39,0,7,7,0,17
                         ,CINEMA JEUNESSE    ,11,0,1,12,2,3,0,0,0,11,0,1,14,6,0,0,3,4,5,7,0,15
                         ,CINEMA             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,DANSE              ,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,3,0,0
                         ,GEOGRAPHIE         ,1,0,2,7,1,2,0,0,0,1,0,4,3,1,0,0,2,0,7,12,0,4
                         ,HISTOIRE           ,0,0,0,0,2,2,0,1,0,1,0,0,1,0,0,0,7,0,0,2,0,0
                         ,INFORMATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
                         ,LIVRES SUR LES JEUX,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
                         ,LANGUES            ,0,0,2,0,10,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,7
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE ADULTES    ,3,0,0,0,0,4,0,1,1,3,0,1,0,2,2,0,14,1,12,0,0,13
                         ,MUSIQUE JEUNESSE   ,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,3,4,0,6,0,1
                         ,PHILOSOPHIE        ,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,1
                         ,PRESSE             ,17,0,8,6,3,5,0,5,1,7,0,6,8,3,9,0,13,8,28,5,0,16
                         ,PSYCHOLOGIE        ,2,0,0,2,0,1,0,1,0,5,0,3,2,0,1,0,3,0,2,1,0,0
                         ,RELIGIONS          ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,ROMANS ADULTES     ,27,0,13,11,17,35,0,24,0,12,0,23,20,15,12,0,26,34,20,20,0,24
                         ,ROMANS JEUNESSE    ,23,0,1,20,12,8,0,16,4,5,0,5,24,6,6,0,15,23,11,25,0,12
                         ,SCIENCES           ,3,0,2,3,0,0,0,1,0,0,0,0,8,0,0,0,1,0,5,14,0,8
                         ,SOCIETE            ,2,0,2,4,0,0,0,1,0,5,0,1,2,0,0,0,2,0,2,4,0,1
                         ,SPORTS ET LOISIRS  ,0,0,0,0,5,2,0,0,0,0,0,1,1,4,0,0,1,0,0,4,0,2
                         ,VIE PRATIQUE       ,3,0,1,1,0,0,0,3,0,5,0,3,8,2,0,0,5,1,7,14,0,2
                         ,THEATRE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
La Ludothèque            ,TOTAL              ,72,0,31,0,27,23,0,6,0,25,0,46,0,51,13,3,31,4,22,81,0,12
                         ,AUTOUR DU JEU      ,7,0,1,0,5,0,0,0,0,4,0,1,0,3,0,0,1,0,0,1,0,2
                         ,BD ADULTES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
                         ,BD JEUNESSE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,JEUX D'ASSEMBLAGE  ,5,0,3,0,2,3,0,0,0,4,0,4,0,6,3,0,2,1,1,7,0,0
                         ,JEUX D'EXERCICES   ,16,0,8,0,1,1,0,0,0,3,0,10,0,4,0,0,4,0,3,22,0,1
                         ,LIVRES SUR LES JEUX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,JEUX A REGLES      ,20,0,15,0,14,14,0,1,0,9,0,26,0,19,9,3,19,3,12,18,0,5
                         ,JEUX SYMBOLIQUES   ,23,0,4,0,4,4,0,4,0,5,0,3,0,17,1,0,5,0,6,20,0,3
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,ROMANS JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
                         ,SCIENCES           ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SOCIETE            ,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
                         ,SPORTS ET LOISIRS  ,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gao Xingjian - Sillon    ,TOTAL              ,226,140,152,12,325,183,158,108,6,206,236,220,8,194,153,261,299,1,166,238,198,298
                         ,ALBUMS             ,30,6,15,8,54,44,32,13,1,20,77,41,0,12,22,37,30,0,6,37,52,53
                         ,ARTS               ,0,0,2,0,0,2,1,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0
                         ,AUTOUR DU JEU      ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,18,20,11,0,23,17,16,10,2,14,23,4,2,29,9,26,35,0,19,14,10,6
                         ,BD JEUNESSE        ,18,3,40,0,62,14,26,17,0,47,21,25,0,28,32,107,62,0,34,35,56,70
                         ,CINEMA ADULTES     ,1,2,1,0,0,1,1,0,0,3,1,0,0,7,0,0,7,0,0,13,2,0
                         ,CINEMA JEUNESSE    ,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0
                         ,GEOGRAPHIE         ,2,3,3,0,1,3,3,1,0,0,0,0,0,0,0,0,5,0,0,3,1,1
                         ,HISTOIRE           ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
                         ,INFORMATIQUE       ,0,1,1,0,0,0,0,1,0,2,0,3,0,0,1,0,1,0,0,0,0,1
                         ,JEUX D'ASSEMBLAGE  ,4,0,0,0,0,0,2,0,0,0,2,0,0,1,1,0,1,0,1,2,4,0
                         ,JEUX A REGLES      ,31,17,30,0,26,15,16,11,1,14,13,16,2,20,10,3,16,0,18,33,16,30
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,JEUX VIDEO         ,14,8,7,0,16,7,4,3,0,15,15,10,0,25,4,2,5,0,6,8,3,5
                         ,LANGUES            ,7,6,2,0,0,2,6,17,0,10,1,0,0,6,1,2,9,0,6,4,3,2
                         ,LOISIRS CREATIFS   ,1,0,1,0,0,0,0,1,0,6,3,8,0,0,2,5,2,0,1,2,2,9
                         ,MUSIQUE ADULTES    ,2,2,2,0,0,2,1,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0
                         ,MUSIQUE JEUNESSE   ,4,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,3,0,1,1,2,0
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,5,0,3,0,3,16,8,1,0,3,4,15,1,12,18,10,18,0,3,6,8,21
                         ,FONDS PRO          ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,6,1,0,0,2,3,2,5,0,2,9,7,1,4,4,4,8,0,1,5,1,5
                         ,ROMANS ADULTES     ,18,50,13,0,42,24,22,11,1,41,31,31,0,24,14,30,35,0,28,24,14,29
                         ,ROMANS JEUNESSE    ,20,12,6,3,67,22,10,6,0,16,19,30,0,21,18,27,41,0,29,19,9,26
                         ,SCIENCES           ,4,2,2,0,4,2,1,0,1,1,5,3,1,2,1,1,3,0,5,6,2,20
                         ,SOCIETE            ,10,2,2,0,11,2,2,0,0,0,3,10,0,0,2,1,0,1,3,6,1,3
                         ,SPORTS ET LOISIRS  ,8,1,2,1,4,1,1,3,0,1,0,1,0,0,1,0,2,0,1,5,1,2
                         ,VIE PRATIQUE       ,19,2,8,0,8,5,2,3,0,10,7,11,1,3,11,6,10,0,3,14,7,12
                         ,THEATRE            ,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,xx                 ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
