Lieu de prêt,Emplacement,"Nb prêt
02/12/19","Nb prêt
03/12/19","Nb prêt
04/12/19","Nb prêt
05/12/19","Nb prêt
06/12/19","Nb prêt
07/12/19","Nb prêt
09/12/19","Nb prêt
10/12/19","Nb prêt
11/12/19","Nb prêt
12/12/19","Nb prêt
13/12/19","Nb prêt
14/12/19","Nb prêt
16/12/19","Nb prêt
17/12/19","Nb prêt
18/12/19","Nb prêt
19/12/19","Nb prêt
20/12/19","Nb prêt
21/12/19","Nb prêt
23/12/19","Nb prêt
24/12/19","Nb prêt
26/12/19","Nb prêt
27/12/19","Nb prêt
28/12/19","Nb prêt
30/12/19","Nb prêt
31/12/19"
TOTAL                    ,                 ,366,1196,2629,622,1073,2577,243,1002,2784,675,1109,3144,281,1544,2564,1049,1051,2565,166,964,1048,1108,1407,151,980
Haute Chaussée           ,TOTAL            ,0,32,159,0,72,0,0,31,181,82,85,0,0,1,132,99,72,0,0,0,0,0,0,0,0
                         ,ALBUMS           ,0,9,60,0,11,0,0,10,46,20,22,0,0,0,44,46,33,0,0,0,0,0,0,0,0
                         ,ARTS             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES       ,0,0,0,0,0,0,0,0,6,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0
                         ,BD JEUNESSE      ,0,8,12,0,5,0,0,7,44,29,2,0,0,0,2,22,3,0,0,0,0,0,0,0,0
                         ,CINEMA ADULTES   ,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE  ,0,0,5,0,0,0,0,1,6,0,8,0,0,1,2,3,1,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,HISTOIRE         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE,0,1,16,0,3,0,0,0,12,5,2,0,0,0,13,3,2,0,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES ,0,0,12,0,1,0,0,0,6,1,6,0,0,0,8,3,4,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES    ,0,2,21,0,5,0,0,1,27,8,15,0,0,0,24,10,14,0,0,0,0,0,0,0,0
                         ,JEUX SYMBOLIQUES ,0,1,13,0,1,0,0,2,4,1,1,0,0,0,3,3,2,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO       ,0,1,2,0,1,0,0,1,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
                         ,LANGUES          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS ,0,0,1,0,2,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE ,0,0,1,0,0,0,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE           ,0,1,3,0,4,0,0,1,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE      ,0,0,1,0,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES   ,0,0,4,0,1,0,0,3,5,6,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS JEUNESSE  ,0,9,5,0,0,0,0,2,5,3,14,0,0,0,5,2,4,0,0,0,0,0,0,0,0
                         ,SCIENCES         ,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SOCIETE          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE     ,0,0,2,0,26,0,0,2,4,1,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0
