Lieu de prêt,Emplacement,"Nb prêt
01/12/17","Nb prêt
02/12/17","Nb prêt
04/12/17","Nb prêt
05/12/17","Nb prêt
06/12/17","Nb prêt
07/12/17","Nb prêt
08/12/17","Nb prêt
09/12/17","Nb prêt
11/12/17","Nb prêt
12/12/17","Nb prêt
13/12/17","Nb prêt
14/12/17","Nb prêt
15/12/17","Nb prêt
16/12/17","Nb prêt
18/12/17","Nb prêt
19/12/17","Nb prêt
20/12/17","Nb prêt
21/12/17","Nb prêt
22/12/17","Nb prêt
23/12/17","Nb prêt
26/12/17","Nb prêt
27/12/17","Nb prêt
28/12/17","Nb prêt
29/12/17","Nb prêt
30/12/17"
TOTAL                    ,                   ,1019,2129,423,1134,2706,518,1193,2199,488,937,2414,589,975,2664,391,1286,2776,704,1179,1057,622,1493,1113,1494,1287
Bourg                    ,TOTAL              ,157,0,0,193,413,2,239,0,0,99,303,53,103,0,0,89,536,0,144,0,0,0,0,0,0
                         ,ALBUMS             ,25,0,0,78,79,2,44,0,0,5,60,44,32,0,0,20,57,0,38,0,0,0,0,0,0
                         ,ARTS               ,0,0,0,1,6,0,5,0,0,1,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0
                         ,GRAPHISME          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,3,0,0,9,27,0,8,0,0,6,1,0,6,0,0,0,40,0,11,0,0,0,0,0,0
                         ,BD JEUNESSE        ,15,0,0,36,106,0,23,0,0,3,74,0,9,0,0,0,140,0,23,0,0,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,DANSE              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,0,0,2,0,1,0,0,3,3,0,4,0,0,0,5,0,0,0,0,0,0,0,0
                         ,HISTOIRE           ,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,7,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
