Lieu de prêt,Emplacement,"Nb prêt
01/12/17","Nb prêt
02/12/17","Nb prêt
04/12/17","Nb prêt
05/12/17","Nb prêt
06/12/17","Nb prêt
07/12/17","Nb prêt
08/12/17","Nb prêt
09/12/17","Nb prêt
11/12/17","Nb prêt
12/12/17","Nb prêt
13/12/17","Nb prêt
14/12/17","Nb prêt
15/12/17","Nb prêt
16/12/17","Nb prêt
18/12/17","Nb prêt
19/12/17","Nb prêt
20/12/17","Nb prêt
21/12/17","Nb prêt
22/12/17","Nb prêt
23/12/17","Nb prêt
26/12/17","Nb prêt
27/12/17","Nb prêt
28/12/17","Nb prêt
29/12/17","Nb prêt
30/12/17"
                         ,JEUX A REGLES      ,1,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
                         ,JEUX VIDEO         ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0
                         ,MUSIQUE ADULTES    ,4,0,0,3,14,0,9,0,0,6,6,0,1,0,0,0,25,0,2,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,3,0,0,6,7,0,2,0,0,2,3,6,3,0,0,3,4,0,0,0,0,0,0,0,0
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,PRESSE             ,25,0,0,6,44,0,22,0,0,1,31,0,4,0,0,7,37,0,2,0,0,0,0,0,0
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0
                         ,RELIGIONS          ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,45,0,0,27,42,0,70,0,0,36,48,2,25,0,0,42,93,0,41,0,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,11,0,0,11,49,0,33,0,0,14,58,0,8,0,0,3,68,0,9,0,0,0,0,0,0
                         ,SCIENCES           ,5,0,0,7,2,0,2,0,0,2,6,0,0,0,0,0,9,0,2,0,0,0,0,0,0
                         ,SOCIETE            ,2,0,0,3,7,0,5,0,0,13,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS  ,2,0,0,0,1,0,2,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,8,0,0,0,15,0,7,0,0,2,5,0,2,0,0,3,28,0,4,0,0,0,0,0,0
                         ,THEATRE            ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haute-Chaussée           ,TOTAL              ,8,0,0,12,56,21,34,0,0,0,24,36,13,0,0,2,47,10,2,0,0,0,0,0,0
                         ,ALBUMS             ,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,1,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,4,12,5,0,0,0,0,1,0,5,0,0,0,7,2,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,1,0,0,4,20,0,2,0,0,0,0,1,2,0,0,0,2,2,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,7,0,0,0,19,4,22,0,0,0,10,2,6,0,0,2,25,4,1,0,0,0,0,0,0
                         ,JEUX SYMBOLIQUES   ,0,0,0,4,4,10,7,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,0,0,0,1,0,1,0,0,0,4,2,0,0,0,0,3,2,0,0,0,0,0,0,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SCIENCES           ,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,505,1822,46,502,1352,408,480,1879,16,464,1208,379,446,2157,16,651,1227,531,473,1057,394,1124,854,1015,1287
                         ,ALBUMS             ,66,296,5,58,292,52,69,221,0,21,281,47,36,296,10,59,153,62,37,165,14,183,120,156,165
                         ,ARTS               ,7,36,4,4,19,7,5,13,1,5,10,12,7,46,0,8,21,20,21,16,7,17,10,17,17
                         ,GRAPHISME          ,1,8,8,1,7,2,0,3,5,0,0,0,6,7,0,3,3,4,2,8,1,6,2,2,2
                         ,AUTOUR DU JEU      ,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
                         ,BD ADULTES         ,34,103,5,17,67,17,22,149,0,20,36,23,23,156,0,45,47,14,28,105,14,54,116,48,131
                         ,BD JEUNESSE        ,50,323,1,31,258,25,67,316,8,26,215,21,42,339,0,111,243,33,41,126,68,175,144,103,218
                         ,CINEMA ADULTES     ,29,123,0,89,59,55,53,122,0,59,43,50,48,168,0,58,94,70,58,77,61,94,67,155,96
                         ,CINEMA JEUNESSE    ,28,49,2,9,44,12,12,82,0,17,61,17,15,57,0,13,41,18,34,51,28,47,18,28,65
                         ,CINEMA             ,1,0,0,1,1,0,0,3,0,0,0,0,1,2,0,0,2,5,2,1,0,2,1,1,1
                         ,DANSE              ,14,10,0,1,4,0,8,11,0,4,5,11,2,8,0,17,1,0,18,4,7,1,3,4,1
                         ,GEOGRAPHIE         ,9,20,0,2,27,9,3,20,0,8,13,3,4,34,0,15,19,6,10,14,13,6,18,20,21
                         ,HISTOIRE           ,6,21,0,9,4,5,5,20,0,3,12,8,15,17,0,8,13,15,4,13,5,20,9,10,6
                         ,INFORMATIQUE       ,0,5,0,1,5,1,3,7,0,0,2,6,0,9,0,2,2,4,1,1,0,8,4,10,5
                         ,JEUX D'ASSEMBLAGE  ,2,15,0,2,15,3,5,11,0,2,16,0,4,14,0,2,21,4,2,10,4,4,0,15,18
                         ,JEUX D'EXERCICES   ,2,15,0,9,16,4,2,10,0,3,21,6,0,21,0,3,14,1,0,3,2,2,0,6,5
                         ,JEUX               ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,JEUX A REGLES      ,13,54,6,14,48,8,9,71,0,8,36,5,14,85,5,12,40,19,17,48,12,38,19,41,40
                         ,JEUX SYMBOLIQUES   ,8,30,2,11,22,3,7,27,1,3,15,5,2,26,0,6,28,2,0,4,4,11,2,7,16
                         ,JEUX VIDEO         ,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
                         ,LANGUES            ,2,8,0,10,2,3,1,12,0,1,7,0,2,8,0,4,2,2,1,2,2,6,11,17,16
                         ,LITTERATURE        ,2,4,2,0,2,0,1,4,0,3,1,1,2,7,0,1,1,1,5,2,4,3,0,0,8
                         ,LOISIRS CREATIFS   ,7,11,1,3,11,4,0,21,0,8,11,5,7,9,0,4,13,6,4,3,0,10,8,6,6
                         ,MUSIQUE ADULTES    ,93,154,1,39,52,28,36,180,0,71,94,21,62,186,0,34,71,59,59,89,55,95,39,69,71
                         ,MUSIQUE            ,2,2,0,2,1,0,0,3,0,2,0,0,0,2,0,1,5,1,0,2,0,0,1,0,1
                         ,MUSIQUE JEUNESSE   ,7,19,2,4,9,2,2,17,0,6,37,0,0,34,0,8,16,14,4,2,2,7,9,1,17
                         ,PHILOSOPHIE        ,3,13,0,4,8,0,3,6,0,5,2,8,5,15,0,3,4,9,4,4,3,7,6,8,9
                         ,PRESSE             ,26,63,0,15,47,11,10,70,0,18,37,8,20,126,0,13,51,8,12,54,19,35,41,17,60
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1
                         ,PSYCHOLOGIE        ,4,15,0,8,11,2,14,20,0,13,7,5,2,17,0,2,6,8,1,6,1,9,3,2,6
                         ,RELIGIONS          ,1,7,0,7,6,1,1,5,0,6,4,2,2,2,0,2,5,5,0,2,3,1,3,2,5
                         ,ROMANS ADULTES     ,38,142,0,104,130,76,71,175,0,81,104,49,63,173,0,127,141,66,53,119,36,91,113,61,106
                         ,ROMANS JEUNESSE    ,6,115,7,11,91,15,14,108,0,5,44,13,17,102,0,13,101,14,17,58,9,82,31,65,63
                         ,SCIENCES           ,6,24,0,5,15,7,23,26,0,5,41,6,13,37,1,5,20,6,7,13,2,24,22,26,16
                         ,SOCIETE            ,6,41,0,14,13,5,9,31,0,10,15,15,7,40,0,20,14,7,10,19,5,29,16,26,26
                         ,SPORTS ET LOISIRS  ,1,10,0,2,6,0,1,7,0,4,2,2,4,11,0,3,9,0,2,9,4,4,2,8,3
                         ,VIE PRATIQUE       ,12,61,0,10,44,5,23,35,1,16,23,20,12,85,0,14,18,25,11,25,3,20,11,59,37
                         ,THEATRE            ,19,23,0,4,12,44,1,70,0,28,13,10,9,18,0,32,8,21,5,1,5,28,3,25,28
                         ,VERSION ORIGINALE  ,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
                         ,xx                 ,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1
Bellevue                 ,TOTAL              ,145,0,371,180,499,0,260,0,464,190,522,24,229,0,375,221,571,16,239,0,66,156,0,172,0
                         ,ALBUMS             ,11,0,71,55,69,0,43,0,178,41,80,14,41,0,89,24,137,9,30,0,6,9,0,23,0
                         ,ARTS               ,1,0,1,4,6,0,2,0,3,3,2,0,1,0,2,0,2,0,0,0,5,4,0,2,0
                         ,GRAPHISME          ,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
                         ,BD ADULTES         ,7,0,23,17,23,0,9,0,14,23,42,0,6,0,9,27,41,0,36,0,8,14,0,6,0
                         ,BD JEUNESSE        ,36,0,75,33,150,0,39,0,77,56,152,4,49,0,46,31,160,2,45,0,1,49,0,56,0
                         ,CINEMA ADULTES     ,5,0,22,11,19,0,21,0,10,6,20,0,5,0,16,12,7,0,17,0,9,18,0,13,0
                         ,CINEMA JEUNESSE    ,0,0,15,4,17,0,14,0,13,4,26,1,10,0,28,8,25,1,8,0,2,2,0,9,0
                         ,CINEMA             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,DANSE              ,0,0,0,2,0,0,1,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,2,0,4,1,4,0,0,0,4,0,2,0,5,0,2,1,1,0,5,0,0,1,0,1,0
                         ,HISTOIRE           ,4,0,2,0,2,0,3,0,1,0,4,0,1,0,2,3,3,0,1,0,0,1,0,0,0
                         ,INFORMATIQUE       ,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,1,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,0,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,5,0,1,0,0,0,0,7,0
                         ,JEUX SYMBOLIQUES   ,0,0,0,1,5,0,0,0,0,0,0,0,9,0,0,0,3,0,2,0,0,0,0,0,0
                         ,JEUX VIDEO         ,1,0,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,4,0,4,0,3,0,4,0,1,0,1,0,1,0,2,3,1,0,2,0,1,0,0,1,0
                         ,LITTERATURE        ,2,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,2,1,1,0,2,0,0,0,6,0,4,0,2,1,3,0,2,0,0,3,0,0,0
                         ,MUSIQUE ADULTES    ,3,0,5,4,2,0,8,0,8,4,12,0,15,0,14,4,8,0,6,0,0,2,0,4,0
                         ,MUSIQUE JEUNESSE   ,3,0,3,4,7,0,3,0,8,0,13,0,2,0,8,2,5,0,2,0,0,0,0,0,0
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,1,0,3,0,1,0,3,0,0,0,5,0,3,0,2,1,0,1,0
                         ,PRESSE             ,12,0,22,12,26,0,13,0,19,7,21,0,5,0,31,10,18,0,14,0,1,12,0,3,0
                         ,PSYCHOLOGIE        ,2,0,2,0,3,0,0,0,1,0,1,0,1,0,0,1,5,0,5,0,0,0,0,0,0
                         ,RELIGIONS          ,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,25,0,35,11,24,0,35,0,19,16,32,0,19,0,41,27,31,0,27,0,19,18,0,20,0
                         ,ROMANS JEUNESSE    ,21,0,59,9,63,0,50,0,75,17,63,0,24,0,46,48,77,2,23,0,3,15,0,21,0
                         ,SCIENCES           ,3,0,1,3,27,0,5,0,7,6,8,2,11,0,11,2,8,0,1,0,0,2,0,0,0
                         ,SOCIETE            ,0,0,6,2,14,0,3,0,10,3,2,0,1,0,9,4,0,1,1,0,0,0,0,1,0
                         ,SPORTS ET LOISIRS  ,0,0,2,0,5,0,1,0,0,0,6,0,1,0,3,0,2,1,2,0,2,0,0,0,0
                         ,VIE PRATIQUE       ,2,0,12,6,21,0,2,0,4,3,20,3,3,0,13,11,20,0,4,0,3,4,0,2,0
                         ,THEATRE            ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
La Ludothèque            ,TOTAL              ,63,18,0,27,88,0,29,42,0,41,82,0,27,72,0,33,82,0,49,0,14,45,0,45,0
                         ,ALBUMS             ,0,0,0,0,5,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,4,0,0,0,0
                         ,ARTS               ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,AUTOUR DU JEU      ,3,2,0,4,4,0,3,0,0,10,7,0,4,3,0,5,3,0,1,0,1,14,0,1,0
                         ,BD ADULTES         ,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
                         ,BD JEUNESSE        ,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,1,0,3,0,0,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
                         ,DANSE              ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,HISTOIRE           ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,11,4,0,2,10,0,4,8,0,0,8,0,3,6,0,8,9,0,5,0,1,2,0,5,0
                         ,JEUX D'EXERCICES   ,13,0,0,2,8,0,1,1,0,14,3,0,4,6,0,1,13,0,7,0,1,2,0,5,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,JEUX               ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,11,5,0,12,20,0,14,19,0,14,38,0,9,26,0,13,41,0,22,0,2,9,0,21,0
                         ,JEUX SYMBOLIQUES   ,21,7,0,5,33,0,3,14,0,0,19,0,6,19,0,6,11,0,9,0,0,13,0,10,0
                         ,JEUX VIDEO         ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
                         ,ROMANS JEUNESSE    ,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
                         ,SCIENCES           ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SOCIETE            ,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,SPORTS ET LOISIRS  ,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gao Xingjian - Sillon    ,TOTAL              ,141,289,6,220,298,87,151,278,8,143,275,97,157,435,0,290,313,147,272,0,148,168,259,262,0
                         ,ALBUMS             ,43,40,1,50,102,13,17,33,0,33,38,13,36,70,0,29,66,23,48,0,24,27,45,48,0
                         ,ARTS               ,0,0,1,6,0,0,0,1,0,0,0,0,1,2,0,0,0,1,6,0,1,0,0,0,0
                         ,GRAPHISME          ,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
                         ,BD ADULTES         ,7,23,3,8,26,2,12,52,0,3,8,10,13,72,0,20,11,6,26,0,19,9,37,6,0
                         ,BD JEUNESSE        ,9,44,0,29,38,15,15,87,3,10,78,15,16,74,0,58,82,23,32,0,26,19,47,68,0
                         ,CINEMA ADULTES     ,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,7,2,1,0,0
                         ,CINEMA JEUNESSE    ,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,DANSE              ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,3,4,0,0,0,0,1,0
                         ,HISTOIRE           ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,1,2,0,1,0
                         ,JEUX D'ASSEMBLAGE  ,1,0,0,1,1,1,0,0,0,0,1,3,1,2,0,1,3,2,0,0,0,1,0,1,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,20,47,0,15,31,9,14,16,1,15,20,7,27,29,0,24,23,10,36,0,10,36,31,25,0
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
                         ,JEUX VIDEO         ,1,8,0,5,8,2,4,18,0,5,8,0,2,14,0,5,9,11,5,0,7,15,10,10,0
                         ,LANGUES            ,6,12,0,3,0,0,11,2,0,1,1,3,0,10,0,13,5,1,2,0,1,2,0,5,0
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,2,3,0,4,10,3,3,6,0,0,18,1,15,4,0,5,2,0,1,0,2,0,2,1,0
                         ,MUSIQUE ADULTES    ,0,1,0,0,0,0,1,0,0,1,1,0,3,9,0,0,0,0,0,0,0,1,1,0,0
                         ,MUSIQUE JEUNESSE   ,0,1,0,5,1,0,1,2,0,2,2,0,0,1,0,1,1,0,1,0,0,0,3,2,0
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
                         ,PRESSE             ,7,13,0,7,5,2,9,23,1,6,34,1,6,24,0,19,5,13,25,0,0,2,9,17,0
                         ,FONDS PRO          ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,2,2,0,14,3,6,2,1,0,1,2,0,0,6,0,5,1,2,2,0,0,1,1,2,0
                         ,RELIGIONS          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,21,55,1,39,49,23,34,12,1,32,21,32,17,49,0,63,33,14,62,0,14,26,51,25,0
                         ,ROMANS JEUNESSE    ,8,9,0,11,19,3,11,10,1,12,18,4,6,46,0,22,42,15,5,0,21,12,15,36,0
                         ,SCIENCES           ,1,1,0,5,0,0,1,3,0,5,5,3,3,4,0,6,2,0,0,0,2,1,4,2,0
                         ,SOCIETE            ,6,8,0,9,1,0,6,6,0,5,3,0,3,3,0,0,9,7,3,0,4,1,0,2,0
                         ,SPORTS ET LOISIRS  ,1,0,0,0,0,0,6,1,0,0,0,0,1,2,0,1,2,0,3,0,0,1,0,1,0
                         ,VIE PRATIQUE       ,6,9,0,5,3,4,1,5,1,5,16,1,3,8,0,8,11,2,10,0,7,6,2,6,0
                         ,THEATRE            ,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
