Lieu de prêt,Emplacement,"Nb prêt
01/10/19","Nb prêt
02/10/19","Nb prêt
03/10/19","Nb prêt
04/10/19","Nb prêt
05/10/19","Nb prêt
07/10/19","Nb prêt
08/10/19","Nb prêt
09/10/19","Nb prêt
10/10/19","Nb prêt
11/10/19","Nb prêt
12/10/19","Nb prêt
14/10/19","Nb prêt
15/10/19","Nb prêt
16/10/19","Nb prêt
17/10/19","Nb prêt
18/10/19","Nb prêt
19/10/19","Nb prêt
21/10/19","Nb prêt
22/10/19","Nb prêt
23/10/19","Nb prêt
24/10/19","Nb prêt
25/10/19","Nb prêt
26/10/19","Nb prêt
28/10/19","Nb prêt
29/10/19","Nb prêt
30/10/19","Nb prêt
31/10/19"
TOTAL                    ,                 ,1484,2595,657,1239,2664,292,1161,3498,660,1375,2391,307,1264,2374,805,1214,2754,265,2000,2122,1203,1591,1419,473,2010,2228,1005
Haute Chaussée           ,TOTAL            ,58,137,34,64,0,0,36,209,38,26,0,0,88,125,44,48,0,0,67,113,129,79,0,0,48,144,68
                         ,ALBUMS           ,22,31,12,11,0,0,17,55,6,13,0,0,35,40,9,7,0,0,27,12,32,12,0,0,8,35,1
                         ,AUTOUR DU JEU    ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,BD ADULTES       ,1,0,0,0,0,0,0,4,1,0,0,0,0,9,0,2,0,0,0,2,4,0,0,0,0,0,0
                         ,BD JEUNESSE      ,14,12,4,8,0,0,5,26,9,0,0,0,17,16,6,15,0,0,5,27,4,4,0,0,6,9,24
                         ,CINEMA ADULTES   ,0,0,0,4,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0
                         ,CINEMA JEUNESSE  ,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,1,0,0,1,3,0
                         ,GEOGRAPHIE       ,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,HISTOIRE         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,INFORMATIQUE     ,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,4
                         ,JEUX D'ASSEMBLAGE,1,7,0,2,0,0,2,13,0,1,0,0,3,11,2,0,0,0,1,2,4,0,0,0,1,17,2
                         ,JEUX D'EXERCICES ,2,7,2,2,0,0,0,5,0,0,0,0,1,9,0,0,0,0,1,2,5,3,0,0,0,5,3
                         ,JEUX A REGLES    ,6,23,5,8,0,0,8,28,9,3,0,0,13,22,8,6,0,0,8,17,22,11,0,0,19,26,8
                         ,JEUX SYMBOLIQUES ,2,11,0,2,0,0,2,17,0,1,0,0,2,4,0,2,0,0,2,4,7,3,0,0,7,2,3
                         ,JEUX VIDEO       ,1,2,1,0,0,0,0,8,0,0,0,0,1,0,0,1,0,0,2,5,3,0,0,0,2,6,1
                         ,LANGUES          ,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
                         ,LITTERATURE      ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,LOISIRS CREATIFS ,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,3,2,13,0,0,0,0,0
                         ,MUSIQUE ADULTES  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE ,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0
                         ,PHILOSOPHIE      ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,PRESSE           ,4,13,0,0,0,0,0,11,0,0,0,0,4,6,0,0,0,0,0,4,3,0,0,0,0,10,5
                         ,PSYCHOLOGIE      ,0,3,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,5,1,1,0,0,0,0,2
                         ,RELIGIONS        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES   ,1,8,4,3,0,0,1,3,2,7,0,0,4,1,3,2,0,0,6,2,19,3,0,0,0,3,1
                         ,ROMANS JEUNESSE  ,1,5,4,13,0,0,1,16,4,0,0,0,3,1,10,7,0,0,5,24,5,15,0,0,1,21,0
                         ,SCIENCES         ,0,1,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,2,2,4
                         ,SOCIETE          ,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0
                         ,SPORTS ET LOISIRS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,VIE PRATIQUE     ,2,7,0,5,0,0,0,9,0,0,0,0,2,0,1,0,0,0,1,0,9,9,0,0,0,1,8
                         ,THEATRE          ,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL            ,802,1279,462,663,2328,31,614,1871,453,673,2076,28,450,1294,630,635,2515,9,1339,1398,808,969,1397,62,1342,1394,665
                         ,ALBUMS           ,142,230,65,99,303,16,84,319,13,158,282,0,82,219,87,99,417,1,237,215,148,111,117,25,201,197,83
                         ,ARTS             ,10,9,5,6,36,0,11,14,20,10,17,2,2,13,12,10,20,0,10,14,1,7,32,2,16,13,11
                         ,GRAPHISME        ,3,3,1,8,11,0,1,7,9,0,7,0,1,7,4,2,4,0,4,6,3,5,11,0,3,6,2
