Lieu de prêt,Emplacement,"Nb prêt
01/06/17","Nb prêt
02/06/17","Nb prêt
03/06/17","Nb prêt
06/06/17","Nb prêt
07/06/17","Nb prêt
08/06/17","Nb prêt
09/06/17","Nb prêt
10/06/17","Nb prêt
12/06/17","Nb prêt
13/06/17","Nb prêt
14/06/17","Nb prêt
15/06/17","Nb prêt
16/06/17","Nb prêt
17/06/17","Nb prêt
19/06/17","Nb prêt
20/06/17","Nb prêt
21/06/17","Nb prêt
22/06/17","Nb prêt
23/06/17","Nb prêt
24/06/17","Nb prêt
26/06/17","Nb prêt
27/06/17","Nb prêt
28/06/17","Nb prêt
29/06/17","Nb prêt
30/06/17"
TOTAL                    ,                   ,831,991,2315,1067,2770,666,1203,1452,262,1122,2242,536,823,1756,153,928,2295,579,1135,1718,265,1193,2542,641,921
Bourg                    ,TOTAL              ,44,242,0,126,397,17,274,0,14,202,404,22,132,0,0,189,686,7,217,0,0,143,403,0,94
                         ,ALBUMS             ,40,91,0,33,85,0,90,0,10,30,122,19,15,0,0,68,218,0,66,0,0,50,66,0,20
                         ,ARTS               ,0,0,0,2,2,0,4,0,0,7,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0
                         ,BD ADULTES         ,0,10,0,5,30,0,16,0,0,12,9,0,7,0,0,9,20,0,12,0,0,2,12,0,2
                         ,BD JEUNESSE        ,0,35,0,27,78,4,35,0,0,63,89,3,19,0,0,32,125,1,23,0,0,23,91,0,7
                         ,CINEMA ADULTES     ,0,0,0,0,1,0,12,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,1
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,CINEMA             ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,12,0,2,7,0,0,0,0,1,4,0,4,0,0,2,9,1,4,0,0,2,3,0,6
                         ,HISTOIRE           ,0,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,3,0,1
                         ,INFORMATIQUE       ,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,2,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
                         ,JEUX SYMBOLIQUES   ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,7,1,1,0,0,0,1,0,0
                         ,LETTRES            ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,1,6,0,0,0,0,1,1,0,0,0,0,0,5,0,2,0,0,3,12,0,0
                         ,MUSIQUE ADULTES    ,0,5,0,0,4,0,19,0,0,4,8,0,5,0,0,3,19,1,8,0,0,1,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,1,0,1,4,0,0,0,0,2,11,0,4,0,0,5,3,0,6,0,0,4,0,0,0
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
                         ,PRESSE             ,0,8,0,2,47,0,5,0,0,10,29,0,15,0,0,11,77,0,15,0,0,8,51,0,9
                         ,PSYCHOLOGIE        ,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,2,4,0,2,0,0,0,2,0,0
                         ,RELIGIONS          ,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,ROMANS ADULTES     ,0,41,0,26,54,0,41,0,3,34,47,0,31,0,0,40,62,1,40,0,0,28,67,0,37
                         ,ROMANS JEUNESSE    ,0,21,0,11,57,8,19,0,0,28,47,0,14,0,0,7,79,0,22,0,0,9,69,0,7
                         ,SCIENCES           ,1,4,0,5,3,2,4,0,0,0,11,0,4,0,0,4,15,0,2,0,0,0,4,0,1
                         ,SOCIETE            ,0,2,0,1,4,0,0,0,0,1,5,0,0,0,0,0,9,0,2,0,0,0,1,0,0
                         ,SPORTS ET LOISIRS  ,0,2,0,1,1,3,2,0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,3,0,0
                         ,VIE PRATIQUE       ,1,5,0,5,6,0,17,0,0,4,14,0,6,0,0,6,14,2,10,0,0,6,12,0,3
                         ,THEATRE            ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haute-Chaussée           ,TOTAL              ,43,14,0,2,32,23,17,0,0,0,44,3,21,0,0,0,17,14,21,0,0,0,28,22,20
                         ,ALBUMS             ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,BD ADULTES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,3,3,0,1,3,4,1,0,0,0,8,0,2,0,0,0,4,4,1,0,0,0,3,2,3
                         ,JEUX D'EXERCICES   ,12,0,0,0,2,0,0,0,0,0,11,1,10,0,0,0,4,1,3,0,0,0,2,9,5
                         ,JEUX A REGLES      ,20,7,0,0,12,13,12,0,0,0,13,1,6,0,0,0,6,2,15,0,0,0,11,8,7
                         ,JEUX SYMBOLIQUES   ,3,2,0,0,9,6,1,0,0,0,9,1,2,0,0,0,1,2,0,0,0,0,9,2,3
                         ,JEUX VIDEO         ,3,2,0,0,6,0,3,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,3,0,1
                         ,LANGUES            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,PRESSE             ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,539,427,1967,447,1237,494,547,1258,3,532,910,383,430,1529,4,416,913,380,524,1456,26,633,1283,485,476
                         ,ALBUMS             ,54,43,262,88,205,23,67,147,0,67,189,33,60,209,0,12,139,41,75,172,10,101,196,47,63
                         ,ARTS               ,11,6,33,8,10,9,9,15,0,19,14,5,10,19,0,7,13,6,5,25,0,7,11,14,4
                         ,GRAPHISME          ,4,1,12,0,8,5,3,3,0,0,1,1,4,6,0,0,2,1,1,11,0,3,14,2,0
                         ,BD ADULTES         ,43,39,149,26,45,27,46,68,0,8,37,18,33,78,0,59,45,12,60,111,1,41,64,51,29
                         ,BD JEUNESSE        ,68,50,394,17,163,89,52,253,2,45,133,41,19,364,1,37,168,52,59,276,2,65,299,60,76
                         ,CINEMA ADULTES     ,41,25,117,51,67,25,29,80,0,31,68,48,45,133,1,32,49,36,25,99,1,70,91,31,67
                         ,CINEMA JEUNESSE    ,0,11,94,15,50,15,8,27,0,21,32,7,25,70,0,12,60,12,8,40,1,6,40,19,8
                         ,CINEMA             ,1,0,2,0,1,1,2,1,0,4,2,1,0,0,0,0,2,1,0,1,0,1,3,2,2
                         ,DANSE              ,2,0,16,1,2,14,3,0,0,0,2,1,2,0,0,2,8,0,0,2,0,0,1,1,0
                         ,GEOGRAPHIE         ,13,7,19,11,26,5,15,19,0,16,9,13,5,24,2,7,9,9,4,21,0,13,14,19,8
                         ,HISTOIRE           ,6,1,16,3,26,5,3,13,0,7,5,11,7,12,0,4,11,8,4,13,0,2,9,4,3
                         ,INFORMATIQUE       ,0,4,8,0,7,5,9,3,0,2,0,2,2,5,0,0,4,3,2,7,0,0,1,8,0
                         ,JEUX D'ASSEMBLAGE  ,5,3,18,5,21,2,3,10,0,2,4,5,0,14,0,1,5,6,7,9,0,12,15,3,2
                         ,JEUX D'EXERCICES   ,9,0,18,9,25,9,11,9,0,1,3,0,3,12,0,4,3,4,2,8,0,12,9,9,10
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX               ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,8,12,74,22,38,3,25,53,0,7,21,5,9,41,0,14,18,12,14,52,0,14,47,15,10
                         ,JEUX SYMBOLIQUES   ,4,1,25,11,17,6,6,14,0,5,4,4,3,14,0,7,6,0,2,14,0,18,23,6,4
                         ,JEUX VIDEO         ,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,0,1,12,2,9,2,4,6,0,3,0,0,1,3,0,1,1,0,7,6,0,5,3,1,3
                         ,LITTERATURE        ,1,0,4,5,0,3,0,2,0,5,1,0,3,2,0,2,1,0,0,4,0,2,2,0,0
