Lieu de prêt,Emplacement,"Nb prêt
01/08/19","Nb prêt
02/08/19","Nb prêt
05/08/19","Nb prêt
06/08/19","Nb prêt
07/08/19","Nb prêt
08/08/19","Nb prêt
09/08/19","Nb prêt
12/08/19","Nb prêt
13/08/19","Nb prêt
14/08/19","Nb prêt
16/08/19","Nb prêt
19/08/19","Nb prêt
20/08/19","Nb prêt
21/08/19","Nb prêt
22/08/19","Nb prêt
23/08/19","Nb prêt
26/08/19","Nb prêt
27/08/19","Nb prêt
28/08/19","Nb prêt
29/08/19","Nb prêt
30/08/19"
                         ,RELIGIONS        ,0,3,0,1,0,0,2,0,6,11,3,0,3,1,1,4,0,8,0,2,1
                         ,ROMANS ADULTES   ,93,126,13,177,76,64,132,2,145,203,95,2,225,141,72,126,3,144,114,84,70
                         ,ROMANS JEUNESSE  ,60,44,8,119,69,24,69,2,67,50,59,0,78,74,36,24,0,45,103,92,46
                         ,SCIENCES         ,30,8,0,38,16,34,26,1,33,32,29,0,27,31,38,11,0,33,26,21,37
                         ,SOCIETE          ,19,8,0,18,30,15,23,3,30,22,17,4,24,14,12,11,1,22,14,6,12
                         ,SPORTS ET LOISIRS,1,8,2,6,0,1,8,0,9,20,8,0,5,1,5,2,0,6,4,2,8
                         ,VIE PRATIQUE     ,57,10,1,35,27,14,37,2,24,39,29,0,28,33,14,11,1,36,28,10,15
                         ,THEATRE          ,12,0,0,64,13,4,0,0,9,13,3,0,24,10,14,13,0,10,18,44,54
                         ,VERSION ORIGINALE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bellevue                 ,TOTAL            ,2,111,135,132,136,0,197,12,4,3,0,311,200,166,0,163,146,108,191,0,212
                         ,ALBUMS           ,2,5,14,34,12,0,23,0,0,2,0,48,43,22,0,33,26,14,58,0,66
                         ,ARTS             ,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,2,0,4
                         ,AUTOUR DU JEU    ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES       ,0,5,2,6,8,0,21,0,0,0,0,19,4,5,0,24,1,17,2,0,2
                         ,BD JEUNESSE      ,0,32,42,12,29,0,58,8,1,0,0,71,27,42,0,49,32,26,27,0,76
                         ,CINEMA ADULTES   ,0,9,12,14,6,0,23,1,0,0,0,17,2,5,0,0,9,0,1,0,2
                         ,CINEMA JEUNESSE  ,0,0,5,0,7,0,2,0,0,0,0,9,12,6,0,3,4,0,9,0,4
                         ,DANSE            ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE       ,0,1,2,3,3,0,2,0,0,0,0,6,0,0,0,0,1,0,0,0,1
                         ,HISTOIRE         ,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0
                         ,INFORMATIQUE     ,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,JEUX A REGLES    ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
                         ,JEUX SYMBOLIQUES ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
                         ,LANGUES          ,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,0,0
                         ,LITTERATURE      ,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
                         ,LOISIRS CREATIFS ,0,0,2,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,3,0,3
                         ,MUSIQUE ADULTES  ,0,0,4,12,14,0,2,0,0,0,0,8,4,1,0,1,5,3,0,0,0
                         ,MUSIQUE JEUNESSE ,0,1,1,15,0,0,0,0,0,0,0,4,6,3,0,0,0,1,9,0,1
                         ,PHILOSOPHIE      ,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,1,0,2,0,0
                         ,PRESSE           ,0,1,11,4,11,0,10,0,0,0,0,16,2,48,0,13,5,5,15,0,9
                         ,FONDS PRO        ,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE      ,0,1,0,2,2,0,1,0,0,0,0,4,8,1,0,1,1,1,0,0,0
                         ,RELIGIONS        ,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0
                         ,ROMANS ADULTES   ,0,41,20,8,13,0,32,0,3,0,0,62,32,10,0,15,21,12,20,0,11
                         ,ROMANS JEUNESSE  ,0,7,9,6,17,0,12,2,0,0,0,17,19,15,0,15,17,20,19,0,21
                         ,SCIENCES         ,0,3,3,2,6,0,5,0,0,0,0,5,8,0,0,0,2,2,4,0,1
                         ,SOCIETE          ,0,0,0,6,4,0,1,1,0,0,0,1,2,1,0,0,1,1,0,0,5
                         ,SPORTS ET LOISIRS,0,0,0,1,1,0,2,0,0,0,0,4,0,0,0,0,1,0,3,0,3
                         ,VIE PRATIQUE     ,0,2,4,6,0,0,1,0,0,0,0,11,11,4,0,3,9,5,10,0,3
                         ,THEATRE          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Ludothèque Municipale        ,TOTAL            ,5,3,0,0,0,2,0,0,3,0,0,0,54,64,0,46,0,27,56,3,61
                         ,ALBUMS           ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU    ,0,2,0,0,0,0,0,0,0,0,0,0,3,5,0,6,0,0,4,1,1
                         ,BD JEUNESSE      ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0
                         ,CINEMA ADULTES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,2,6,0,8
                         ,JEUX D'EXERCICES ,0,0,0,0,0,0,0,0,2,0,0,0,11,11,0,3,0,3,17,0,7
                         ,GRANDS JEUX      ,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,22,0,5,0,0,9
                         ,JEUX A REGLES    ,3,1,0,0,0,0,0,0,1,0,0,0,19,9,0,5,0,2,4,0,21
                         ,JEUX SYMBOLIQUES ,1,0,0,0,0,0,0,0,0,0,0,0,11,17,0,9,0,11,22,0,14
                         ,LOISIRS CREATIFS ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,MUSIQUE ADULTES  ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,PHILOSOPHIE      ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,PRESSE           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,ROMANS ADULTES   ,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
                         ,ROMANS JEUNESSE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,SCIENCES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
                         ,SOCIETE          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0
                         ,VIE PRATIQUE     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gao Xingjian - Sillon    ,TOTAL            ,240,178,7,251,167,119,205,29,388,209,295,2,371,103,196,202,9,130,214,222,194
                         ,ALBUMS           ,24,33,2,14,23,6,13,1,56,38,42,0,61,11,9,44,0,16,20,12,27
                         ,ARTS             ,0,0,0,0,1,1,0,1,2,1,0,0,0,0,2,0,0,1,1,0,1
                         ,GRAPHISME        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,AUTOUR DU JEU    ,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES       ,9,2,0,13,15,7,24,1,39,10,33,0,43,17,30,41,0,7,23,52,10
                         ,BD JEUNESSE      ,51,21,0,97,49,35,41,19,70,63,71,0,85,19,52,42,0,20,63,42,72
                         ,CINEMA ADULTES   ,5,0,1,1,2,4,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0
                         ,CINEMA JEUNESSE  ,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0
                         ,GEOGRAPHIE       ,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0
                         ,HISTOIRE         ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE     ,0,2,0,0,2,0,0,0,0,3,0,0,2,0,1,0,0,0,1,1,0
                         ,JEUX D'ASSEMBLAGE,0,1,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,4
                         ,JEUX D'EXERCICES ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
                         ,JEUX A REGLES    ,9,25,0,34,21,11,14,1,21,20,20,0,42,9,26,15,0,13,17,6,9
                         ,JEUX VIDEO       ,26,13,0,9,10,2,14,0,8,6,16,1,14,6,6,10,0,10,6,8,7
                         ,LANGUES          ,1,0,0,8,1,13,3,0,0,6,7,0,4,0,5,1,0,2,4,3,1
                         ,LOISIRS CREATIFS ,6,3,1,4,1,1,5,0,10,0,2,0,10,0,2,0,0,5,3,1,2
                         ,MUSIQUE ADULTES  ,7,0,0,2,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
                         ,MUSIQUE JEUNESSE ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3
                         ,PHILOSOPHIE      ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,PRESSE           ,15,7,3,2,0,7,3,0,15,2,26,0,26,6,6,0,0,1,2,8,4
                         ,PSYCHOLOGIE      ,0,14,0,5,2,0,0,0,7,8,3,0,2,2,2,0,0,6,3,3,2
                         ,RELIGIONS        ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES   ,46,29,0,33,17,12,32,0,106,10,29,0,45,14,27,16,4,34,45,43,25
                         ,ROMANS JEUNESSE  ,30,14,0,12,16,9,38,1,31,19,35,0,22,5,11,19,1,6,10,30,20
                         ,SCIENCES         ,1,1,0,4,0,1,3,0,0,1,1,0,5,0,2,0,0,0,8,0,1
                         ,SOCIETE          ,0,4,0,1,1,1,1,0,10,14,0,0,0,7,1,0,0,3,3,4,2
                         ,SPORTS ET LOISIRS,3,0,0,0,1,0,5,1,0,0,1,0,2,0,0,0,0,0,0,1,1
                         ,VIE PRATIQUE     ,7,8,0,12,1,0,7,2,8,5,5,1,6,6,13,4,4,5,1,5,2
                         ,THEATRE          ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,xx               ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
