Lieu de prêt,Emplacement,"Nb prêt
01/02/20","Nb prêt
03/02/20","Nb prêt
04/02/20","Nb prêt
05/02/20","Nb prêt
06/02/20","Nb prêt
07/02/20","Nb prêt
08/02/20","Nb prêt
10/02/20","Nb prêt
11/02/20","Nb prêt
12/02/20","Nb prêt
13/02/20","Nb prêt
14/02/20","Nb prêt
15/02/20","Nb prêt
17/02/20","Nb prêt
18/02/20","Nb prêt
19/02/20","Nb prêt
20/02/20","Nb prêt
21/02/20","Nb prêt
22/02/20","Nb prêt
24/02/20","Nb prêt
25/02/20","Nb prêt
26/02/20","Nb prêt
27/02/20","Nb prêt
28/02/20","Nb prêt
29/02/20"
TOTAL                    ,                 ,3164,224,1063,2684,659,1135,2809,364,1341,2912,784,1193,3136,278,2061,1762,1253,1634,1528,257,2099,2177,1198,1529,13
Haute Chaussée           ,TOTAL            ,0,0,77,168,70,47,0,0,52,274,77,99,0,0,88,142,30,48,0,0,61,53,73,25,0
                         ,ALBUMS           ,0,0,29,39,31,13,0,0,16,88,15,27,0,0,41,45,7,4,0,0,7,13,36,3,0
                         ,ARTS             ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,AUTOUR DU JEU    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
                         ,BD ADULTES       ,0,0,8,1,0,0,0,0,0,10,0,6,0,0,0,3,7,1,0,0,0,1,0,1,0
                         ,BD JEUNESSE      ,0,0,17,37,9,6,0,0,14,51,9,11,0,0,2,17,5,6,0,0,17,7,7,3,0
                         ,CINEMA ADULTES   ,0,0,0,1,0,1,0,0,0,3,1,0,0,0,3,0,0,1,0,0,1,0,1,0,0
                         ,CINEMA JEUNESSE  ,0,0,1,1,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0
                         ,HISTOIRE         ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE,0,0,5,8,0,3,0,0,2,13,3,5,0,0,1,7,0,2,0,0,2,7,0,2,0
                         ,JEUX D'EXERCICES ,0,0,0,1,4,0,0,0,1,11,17,4,0,0,1,6,0,6,0,0,1,1,0,0,0
                         ,JEUX A REGLES    ,0,0,5,37,8,13,0,0,2,39,6,17,0,0,15,23,5,10,0,0,10,9,6,5,0
                         ,JEUX SYMBOLIQUES ,0,0,3,1,2,0,0,0,2,8,4,5,0,0,4,11,1,1,0,0,4,3,4,3,0
                         ,JEUX VIDEO       ,0,0,0,3,3,0,0,0,1,3,1,2,0,0,2,6,1,5,0,0,0,0,1,0,0
                         ,LANGUES          ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS ,0,0,0,1,0,1,0,0,0,8,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE ADULTES  ,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
                         ,MUSIQUE JEUNESSE ,0,0,1,2,0,0,0,0,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
                         ,PRESSE           ,0,0,0,7,0,0,0,0,0,2,0,4,0,0,0,1,0,1,0,0,5,2,0,0,0
                         ,FONDS PRO        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,PSYCHOLOGIE      ,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,3,0,0,2,0
                         ,ROMANS ADULTES   ,0,0,6,0,3,5,0,0,4,6,0,0,0,0,2,5,0,8,0,0,4,3,5,3,0
                         ,ROMANS JEUNESSE  ,0,0,0,18,6,2,0,0,5,13,10,4,0,0,9,13,3,0,0,0,5,4,5,1,0
                         ,SCIENCES         ,0,0,0,2,0,0,0,0,3,4,6,3,0,0,1,1,1,0,0,0,0,0,0,0,0
                         ,SOCIETE          ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
                         ,SPORTS ET LOISIRS,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE     ,0,0,2,4,3,2,0,0,1,3,0,6,0,0,0,2,0,3,0,0,1,2,0,1,0
Charles-Gautier-Hermeland ,TOTAL            ,2748,0,627,1362,407,695,2416,31,652,1514,487,589,2720,17,1260,990,999,1114,1493,5,1310,1340,904,1112,13
                         ,ALBUMS           ,444,0,82,242,53,102,368,0,79,314,78,76,479,5,209,130,133,186,183,0,179,179,150,134,11
                         ,ARTS             ,34,0,9,14,9,13,37,0,6,22,9,7,36,0,17,18,18,10,22,0,14,35,21,16,0
                         ,GRAPHISME        ,6,0,0,3,0,12,10,0,2,3,3,0,10,0,4,5,7,3,9,0,6,11,1,6,0
                         ,AUTOUR DU JEU    ,2,0,0,2,0,0,1,0,0,4,0,0,1,2,0,0,0,1,0,0,0,10,0,0,0
                         ,BD ADULTES       ,169,0,40,56,19,25,158,2,39,40,43,64,140,2,78,49,44,64,102,2,91,54,57,108,0
                         ,BD JEUNESSE      ,536,0,70,259,33,74,476,1,62,297,16,59,415,0,220,193,148,144,299,0,254,238,158,148,0
                         ,CINEMA ADULTES   ,94,0,28,62,43,47,132,0,79,79,48,84,201,1,81,56,51,82,113,0,67,48,64,85,2
                         ,CINEMA JEUNESSE  ,96,0,8,61,14,17,82,0,17,56,6,7,119,0,22,25,38,38,37,0,60,30,31,29,0
                         ,DANSE            ,2,0,1,10,3,11,4,0,1,2,2,3,3,0,1,13,13,1,13,0,0,1,0,51,0
                         ,GEOGRAPHIE       ,47,0,9,31,4,16,25,0,22,19,6,8,28,0,9,17,15,11,23,0,27,13,6,14,0
                         ,HISTOIRE         ,18,0,7,6,1,5,38,0,12,12,4,4,19,0,13,19,11,2,16,0,8,21,8,15,0
                         ,INFORMATIQUE     ,13,0,4,9,0,1,3,0,13,3,2,1,20,0,2,7,15,5,11,0,4,2,5,12,0
                         ,JEUX D'ASSEMBLAGE,21,0,0,7,1,0,20,0,7,12,5,1,18,0,5,7,0,6,8,0,7,12,4,5,0
                         ,JEUX D'EXERCICES ,12,0,1,5,0,5,9,0,1,17,1,3,35,0,5,7,3,3,4,0,2,6,5,2,0
                         ,JEUX A REGLES    ,115,0,14,50,7,21,88,2,17,62,14,12,113,4,35,13,23,43,49,1,49,56,36,33,0
                         ,JEUX SYMBOLIQUES ,24,0,3,17,0,5,31,0,0,26,2,0,42,0,19,15,7,13,19,0,6,10,8,7,0
                         ,JEUX VIDEO       ,0,0,2,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,2,1,0,0
                         ,LANGUES          ,17,0,1,9,1,1,7,0,2,6,4,1,2,0,6,3,9,17,18,0,12,6,2,5,0
                         ,LITTERATURE      ,10,0,4,3,1,6,4,0,1,1,2,1,7,0,2,7,3,2,3,0,4,6,5,3,0
                         ,LOISIRS CREATIFS ,25,0,5,9,12,0,21,0,1,6,16,10,10,0,6,23,7,20,18,0,11,10,16,17,0
                         ,MUSIQUE ADULTES  ,174,0,28,54,37,30,110,0,34,48,37,39,165,0,58,25,52,80,73,0,26,63,43,73,0
                         ,MUSIQUE JEUNESSE ,23,0,5,6,4,3,25,0,0,7,6,1,48,0,6,21,6,1,7,0,23,8,2,10,0
                         ,PHILOSOPHIE      ,7,0,1,3,1,7,5,0,2,2,1,3,9,0,3,5,1,1,8,0,9,12,4,12,0
                         ,PRESSE           ,156,0,43,54,29,19,100,16,21,46,46,51,145,0,41,32,76,59,36,0,59,82,49,45,0
                         ,FONDS PRO        ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
                         ,PSYCHOLOGIE      ,22,0,8,5,0,11,27,0,2,20,6,7,23,1,6,6,20,10,13,0,14,25,6,18,0
                         ,RELIGIONS        ,9,0,2,3,11,5,6,0,1,9,1,0,9,0,1,0,9,1,12,0,3,3,2,2,0
                         ,ROMANS ADULTES   ,230,0,145,161,66,121,209,0,128,115,55,89,238,0,154,141,116,144,177,1,158,102,77,100,0
                         ,ROMANS JEUNESSE  ,190,0,54,93,9,43,156,1,37,128,7,18,211,1,95,69,72,99,101,0,78,146,49,44,0
                         ,SCIENCES         ,75,0,18,28,20,12,54,0,24,32,9,8,59,0,46,23,20,19,31,0,47,37,25,13,0
                         ,SOCIETE          ,39,0,12,25,9,13,43,0,13,30,11,9,35,0,18,11,21,11,13,0,28,25,17,32,0
                         ,SPORTS ET LOISIRS,13,0,3,7,1,0,9,0,7,10,3,0,9,0,6,7,3,4,9,0,5,0,5,10,0
                         ,VIE PRATIQUE     ,92,0,17,28,18,28,123,1,18,39,29,17,53,0,36,33,32,32,50,0,56,61,26,42,0
                         ,THEATRE          ,29,0,0,35,0,42,34,8,2,45,15,5,17,0,56,9,24,1,14,0,2,22,21,19,0
                         ,VERSION ORIGINALE,4,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0
                         ,xx               ,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellevue                 ,TOTAL            ,0,224,178,725,36,187,0,333,255,764,3,202,0,261,204,290,7,228,0,252,211,307,4,176,0
                         ,ALBUMS           ,0,92,17,124,1,34,0,62,74,136,0,29,0,57,37,95,1,60,0,39,27,73,4,45,0
                         ,ARTS             ,0,5,1,8,0,1,0,9,1,7,0,2,0,3,2,0,0,2,0,2,9,3,0,3,0
                         ,GRAPHISME        ,0,1,1,1,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU    ,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0
                         ,BD ADULTES       ,0,11,6,45,1,3,0,28,3,50,0,1,0,21,6,20,0,11,0,19,5,8,0,8,0
                         ,BD JEUNESSE      ,0,27,67,219,13,39,0,45,58,243,0,56,0,47,61,42,0,39,0,63,41,35,0,34,0
                         ,CINEMA ADULTES   ,0,2,1,30,0,5,0,20,28,16,0,4,0,9,0,3,0,2,0,19,16,16,0,2,0
                         ,CINEMA JEUNESSE  ,0,1,1,26,2,5,0,15,19,24,0,3,0,17,3,5,2,4,0,2,4,19,0,0,0
                         ,DANSE            ,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
                         ,GEOGRAPHIE       ,0,2,1,5,0,4,0,8,1,8,0,1,0,2,0,4,0,1,0,1,1,5,0,2,0
                         ,HISTOIRE         ,0,0,1,4,0,1,0,4,1,6,0,4,0,3,4,4,0,0,0,3,1,7,0,2,0
                         ,INFORMATIQUE     ,0,0,0,1,0,0,0,0,1,3,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0
                         ,JEUX D'ASSEMBLAGE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0
                         ,JEUX D'EXERCICES ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES    ,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,9,0,2,0,1,0,2,0,1,0
                         ,JEUX SYMBOLIQUES ,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO       ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
                         ,LANGUES          ,0,0,0,7,0,6,0,3,1,1,0,2,0,0,2,1,0,1,0,4,0,2,0,1,0
                         ,LITTERATURE      ,0,0,0,0,0,0,0,2,0,1,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0
                         ,LOISIRS CREATIFS ,0,2,1,5,0,0,0,4,0,11,0,0,0,4,3,0,0,0,0,0,0,7,0,0,0
                         ,MUSIQUE ADULTES  ,0,1,0,6,8,15,0,3,3,27,0,1,0,0,4,2,0,16,0,0,0,3,0,8,0
                         ,MUSIQUE JEUNESSE ,0,2,0,4,0,8,0,5,2,8,0,0,0,2,3,1,0,3,0,0,1,2,0,5,0
                         ,PHILOSOPHIE      ,0,3,0,1,0,0,0,7,0,3,0,1,0,0,0,3,0,0,0,0,2,0,0,2,0
                         ,PRESSE           ,0,5,10,45,0,19,0,18,9,40,0,13,0,11,15,10,0,14,0,9,14,15,0,8,0
                         ,FONDS PRO        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE      ,0,8,3,1,0,0,0,3,0,8,0,1,0,1,3,4,0,0,0,2,2,1,0,2,0
                         ,RELIGIONS        ,0,0,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0
                         ,ROMANS ADULTES   ,0,26,29,22,0,16,0,31,7,13,0,47,0,40,16,32,0,28,0,37,27,35,0,37,0
                         ,ROMANS JEUNESSE  ,0,18,29,108,10,21,0,43,34,112,2,25,0,13,32,21,3,29,0,19,47,52,0,7,0
                         ,SCIENCES         ,0,7,5,16,0,0,0,2,5,16,0,2,0,2,2,19,0,1,0,5,3,7,0,4,0
                         ,SOCIETE          ,0,3,1,4,0,0,0,3,0,3,0,1,0,2,2,2,0,4,0,12,1,5,0,0,0
                         ,SPORTS ET LOISIRS,0,4,0,7,0,0,0,1,2,5,0,1,0,2,0,2,1,1,0,0,2,0,0,1,0
                         ,VIE PRATIQUE     ,0,3,2,27,0,9,0,10,5,21,0,2,0,20,4,8,0,1,0,4,6,8,0,3,0
                         ,THEATRE          ,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0
Ludothèque Municipale ,TOTAL            ,59,0,81,94,20,52,55,0,93,94,0,113,52,0,68,53,0,75,35,0,62,54,3,38,0
                         ,ALBUMS           ,0,0,5,4,0,24,1,0,0,1,0,2,7,0,3,0,0,0,1,0,0,1,0,3,0
                         ,AUTOUR DU JEU    ,4,0,9,14,10,5,0,0,6,11,0,3,0,0,0,3,0,0,1,0,7,2,0,0,0
                         ,BD ADULTES       ,0,0,1,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0
                         ,BD JEUNESSE      ,0,0,0,0,0,0,0,0,2,1,0,6,1,0,0,0,0,4,0,0,0,0,0,0,0
                         ,CINEMA ADULTES   ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE  ,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE,5,0,5,11,2,3,4,0,5,9,0,15,2,0,9,3,0,8,3,0,3,12,0,4,0
                         ,JEUX D'EXERCICES ,3,0,10,8,2,6,4,0,17,17,0,14,4,0,6,8,0,5,4,0,5,7,2,1,0
                         ,GRANDS JEUX      ,0,0,2,0,0,2,0,0,5,0,0,18,0,0,3,0,0,1,0,0,3,0,0,2,0
                         ,JEUX A REGLES    ,31,0,18,23,6,9,21,0,40,18,0,32,16,0,32,24,0,45,19,0,26,5,1,8,0
                         ,JEUX SYMBOLIQUES ,16,0,24,34,0,3,20,0,15,32,0,16,19,0,14,13,0,12,7,0,13,15,0,16,0
                         ,JEUX VIDEO       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
                         ,MUSIQUE ADULTES  ,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE ,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE           ,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,PSYCHOLOGIE      ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0
                         ,RELIGIONS        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,ROMANS ADULTES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
                         ,ROMANS JEUNESSE  ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
                         ,SCIENCES         ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0
                         ,SOCIETE          ,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,VIE PRATIQUE     ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
