Lieu de prêt,Emplacement,"Nb prêt
01/03/19","Nb prêt
02/03/19","Nb prêt
04/03/19","Nb prêt
05/03/19","Nb prêt
06/03/19","Nb prêt
07/03/19","Nb prêt
08/03/19","Nb prêt
09/03/19","Nb prêt
11/03/19","Nb prêt
12/03/19","Nb prêt
13/03/19","Nb prêt
14/03/19","Nb prêt
15/03/19","Nb prêt
16/03/19","Nb prêt
18/03/19","Nb prêt
19/03/19","Nb prêt
20/03/19","Nb prêt
21/03/19","Nb prêt
22/03/19","Nb prêt
23/03/19","Nb prêt
25/03/19","Nb prêt
26/03/19","Nb prêt
27/03/19","Nb prêt
28/03/19","Nb prêt
29/03/19","Nb prêt
30/03/19"
                         ,JEUX               ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,JEUX A REGLES      ,18,0,0,23,52,19,19,93,0,15,47,16,27,68,0,17,29,11,10,46,0,14,28,19,17,82
                         ,JEUX SYMBOLIQUES   ,10,0,0,13,25,5,10,28,0,5,11,10,10,15,0,6,11,7,5,14,0,7,21,4,5,15
                         ,JEUX VIDEO         ,0,0,0,0,2,0,1,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,2,0,1,3
                         ,LANGUES            ,4,0,0,2,3,2,10,19,0,7,4,1,1,16,0,6,5,0,2,13,0,9,3,0,1,11
                         ,LITTERATURE        ,0,2,0,4,1,0,6,7,1,1,1,3,1,3,0,0,3,0,3,3,0,2,5,1,0,3
                         ,LOISIRS CREATIFS   ,9,0,0,11,9,3,10,35,0,8,13,8,15,24,0,5,13,0,4,8,0,1,25,12,4,13
                         ,MUSIQUE ADULTES    ,61,0,4,54,82,16,36,208,0,85,60,32,25,138,0,33,78,39,32,130,0,42,68,22,54,210
                         ,MUSIQUE JEUNESSE   ,4,0,0,7,31,2,11,45,0,0,27,7,7,30,0,4,27,9,5,9,0,2,15,4,6,31
                         ,PHILOSOPHIE        ,0,0,0,5,4,3,1,4,0,7,7,1,0,8,0,8,3,2,3,3,0,4,2,2,3,4
                         ,PRESSE             ,47,23,0,42,53,22,37,146,0,26,53,7,19,84,0,29,81,4,34,42,4,37,89,26,44,43
                         ,FONDS PRO          ,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,2,0,0,7,15,3,6,25,0,15,4,7,7,16,0,19,6,7,12,7,0,5,1,4,2,9
                         ,RELIGIONS          ,4,1,0,4,7,3,0,10,0,2,0,1,2,6,0,5,6,3,3,2,0,3,0,1,12,4
                         ,ROMANS ADULTES     ,99,3,0,137,148,62,98,206,3,87,111,73,63,227,0,134,112,75,96,107,0,111,92,54,90,146
                         ,ROMANS JEUNESSE    ,40,4,0,25,105,10,47,216,0,35,120,37,21,143,1,39,114,32,42,92,5,29,150,52,24,123
                         ,SCIENCES           ,14,1,0,40,53,11,9,107,2,16,24,11,5,80,0,11,33,3,6,38,2,21,35,9,14,57
                         ,SOCIETE            ,5,0,1,7,37,7,17,67,0,8,16,9,4,40,0,5,12,11,9,33,4,9,15,16,11,63
                         ,SPORTS ET LOISIRS  ,3,2,0,4,7,4,0,9,0,2,5,6,3,18,0,6,6,2,1,5,0,3,4,4,9,9
                         ,VIE PRATIQUE       ,31,3,0,53,64,17,18,108,0,23,64,15,18,72,0,22,41,18,31,58,3,23,22,18,9,53
                         ,THEATRE            ,0,0,0,2,19,8,8,29,0,3,19,7,10,38,0,23,2,67,3,14,0,16,3,3,10,20
                         ,VERSION ORIGINALE  ,0,0,0,0,1,0,1,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1
                         ,xx                 ,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0
Bellevue                 ,TOTAL              ,295,0,313,254,629,5,280,0,349,267,799,0,249,0,215,270,574,33,187,0,352,264,788,28,215,0
                         ,ALBUMS             ,59,0,85,60,111,1,65,0,82,47,197,0,31,0,35,79,114,28,30,0,69,63,191,26,28,0
                         ,ARTS               ,4,0,5,4,1,0,1,0,2,2,6,0,1,0,3,3,9,0,1,0,3,2,17,0,4,0
                         ,GRAPHISME          ,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,2,0,9,22,21,0,6,0,30,32,43,0,10,0,7,6,49,0,10,0,13,25,22,0,6,0
                         ,BD JEUNESSE        ,58,0,53,36,185,0,73,0,61,81,167,0,74,0,36,60,130,0,70,0,99,53,150,0,77,0
                         ,CINEMA ADULTES     ,17,0,15,8,16,2,5,0,29,6,21,0,10,0,9,8,18,0,16,0,20,2,18,0,3,0
                         ,CINEMA JEUNESSE    ,7,0,5,11,18,2,4,0,10,15,34,0,13,0,3,25,12,0,5,0,9,7,19,0,2,0
                         ,DANSE              ,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
                         ,GEOGRAPHIE         ,3,0,3,1,8,0,6,0,8,5,6,0,3,0,3,1,16,0,0,0,7,0,6,0,0,0
                         ,HISTOIRE           ,0,0,1,0,3,0,0,0,4,4,2,0,2,0,0,1,8,0,0,0,4,2,7,0,2,0
                         ,INFORMATIQUE       ,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1,2,4,0,0,0,2,0,7,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,JEUX D'EXERCICES   ,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,JEUX A REGLES      ,1,0,0,1,7,0,0,0,1,3,9,0,0,0,8,0,1,0,2,0,0,0,10,0,0,0
                         ,JEUX SYMBOLIQUES   ,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,JEUX VIDEO         ,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0
                         ,LANGUES            ,2,0,2,4,5,0,1,0,0,3,3,0,1,0,0,3,5,0,1,0,0,2,4,0,0,0
                         ,LITTERATURE        ,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0
                         ,LOISIRS CREATIFS   ,4,0,6,3,3,0,3,0,8,1,9,0,2,0,2,4,1,0,2,0,3,1,6,0,1,0
                         ,MUSIQUE ADULTES    ,3,0,3,5,5,0,2,0,0,2,12,0,2,0,10,11,16,1,0,0,11,0,16,0,6,0
                         ,MUSIQUE JEUNESSE   ,9,0,6,0,12,0,2,0,2,4,6,0,3,0,0,0,15,0,0,0,2,5,11,1,0,0
                         ,PHILOSOPHIE        ,0,0,2,5,0,0,0,0,4,0,5,0,0,0,4,0,1,0,0,0,3,0,3,0,0,0
                         ,PRESSE             ,17,0,8,5,25,0,13,0,16,8,46,0,4,0,8,1,12,0,9,0,12,13,45,0,9,0
