Lieu de prêt,Emplacement,"Nb prêt
03/06/19","Nb prêt
04/06/19","Nb prêt
05/06/19","Nb prêt
06/06/19","Nb prêt
07/06/19","Nb prêt
08/06/19","Nb prêt
11/06/19","Nb prêt
12/06/19","Nb prêt
13/06/19","Nb prêt
14/06/19","Nb prêt
15/06/19","Nb prêt
17/06/19","Nb prêt
18/06/19","Nb prêt
19/06/19","Nb prêt
20/06/19","Nb prêt
21/06/19","Nb prêt
22/06/19","Nb prêt
24/06/19","Nb prêt
25/06/19","Nb prêt
26/06/19","Nb prêt
27/06/19","Nb prêt
28/06/19","Nb prêt
29/06/19"
TOTAL                    ,                 ,269,1284,2487,803,915,2662,1219,2666,684,715,2315,234,826,2354,718,924,1492,279,1144,1999,497,1013,1858
Haute Chaussée           ,TOTAL            ,0,42,162,8,36,0,27,81,38,8,0,0,30,124,68,21,0,0,35,159,5,28,0
                         ,ALBUMS           ,0,18,46,0,8,0,13,24,9,0,0,0,9,29,20,6,0,0,4,63,0,5,0
                         ,ARTS             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
                         ,BD ADULTES       ,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,0
                         ,BD JEUNESSE      ,0,2,26,3,4,0,0,23,8,0,0,0,5,18,5,2,0,0,13,14,1,2,0
                         ,CINEMA ADULTES   ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,CINEMA JEUNESSE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,GEOGRAPHIE       ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE,0,2,5,0,4,0,2,6,1,0,0,0,2,6,2,0,0,0,1,9,0,0,0
                         ,JEUX D'EXERCICES ,0,5,9,0,4,0,1,5,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0
                         ,JEUX A REGLES    ,0,3,24,1,7,0,10,5,5,4,0,0,4,24,30,3,0,0,4,18,0,0,0
                         ,JEUX SYMBOLIQUES ,0,3,7,4,5,0,0,5,0,0,0,0,1,9,0,2,0,0,0,4,0,0,0
                         ,JEUX VIDEO       ,0,1,1,0,1,0,1,2,2,0,0,0,0,4,0,0,0,0,1,4,0,0,0
                         ,LANGUES          ,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE ADULTES  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0
                         ,MUSIQUE JEUNESSE ,0,0,2,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,3,0,0,0
                         ,PHILOSOPHIE      ,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE           ,0,2,8,0,0,0,0,4,3,0,0,0,0,5,4,5,0,0,4,20,0,0,0
                         ,PSYCHOLOGIE      ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES   ,0,6,5,0,0,0,0,0,1,2,0,0,1,7,0,3,0,0,3,6,1,4,0
                         ,ROMANS JEUNESSE  ,0,0,16,0,1,0,0,5,2,0,0,0,4,10,3,0,0,0,0,7,0,0,0
                         ,SCIENCES         ,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,SOCIETE          ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE     ,0,0,5,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,4,2,1,0
Charles-Gautier-Hermeland,TOTAL            ,2,684,1429,530,556,2274,601,1526,498,318,1990,15,383,1216,500,539,1259,1,605,1023,375,488,1605
                         ,ALBUMS           ,0,89,247,79,80,341,47,290,54,24,233,5,42,254,49,36,122,0,51,135,8,74,177
                         ,ARTS             ,0,7,23,11,17,27,23,25,8,11,19,0,4,14,7,6,21,1,9,18,4,4,11
                         ,GRAPHISME        ,0,2,1,2,2,1,1,11,2,1,9,0,1,7,2,2,3,0,2,0,0,0,5
                         ,AUTOUR DU JEU    ,0,0,0,0,2,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
                         ,BD ADULTES       ,0,27,62,30,45,115,31,59,36,18,120,0,34,46,44,38,85,0,46,46,25,35,117
                         ,BD JEUNESSE      ,0,66,299,57,57,520,61,297,50,24,420,3,31,213,36,70,268,0,73,237,108,19,317
                         ,CINEMA ADULTES   ,0,54,44,56,33,116,60,88,29,20,107,1,14,64,24,45,87,0,48,57,34,24,93
                         ,CINEMA JEUNESSE  ,0,27,34,26,3,86,21,45,11,7,78,1,18,31,28,12,53,0,18,30,14,20,46
