Lieu de prêt,Emplacement,"Nb prêt
03/06/19","Nb prêt
04/06/19","Nb prêt
05/06/19","Nb prêt
06/06/19","Nb prêt
07/06/19","Nb prêt
08/06/19","Nb prêt
11/06/19","Nb prêt
12/06/19","Nb prêt
13/06/19","Nb prêt
14/06/19","Nb prêt
15/06/19","Nb prêt
17/06/19","Nb prêt
18/06/19","Nb prêt
19/06/19","Nb prêt
20/06/19","Nb prêt
21/06/19","Nb prêt
22/06/19","Nb prêt
24/06/19","Nb prêt
25/06/19","Nb prêt
26/06/19","Nb prêt
27/06/19","Nb prêt
28/06/19","Nb prêt
29/06/19"
                         ,DANSE            ,0,1,0,0,2,0,2,2,0,0,7,0,0,0,1,6,1,0,0,2,0,0,2
                         ,GEOGRAPHIE       ,0,17,27,8,20,32,12,31,17,8,41,1,9,27,14,8,21,0,10,9,4,27,17
                         ,HISTOIRE         ,0,4,14,5,12,21,5,18,7,1,15,0,0,15,3,3,10,0,2,14,5,5,16
                         ,INFORMATIQUE     ,0,0,14,0,1,14,0,1,0,3,6,0,3,5,0,0,1,0,2,0,8,2,9
                         ,JEUX D'ASSEMBLAGE,0,3,13,8,5,15,7,9,1,5,25,0,3,12,6,2,7,0,3,3,0,0,18
                         ,JEUX D'EXERCICES ,0,4,13,2,2,19,7,7,2,4,13,0,0,10,2,2,10,0,2,1,0,6,14
                         ,JEUX             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,GRANDS JEUX      ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES    ,2,12,55,23,17,88,8,35,17,6,70,0,6,41,31,6,22,0,14,12,1,10,48
                         ,JEUX SYMBOLIQUES ,0,9,18,4,12,19,5,18,3,6,14,0,3,17,6,4,15,0,6,3,1,3,19
                         ,JEUX VIDEO       ,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
                         ,LANGUES          ,0,6,3,1,6,29,10,9,0,0,7,0,1,5,1,3,9,0,0,2,0,2,5
                         ,LITTERATURE      ,0,0,3,1,0,1,2,0,1,4,10,0,4,3,2,0,2,0,1,5,0,4,6
                         ,LOISIRS CREATIFS ,0,3,25,7,18,37,9,22,5,6,18,0,2,6,14,3,8,0,3,3,0,12,11
                         ,MUSIQUE ADULTES  ,0,76,64,22,33,115,55,70,39,34,118,0,33,25,25,25,103,0,36,58,9,15,101
                         ,MUSIQUE JEUNESSE ,0,0,26,12,0,11,1,27,2,0,17,0,5,14,4,3,9,0,3,11,0,0,8
                         ,PHILOSOPHIE      ,0,4,4,1,0,6,4,2,4,2,18,0,9,15,1,2,11,0,2,4,6,4,10
                         ,PRESSE           ,0,37,84,16,31,94,28,49,25,21,52,1,19,42,13,17,43,0,28,56,7,21,67
                         ,FONDS PRO        ,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
                         ,PSYCHOLOGIE      ,0,5,6,2,1,9,11,5,4,5,16,0,4,3,1,6,3,0,2,3,5,3,12
                         ,RELIGIONS        ,0,2,2,3,2,25,2,8,3,3,0,0,0,4,0,1,7,0,3,3,1,0,5
                         ,ROMANS ADULTES   ,0,119,163,65,76,174,109,147,95,51,223,1,83,147,73,106,148,0,112,132,60,78,229
                         ,ROMANS JEUNESSE  ,0,33,97,31,34,194,16,75,33,16,141,0,10,114,64,62,92,0,33,112,32,11,98
                         ,SCIENCES         ,0,19,26,17,17,59,14,20,17,7,66,1,7,21,9,7,33,0,8,37,8,14,41
                         ,SOCIETE          ,0,8,10,7,6,40,6,47,13,9,31,0,10,24,3,4,12,0,17,11,8,1,32
                         ,SPORTS ET LOISIRS,0,0,2,3,2,7,1,4,1,1,12,0,0,1,1,0,9,0,3,2,3,2,8
                         ,VIE PRATIQUE     ,0,28,28,21,19,48,41,32,18,16,67,1,24,32,12,45,36,0,15,11,8,11,44
                         ,THEATRE          ,0,22,20,8,0,10,1,71,1,5,9,0,3,4,18,15,8,0,53,6,16,81,17
                         ,VERSION ORIGINALE,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
                         ,xx               ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellevue                 ,TOTAL            ,267,184,538,5,133,0,301,602,1,178,0,219,209,687,8,124,0,271,233,484,5,187,0
                         ,ALBUMS           ,49,44,105,5,13,0,41,109,0,11,0,39,49,159,0,11,0,89,68,87,2,50,0
                         ,ARTS             ,3,3,2,0,0,0,3,4,0,3,0,1,1,7,0,0,0,0,1,6,0,2,0
                         ,GRAPHISME        ,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU    ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES       ,19,2,14,0,11,0,10,21,0,9,0,17,9,23,0,14,0,12,10,23,0,7,0
                         ,BD JEUNESSE      ,41,44,165,0,28,0,94,181,1,54,0,51,41,148,0,12,0,70,40,151,0,19,0
                         ,CINEMA ADULTES   ,7,4,15,0,10,0,12,24,0,10,0,14,5,27,0,7,0,8,6,2,0,6,0
                         ,CINEMA JEUNESSE  ,4,2,13,0,8,0,20,20,0,0,0,7,1,46,0,5,0,2,17,18,0,10,0
                         ,DANSE            ,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
                         ,GEOGRAPHIE       ,6,6,11,0,1,0,6,7,0,1,0,2,3,15,0,3,0,4,2,4,0,1,0
                         ,HISTOIRE         ,6,0,4,0,0,0,3,2,0,1,0,1,10,4,0,3,0,7,3,5,0,0,0
                         ,INFORMATIQUE     ,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,2,0
                         ,JEUX D'ASSEMBLAGE,0,1,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES    ,0,0,5,0,0,0,0,6,0,0,0,0,0,6,0,3,0,0,0,2,0,0,0
                         ,JEUX SYMBOLIQUES ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO       ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES          ,1,0,4,0,0,0,3,5,0,0,0,2,0,6,0,1,0,0,4,0,0,0,0
                         ,LITTERATURE      ,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS ,3,4,2,0,0,0,2,0,0,0,0,0,2,4,0,1,0,1,0,7,0,2,0
                         ,MUSIQUE ADULTES  ,0,2,5,0,7,0,5,2,0,2,0,8,0,7,0,0,0,4,1,4,0,9,0
                         ,MUSIQUE JEUNESSE ,2,0,11,0,1,0,5,11,0,0,0,2,2,10,0,3,0,0,4,8,0,4,0
                         ,PHILOSOPHIE      ,3,0,0,0,0,0,1,3,0,1,0,1,0,0,0,1,0,1,0,3,0,2,0
                         ,PRESSE           ,10,3,30,0,13,0,8,41,0,21,0,10,8,28,0,5,0,20,9,29,0,2,0
                         ,FONDS PRO        ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
                         ,PSYCHOLOGIE      ,0,1,7,0,0,0,2,6,0,4,0,0,2,4,0,0,0,1,0,1,0,0,0
                         ,RELIGIONS        ,0,1,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,7,0,0,0
                         ,ROMANS ADULTES   ,55,10,42,0,26,0,20,39,0,28,0,33,25,52,8,39,0,24,18,23,1,18,0
                         ,ROMANS JEUNESSE  ,40,43,68,0,14,0,36,101,0,18,0,15,27,100,0,10,0,14,31,73,1,45,0
                         ,SCIENCES         ,5,3,7,0,1,0,4,3,0,4,0,2,1,9,0,1,0,0,12,12,0,0,0
                         ,SOCIETE          ,3,4,8,0,0,0,9,3,0,3,0,3,3,7,0,0,0,5,3,1,0,1,0
                         ,SPORTS ET LOISIRS,3,0,2,0,0,0,2,2,0,0,0,2,1,1,0,0,0,1,1,2,0,1,0
                         ,VIE PRATIQUE     ,3,3,14,0,0,0,12,6,0,8,0,5,10,15,0,3,0,8,1,14,0,2,0
                         ,THEATRE          ,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0
La Ludothèque            ,TOTAL            ,0,41,100,1,31,67,61,72,8,49,31,0,22,63,1,44,26,0,54,67,2,57,15
                         ,ALBUMS           ,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,5,1,0,5,0
                         ,AUTOUR DU JEU    ,0,1,5,0,4,13,1,9,0,1,1,0,3,6,0,0,1,0,2,4,0,0,2
                         ,BD ADULTES       ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
                         ,BD JEUNESSE      ,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,1
                         ,CINEMA ADULTES   ,0,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
                         ,CINEMA JEUNESSE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,INFORMATIQUE     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,JEUX D'ASSEMBLAGE,0,1,17,0,0,6,0,13,0,7,4,0,0,10,0,0,1,0,1,5,0,5,3
                         ,JEUX D'EXERCICES ,0,1,7,0,2,8,4,13,0,7,4,0,5,11,0,1,3,0,11,6,0,6,3
                         ,GRANDS JEUX      ,0,4,0,0,8,0,38,0,0,25,1,0,8,0,0,36,0,0,20,2,0,31,0
                         ,JEUX A REGLES    ,0,1,38,1,7,13,7,19,5,3,15,0,2,20,0,6,4,0,8,11,0,3,2
                         ,JEUX SYMBOLIQUES ,0,4,33,0,7,23,7,15,0,5,6,0,4,14,0,0,4,0,3,33,0,3,4
                         ,JEUX VIDEO       ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE           ,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
                         ,ROMANS ADULTES   ,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0
                         ,ROMANS JEUNESSE  ,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,SOCIETE          ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,VIE PRATIQUE     ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,xx               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gao Xingjian - Sillon    ,TOTAL            ,0,333,258,259,159,321,229,385,139,162,294,0,182,264,141,196,207,7,217,266,110,253,238
                         ,ALBUMS           ,0,120,75,58,19,44,47,39,31,29,40,0,37,34,12,28,14,0,12,48,18,37,18
                         ,ARTS             ,0,4,3,1,0,1,0,0,1,0,0,0,0,1,4,0,0,0,3,0,1,3,3
                         ,GRAPHISME        ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU    ,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1
                         ,BD ADULTES       ,0,33,6,8,14,16,21,48,4,5,32,0,2,2,7,6,38,6,30,21,17,26,28
                         ,BD JEUNESSE      ,0,21,63,27,28,95,46,134,13,18,76,0,46,101,24,52,86,0,46,64,4,43,64
                         ,CINEMA ADULTES   ,0,0,1,9,4,0,0,1,3,0,1,0,0,0,5,1,0,0,1,3,0,1,0
                         ,CINEMA JEUNESSE  ,0,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,2,0,0,5,0,0,0
                         ,GEOGRAPHIE       ,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0
                         ,HISTOIRE         ,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE     ,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
                         ,JEUX D'ASSEMBLAGE,0,0,1,1,1,0,6,0,0,0,1,0,0,2,0,8,0,0,4,2,0,0,2
                         ,JEUX D'EXERCICES ,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,JEUX A REGLES    ,0,17,24,16,17,28,18,21,4,9,32,0,9,13,11,13,10,0,19,15,9,23,16
                         ,JEUX SYMBOLIQUES ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
                         ,JEUX VIDEO       ,0,5,8,3,2,12,2,12,5,5,17,0,3,10,2,2,10,0,5,17,6,7,4
                         ,LANGUES          ,0,6,0,15,1,5,2,6,0,0,2,0,10,9,0,2,0,0,4,5,0,2,0
                         ,LITTERATURE      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,LOISIRS CREATIFS ,0,1,11,10,1,9,0,1,0,1,0,0,0,4,1,12,1,0,1,1,1,1,4
                         ,MUSIQUE ADULTES  ,0,5,3,0,0,0,1,0,15,2,0,0,0,0,0,0,0,1,1,9,1,0,3
                         ,MUSIQUE JEUNESSE ,0,2,2,2,0,0,0,3,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0
                         ,PHILOSOPHIE      ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE           ,0,11,13,15,8,23,14,34,6,9,5,0,6,11,18,20,1,0,6,18,0,14,12
                         ,FONDS PRO        ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE      ,0,3,0,1,0,3,6,3,6,3,3,0,4,1,0,1,2,0,3,3,3,7,0
                         ,RELIGIONS        ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES   ,0,41,25,62,22,20,37,22,34,41,43,0,50,15,28,22,14,0,43,11,18,38,29
                         ,ROMANS JEUNESSE  ,0,33,14,13,8,50,10,32,13,30,29,0,5,34,4,22,14,0,18,27,19,21,42
                         ,SCIENCES         ,0,5,5,3,4,6,3,6,0,1,6,0,1,14,1,1,0,0,4,0,0,8,0
                         ,SOCIETE          ,0,5,0,10,13,2,4,8,0,1,3,0,2,0,5,3,2,0,8,6,2,1,1
                         ,SPORTS ET LOISIRS,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0
                         ,VIE PRATIQUE     ,0,7,4,2,10,6,9,13,0,5,3,0,6,7,13,3,6,0,8,9,7,18,7
                         ,THEATRE          ,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
