Lieu de prêt,Emplacement,"Nb prêt
03/09/18","Nb prêt
04/09/18","Nb prêt
05/09/18","Nb prêt
06/09/18","Nb prêt
07/09/18","Nb prêt
08/09/18","Nb prêt
10/09/18","Nb prêt
11/09/18","Nb prêt
12/09/18","Nb prêt
13/09/18","Nb prêt
14/09/18","Nb prêt
15/09/18","Nb prêt
17/09/18","Nb prêt
18/09/18","Nb prêt
19/09/18","Nb prêt
20/09/18","Nb prêt
21/09/18","Nb prêt
22/09/18","Nb prêt
24/09/18","Nb prêt
25/09/18","Nb prêt
26/09/18","Nb prêt
27/09/18","Nb prêt
28/09/18","Nb prêt
29/09/18"
TOTAL                    ,                   ,118,1173,2741,702,884,2101,293,935,2715,717,825,1207,205,912,2773,675,1018,2349,353,1084,2400,450,846,2719
Haute-Chaussée           ,TOTAL              ,0,4,64,11,7,0,0,27,104,7,27,0,0,20,98,5,13,0,0,7,32,18,27,0
                         ,ALBUMS             ,0,0,0,0,0,0,0,12,32,0,1,0,0,1,0,0,0,0,0,0,0,0,9,0
                         ,ARTS               ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
                         ,BD ADULTES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
                         ,BD JEUNESSE        ,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
                         ,DANSE              ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,10,0,0,0,0,0,4,0,3,0,0,2,12,0,2,0,0,1,2,0,0,0
                         ,JEUX D'EXERCICES   ,0,1,10,5,1,0,0,0,10,0,9,0,0,3,15,0,1,0,0,3,4,7,0,0
                         ,JEUX A REGLES      ,0,0,20,3,5,0,0,1,10,5,10,0,0,7,42,1,7,0,0,0,9,9,4,0
                         ,JEUX SYMBOLIQUES   ,0,0,15,0,0,0,0,3,2,2,1,0,0,2,19,0,1,0,0,1,10,2,2,0
                         ,JEUX VIDEO         ,0,1,4,0,0,0,0,0,3,0,0,0,0,0,10,0,2,0,0,0,3,0,4,0
                         ,LANGUES            ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,0,0,4,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0
                         ,ROMANS ADULTES     ,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,0,1,0,0,0,0,1,28,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Charles-Gautier-Hermeland,TOTAL              ,9,759,1869,481,599,1791,6,434,1637,563,473,953,4,464,1607,531,588,1972,25,666,1297,348,451,2337
                         ,ALBUMS             ,1,66,367,64,44,279,0,60,241,67,91,128,0,17,350,92,53,326,12,67,216,34,34,330
                         ,ARTS               ,0,13,16,13,7,13,1,7,12,18,2,11,0,15,24,9,9,19,0,8,22,1,8,35
                         ,GRAPHISME          ,0,2,4,7,3,6,0,1,1,5,6,3,0,8,6,0,3,11,0,8,8,1,5,7
                         ,AUTOUR DU JEU      ,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,BD ADULTES         ,0,61,102,44,25,107,0,23,84,62,45,50,0,44,112,14,21,99,0,37,78,35,33,143
                         ,BD JEUNESSE        ,3,101,394,42,81,308,0,31,256,69,49,166,0,25,301,80,75,309,0,47,222,18,40,542
                         ,CINEMA ADULTES     ,0,98,94,32,19,106,0,31,100,42,21,61,0,35,57,22,49,113,0,68,74,22,45,129
                         ,CINEMA JEUNESSE    ,2,13,71,7,10,66,0,6,55,6,15,35,0,0,34,21,35,109,0,12,33,10,8,69
                         ,CINEMA             ,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,4
                         ,DANSE              ,0,0,20,0,5,16,1,2,15,1,5,1,1,6,9,0,15,2,0,3,2,0,2,6
                         ,GEOGRAPHIE         ,0,17,14,11,9,26,0,4,23,15,3,6,0,6,14,18,11,29,0,23,26,4,8,17
                         ,HISTOIRE           ,0,10,13,11,7,12,0,8,14,4,9,32,0,18,33,12,18,13,0,18,14,10,6,32
                         ,INFORMATIQUE       ,0,3,2,2,2,16,0,3,5,0,1,5,0,1,3,0,4,10,0,1,5,0,4,12
                         ,JEUX D'ASSEMBLAGE  ,0,2,9,4,1,16,0,2,10,7,2,7,0,0,15,4,5,21,0,6,12,3,1,17
                         ,JEUX D'EXERCICES   ,0,5,8,1,1,4,0,4,9,3,6,6,0,1,9,13,1,19,0,5,10,1,2,15
                         ,JEUX               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
