Lieu de prêt,Emplacement,"Nb prêt
01/04/19","Nb prêt
02/04/19","Nb prêt
03/04/19","Nb prêt
04/04/19","Nb prêt
05/04/19","Nb prêt
06/04/19","Nb prêt
08/04/19","Nb prêt
09/04/19","Nb prêt
10/04/19","Nb prêt
11/04/19","Nb prêt
12/04/19","Nb prêt
13/04/19","Nb prêt
15/04/19","Nb prêt
16/04/19","Nb prêt
17/04/19","Nb prêt
18/04/19","Nb prêt
19/04/19","Nb prêt
20/04/19","Nb prêt
23/04/19","Nb prêt
24/04/19","Nb prêt
25/04/19","Nb prêt
26/04/19","Nb prêt
27/04/19","Nb prêt
29/04/19","Nb prêt
30/04/19"
TOTAL                    ,                   ,385,1009,2759,869,1239,2808,289,1582,1895,968,1246,1447,180,1534,1722,1300,953,1061,1060,3148,612,1263,2796,456,1137
Haute Chaussée           ,TOTAL              ,5,9,48,19,40,0,0,6,61,38,20,0,0,15,21,58,5,0,17,167,74,57,0,0,28
                         ,ALBUMS             ,3,0,9,0,6,0,0,0,20,7,0,0,0,1,1,34,1,0,10,36,33,18,0,0,8
                         ,ARTS               ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,BD ADULTES         ,0,0,1,0,8,0,0,0,1,2,9,0,0,1,0,0,0,0,2,18,0,0,0,0,0
                         ,BD JEUNESSE        ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,6,8,0,0,7
                         ,CINEMA ADULTES     ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,3,7,1,4,0,0,0,3,3,2,0,0,2,4,2,0,0,0,9,4,0,0,0,1
                         ,JEUX D'EXERCICES   ,1,2,2,6,4,0,0,2,3,1,0,0,0,0,0,0,0,0,0,7,0,2,0,0,4
                         ,JEUX A REGLES      ,0,0,9,9,11,0,0,2,24,16,5,0,0,3,8,0,3,0,1,17,6,13,0,0,2
                         ,JEUX SYMBOLIQUES   ,0,0,5,3,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,6,6,0,0,0,1
                         ,JEUX VIDEO         ,0,0,1,0,1,0,0,0,1,0,2,0,0,1,3,0,0,0,1,6,1,0,0,0,1
                         ,LANGUES            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0
