Lieu de prêt,Emplacement,"Nb prêt
02/10/17","Nb prêt
03/10/17","Nb prêt
04/10/17","Nb prêt
05/10/17","Nb prêt
06/10/17","Nb prêt
07/10/17","Nb prêt
09/10/17","Nb prêt
10/10/17","Nb prêt
11/10/17","Nb prêt
12/10/17","Nb prêt
13/10/17","Nb prêt
14/10/17","Nb prêt
16/10/17","Nb prêt
17/10/17","Nb prêt
18/10/17","Nb prêt
19/10/17","Nb prêt
20/10/17","Nb prêt
21/10/17","Nb prêt
23/10/17","Nb prêt
24/10/17","Nb prêt
25/10/17","Nb prêt
26/10/17","Nb prêt
27/10/17","Nb prêt
28/10/17","Nb prêt
30/10/17","Nb prêt
31/10/17"
TOTAL                    ,                   ,364,1381,2453,683,1109,2456,327,111,3073,777,1166,2281,279,947,3315,540,1344,2687,185,1959,2039,1071,1841,1505,305,1912
Bourg                    ,TOTAL              ,0,104,368,23,181,0,0,5,490,12,209,0,0,104,495,4,297,0,0,103,237,0,169,0,0,239
                         ,ALBUMS             ,0,16,67,22,39,0,0,1,119,4,54,0,0,36,140,0,100,0,0,20,48,0,38,0,0,35
                         ,ARTS               ,0,0,1,0,3,0,0,0,2,1,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
                         ,GRAPHISME          ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,5,9,0,7,0,0,1,24,0,7,0,0,2,6,0,18,0,0,12,20,0,1,0,0,14
                         ,BD JEUNESSE        ,0,25,92,0,20,0,0,0,105,0,57,0,0,3,102,0,27,0,0,12,36,0,35,0,0,32
                         ,CINEMA ADULTES     ,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
                         ,CINEMA JEUNESSE    ,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
                         ,DANSE              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,GEOGRAPHIE         ,0,5,5,0,1,0,0,0,8,3,5,0,0,0,5,0,4,0,0,0,6,0,1,0,0,1
                         ,HISTOIRE           ,0,5,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
                         ,INFORMATIQUE       ,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,1
                         ,JEUX D'EXERCICES   ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,JEUX A REGLES      ,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,JEUX VIDEO         ,0,0,1,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
                         ,LANGUES            ,0,0,3,0,6,0,0,0,1,0,1,0,0,2,4,0,1,0,0,0,0,0,0,0,0,2
                         ,LETTRES            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,LITTERATURE        ,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,1,1,0,0,0,0,0,4,0,1,0,0,0,3,0,1,0,0,2,3,0,0,0,0,12
                         ,MUSIQUE ADULTES    ,0,5,7,0,6,0,0,0,13,2,0,0,0,2,4,0,4,0,0,10,5,0,0,0,0,18
                         ,MUSIQUE JEUNESSE   ,0,0,1,0,0,0,0,0,8,1,1,0,0,2,6,1,6,0,0,0,9,0,4,0,0,1
                         ,PHILOSOPHIE        ,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,PRESSE             ,0,5,52,0,13,0,0,0,40,0,16,0,0,6,56,0,32,0,0,5,29,0,7,0,0,25
                         ,PSYCHOLOGIE        ,0,0,5,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
                         ,RELIGIONS          ,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,16,41,0,46,0,0,1,81,0,20,0,0,39,76,0,40,0,0,37,34,0,38,0,0,49
                         ,ROMANS JEUNESSE    ,0,15,55,1,23,0,0,0,41,1,19,0,0,5,64,0,36,0,0,5,23,0,25,0,0,31
                         ,SCIENCES           ,0,2,4,0,2,0,0,0,5,0,9,0,0,4,5,0,6,0,0,0,2,0,5,0,0,0
                         ,SOCIETE            ,0,1,6,0,1,0,0,0,4,0,5,0,0,1,3,0,1,0,0,0,3,0,3,0,0,3
                         ,SPORTS ET LOISIRS  ,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0
                         ,VIE PRATIQUE       ,0,2,7,0,9,0,0,1,22,0,3,0,0,0,9,0,20,0,0,0,5,0,6,0,0,7
Haute-Chaussée           ,TOTAL              ,0,0,80,1,21,0,0,0,64,9,15,0,0,0,66,17,32,0,0,0,36,40,18,0,0,0
                         ,ALBUMS             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,BD JEUNESSE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,19,0,1,0,0,0,9,1,2,0,0,0,5,1,3,0,0,0,5,10,4,0,0,0
                         ,JEUX D'EXERCICES   ,0,0,21,0,4,0,0,0,12,0,1,0,0,0,11,4,1,0,0,0,6,12,3,0,0,0
                         ,JEUX A REGLES      ,0,0,23,0,12,0,0,0,29,3,11,0,0,0,33,3,13,0,0,0,19,6,5,0,0,0
                         ,JEUX SYMBOLIQUES   ,0,0,13,0,4,0,0,0,8,2,1,0,0,0,15,3,10,0,0,0,4,10,4,0,0,0
                         ,JEUX VIDEO         ,0,0,4,0,0,0,0,0,6,3,0,0,0,0,2,1,4,0,0,0,1,2,2,0,0,0
                         ,ROMANS JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,7,812,1086,574,603,2091,13,24,1445,550,496,1963,8,469,1491,387,666,2074,6,1078,1135,750,1012,1450,4,1001
                         ,ALBUMS             ,0,45,192,48,70,314,2,11,219,54,100,345,2,85,237,55,78,269,0,151,172,107,251,221,0,88
                         ,ARTS               ,0,12,10,4,6,40,1,0,18,25,14,28,0,3,17,9,13,26,0,8,24,9,6,26,0,32
                         ,GRAPHISME          ,0,1,4,6,2,7,2,0,2,1,9,11,0,0,8,1,2,15,0,0,7,0,0,9,0,11
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,2,67,59,33,33,115,2,1,55,23,25,146,0,24,57,19,30,163,0,59,49,23,41,99,0,53
                         ,BD JEUNESSE        ,0,56,180,67,71,377,1,2,266,50,35,302,0,21,312,43,61,342,0,175,214,118,204,201,0,180
                         ,CINEMA ADULTES     ,0,105,43,44,69,143,0,3,108,65,56,104,0,45,84,31,91,148,0,64,32,68,39,113,0,81
                         ,CINEMA JEUNESSE    ,0,15,49,9,26,111,0,0,61,21,15,59,0,14,60,21,22,72,1,52,28,22,44,64,0,27
                         ,CINEMA             ,0,0,0,0,3,3,0,0,1,2,0,2,0,1,1,0,1,2,0,1,0,3,0,2,0,0
                         ,DANSE              ,0,0,10,16,0,0,0,0,5,0,4,13,2,1,3,5,3,4,0,6,7,2,4,11,0,8
                         ,GEOGRAPHIE         ,1,22,24,29,20,23,0,0,13,15,22,24,0,11,18,2,25,24,0,26,13,6,9,15,0,24
                         ,HISTOIRE           ,0,14,18,5,4,28,0,0,11,10,1,16,0,7,5,3,6,28,0,22,22,13,27,13,0,16
                         ,INFORMATIQUE       ,0,2,1,0,3,8,0,0,1,1,11,7,0,2,5,0,9,5,0,6,0,1,0,7,0,2
                         ,JEUX D'ASSEMBLAGE  ,0,16,7,1,5,24,0,0,24,2,8,21,0,9,7,5,10,12,0,12,8,1,7,10,0,3
                         ,JEUX D'EXERCICES   ,0,17,17,1,4,19,0,0,37,2,3,21,2,1,23,1,2,7,0,11,10,2,3,8,0,10
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
                         ,JEUX               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,JEUX A REGLES      ,1,13,40,14,14,53,0,0,64,10,18,68,0,17,49,11,22,50,0,28,26,20,22,40,0,26
                         ,JEUX SYMBOLIQUES   ,0,6,23,2,6,20,0,0,38,4,6,22,0,9,19,5,8,18,0,11,11,9,6,9,0,3
                         ,JEUX VIDEO         ,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,0,7,2,1,4,11,0,1,5,2,8,8,0,3,8,3,1,5,0,18,4,4,1,5,0,8
                         ,LITTERATURE        ,0,1,3,1,0,3,0,2,4,0,0,4,0,3,3,2,0,2,0,0,4,2,2,2,0,0
