Lieu de prêt,Emplacement,"Nb prêt
01/07/19","Nb prêt
02/07/19","Nb prêt
03/07/19","Nb prêt
04/07/19","Nb prêt
05/07/19","Nb prêt
06/07/19","Nb prêt
08/07/19","Nb prêt
09/07/19","Nb prêt
10/07/19","Nb prêt
11/07/19","Nb prêt
12/07/19","Nb prêt
15/07/19","Nb prêt
16/07/19","Nb prêt
17/07/19","Nb prêt
18/07/19","Nb prêt
19/07/19","Nb prêt
22/07/19","Nb prêt
23/07/19","Nb prêt
24/07/19","Nb prêt
25/07/19","Nb prêt
26/07/19","Nb prêt
29/07/19","Nb prêt
30/07/19","Nb prêt
31/07/19"
TOTAL                    ,                   ,256,1124,2141,566,1048,1582,267,1238,1982,992,1246,239,1425,1846,773,1078,138,927,1453,907,1600,246,1879,1678
Haute Chaussée           ,TOTAL              ,0,38,111,20,44,0,5,12,51,103,5,1,37,57,44,38,0,10,41,53,30,0,0,0
                         ,ALBUMS             ,0,3,24,0,14,0,0,5,18,15,1,0,16,11,12,8,0,4,0,4,11,0,0,0
                         ,ARTS               ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,0,4,6,0,0,1,0,1,13,0,0,0,0,0,2,0,0,2,0,0,0,0,0
                         ,BD JEUNESSE        ,0,10,20,6,9,0,0,0,0,15,0,1,3,6,2,8,0,0,15,0,3,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,2,8,1,1,0,0,0,2,2,0,0,0,1,3,1,0,3,2,2,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,3,7,0,6,0,0,1,0,9,0,0,2,5,2,1,0,0,7,0,0,0,0,0
                         ,JEUX A REGLES      ,0,7,8,2,11,0,0,5,9,9,1,0,10,7,8,6,0,2,2,19,5,0,0,0
                         ,JEUX SYMBOLIQUES   ,0,1,9,3,2,0,0,0,3,2,0,0,0,2,4,1,0,1,4,3,6,0,0,0
                         ,JEUX VIDEO         ,0,0,4,0,1,0,0,0,1,1,0,0,1,0,4,0,0,0,3,0,0,0,0,0
                         ,LANGUES            ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
