Lieu de prêt,Emplacement,"Nb prêt
01/07/19","Nb prêt
02/07/19","Nb prêt
03/07/19","Nb prêt
04/07/19","Nb prêt
05/07/19","Nb prêt
06/07/19","Nb prêt
08/07/19","Nb prêt
09/07/19","Nb prêt
10/07/19","Nb prêt
11/07/19","Nb prêt
12/07/19","Nb prêt
15/07/19","Nb prêt
16/07/19","Nb prêt
17/07/19","Nb prêt
18/07/19","Nb prêt
19/07/19","Nb prêt
22/07/19","Nb prêt
23/07/19","Nb prêt
24/07/19","Nb prêt
25/07/19","Nb prêt
26/07/19","Nb prêt
29/07/19","Nb prêt
30/07/19","Nb prêt
31/07/19"
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,0,1,6,0,0,0,0,0,5,8,0,0,0,3,0,0,0,0,2,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,7,3,0,0,0,0,0,4,9,2,0,0,6,5,9,0,0,0,1,4,0,0,0
                         ,ROMANS JEUNESSE    ,0,2,14,0,0,0,0,0,4,5,0,0,3,6,0,1,0,0,3,24,0,0,0,0
                         ,SCIENCES           ,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
                         ,SOCIETE            ,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,1,2,0,0,2,0,0,7,0,0,2,5,1,0,0,0,1,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,24,633,1285,407,467,1425,39,882,1437,691,664,34,916,1356,543,721,10,672,1049,612,1061,31,1407,1393
                         ,ALBUMS             ,3,51,227,24,63,218,15,74,176,32,97,1,84,184,47,78,1,46,130,42,135,16,219,182
                         ,ARTS               ,0,12,12,5,4,15,0,8,21,11,6,0,12,9,6,10,0,13,26,8,12,0,12,19
                         ,GRAPHISME          ,0,3,3,0,0,11,0,5,4,3,1,0,1,2,3,2,0,4,2,2,0,0,1,4
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,BD ADULTES         ,2,38,45,14,19,91,0,56,100,25,48,2,39,74,37,30,1,39,50,49,51,0,90,80
                         ,BD JEUNESSE        ,0,130,239,65,82,276,0,133,233,142,88,2,155,187,48,121,1,103,129,67,160,0,208,202
                         ,CINEMA ADULTES     ,4,46,61,24,24,68,1,35,90,31,28,5,54,67,65,36,2,59,46,70,67,6,86,71
                         ,CINEMA JEUNESSE    ,0,11,38,12,6,38,0,27,51,18,16,7,29,44,11,17,0,4,28,24,44,1,59,39
                         ,DANSE              ,0,2,10,0,1,8,0,2,0,6,0,0,4,0,2,1,0,3,0,7,1,0,1,6
                         ,GEOGRAPHIE         ,12,12,23,11,18,35,2,5,47,15,20,0,24,35,8,23,0,19,14,10,14,0,20,28
                         ,HISTOIRE           ,0,6,5,6,9,15,0,9,10,6,2,0,13,10,2,3,0,5,11,7,16,0,12,24
                         ,INFORMATIQUE       ,0,5,1,2,3,10,0,9,10,5,2,0,8,12,3,7,0,2,7,2,4,0,3,7
                         ,JEUX D'ASSEMBLAGE  ,0,3,13,2,4,15,0,9,17,3,7,0,5,14,6,1,0,3,13,5,6,0,14,9
                         ,JEUX D'EXERCICES   ,0,1,24,3,0,5,0,7,10,5,2,0,2,14,2,3,0,6,12,3,14,0,4,19
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,GRANDS JEUX        ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,10,43,15,19,66,0,45,64,33,30,0,12,59,30,28,0,24,45,39,38,4,49,60
                         ,JEUX SYMBOLIQUES   ,1,0,31,5,5,16,0,9,17,5,5,0,6,11,5,3,0,4,16,7,6,0,12,21
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,0,1,1,0,2,14,0,0,5,1,7,0,10,4,2,2,0,8,7,5,1,0,10,2
                         ,LITTERATURE        ,1,0,3,5,2,4,0,2,5,0,3,0,6,2,3,2,0,1,0,2,2,0,4,4
                         ,LOISIRS CREATIFS   ,0,8,11,1,2,4,7,9,10,6,5,0,5,14,3,14,2,8,9,5,2,0,14,9
                         ,MUSIQUE ADULTES    ,0,34,77,10,20,35,0,59,59,41,28,0,77,60,28,28,1,50,47,46,61,2,55,52
                         ,MUSIQUE JEUNESSE   ,0,0,19,2,1,19,0,10,22,4,7,0,6,15,2,7,0,1,4,2,0,0,21,17
                         ,PHILOSOPHIE        ,0,5,3,3,2,6,0,6,3,7,0,0,3,10,5,1,0,2,8,1,0,0,5,3
                         ,PRESSE             ,0,41,61,6,27,48,0,40,63,25,12,0,51,48,31,66,1,33,71,29,60,1,52,45
                         ,FONDS PRO          ,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,5,5,6,1,20,0,2,12,4,5,0,3,10,16,5,0,7,14,8,6,0,8,5
                         ,RELIGIONS          ,0,3,3,1,1,3,0,4,3,9,0,0,3,7,1,2,0,1,0,4,1,0,4,2
                         ,ROMANS ADULTES     ,0,112,118,109,75,145,9,140,160,89,121,2,156,152,66,73,0,101,156,68,192,0,249,240
                         ,ROMANS JEUNESSE    ,0,32,106,16,27,118,0,71,106,67,38,0,46,126,46,89,0,39,80,36,79,1,94,130
                         ,SCIENCES           ,0,15,18,23,12,22,2,42,49,13,18,0,17,48,3,11,0,16,26,24,24,0,27,21
                         ,SOCIETE            ,1,10,14,11,4,21,2,16,16,14,0,0,20,23,21,2,0,5,14,15,11,0,25,13
                         ,SPORTS ET LOISIRS  ,0,4,5,1,1,4,0,3,10,3,3,1,3,12,2,4,0,1,1,6,4,0,6,7
                         ,VIE PRATIQUE       ,0,30,52,9,22,33,1,37,34,11,17,0,31,58,23,20,1,20,59,13,36,0,32,26
                         ,THEATRE            ,0,2,12,16,11,37,0,5,28,56,44,14,29,44,15,32,0,45,22,5,13,0,10,45
                         ,VERSION ORIGINALE  ,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0
                         ,xx                 ,0,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Bellevue                 ,TOTAL              ,232,150,446,0,236,0,198,74,271,0,261,202,210,185,7,98,126,81,112,1,188,202,90,133
                         ,ALBUMS             ,34,17,83,0,52,0,17,1,38,0,50,28,22,38,0,13,7,11,12,0,30,10,17,36
                         ,ARTS               ,6,1,0,0,0,0,2,0,1,0,1,3,1,0,0,0,1,5,0,0,5,0,0,1
                         ,GRAPHISME          ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,4,10,16,0,4,0,2,0,15,0,3,0,11,11,0,3,6,7,15,0,0,6,4,12
                         ,BD JEUNESSE        ,49,46,134,0,49,0,47,9,41,0,91,25,62,36,0,15,35,0,34,0,46,56,18,21
                         ,CINEMA ADULTES     ,22,4,1,0,7,0,5,5,25,0,2,8,4,3,0,3,11,10,0,0,10,6,0,3
                         ,CINEMA JEUNESSE    ,14,8,17,0,4,0,13,5,0,0,21,9,4,6,0,10,9,0,0,0,7,2,1,5
                         ,DANSE              ,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,7,0,8,0,7,0,5,0,1,0,11,8,0,6,0,0,2,0,0,0,2,2,0,2
                         ,HISTOIRE           ,1,1,1,0,2,0,5,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,1,0
                         ,INFORMATIQUE       ,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
                         ,JEUX VIDEO         ,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,0,1,5,0,4,0,1,0,1,0,1,0,0,0,7,3,0,2,0,0,5,0,0,0
                         ,LITTERATURE        ,1,2,2,0,0,0,0,0,1,0,1,1,0,4,0,0,1,0,0,0,4,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,8,0,1,0,3,0,0,0,1,1,0,2,0,0,1,0,0,0,2,0,0,0
                         ,MUSIQUE ADULTES    ,3,1,5,0,1,0,2,1,5,0,0,8,21,1,0,0,4,1,0,0,3,1,10,6
                         ,MUSIQUE JEUNESSE   ,0,2,2,0,5,0,3,0,0,0,5,7,10,9,0,2,1,0,0,0,0,1,0,1
                         ,PHILOSOPHIE        ,0,0,3,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,2,0,1
                         ,PRESSE             ,24,2,18,0,6,0,11,4,17,0,4,16,23,10,0,9,7,1,8,0,14,30,0,7
                         ,PSYCHOLOGIE        ,3,0,4,0,2,0,1,0,1,0,0,3,1,0,0,0,0,3,1,0,0,1,1,0
                         ,RELIGIONS          ,0,0,2,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,26,24,30,0,19,0,44,21,49,0,33,37,8,37,0,34,15,24,21,0,21,52,22,12
                         ,ROMANS JEUNESSE    ,24,19,77,0,61,0,18,21,61,0,21,23,23,2,0,4,9,6,15,0,23,31,6,11
                         ,SCIENCES           ,4,5,7,0,2,0,3,0,2,0,0,4,1,5,0,0,2,2,0,0,2,0,2,0
                         ,SOCIETE            ,2,3,2,0,0,0,5,2,3,0,2,2,3,1,0,2,9,2,0,0,3,1,0,1
                         ,SPORTS ET LOISIRS  ,1,2,3,0,1,0,5,1,0,0,0,1,0,1,0,0,0,0,0,0,4,0,1,2
                         ,VIE PRATIQUE       ,7,2,14,0,5,0,3,1,5,0,8,4,14,5,0,0,0,4,5,1,5,0,2,9
                         ,THEATRE            ,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0,0,4,1,0,0,0,0,5,1
 Ludothèque  Municipale          ,TOTAL              ,0,99,42,8,52,26,0,31,35,0,91,0,55,36,0,17,0,15,54,4,92,0,3,0
                         ,ALBUMS             ,0,14,0,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,4,0,4,0,0,0
                         ,AUTOUR DU JEU      ,0,0,1,0,2,0,0,0,3,0,2,0,0,0,0,0,0,1,2,0,5,0,0,0
                         ,BD ADULTES         ,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,BD JEUNESSE        ,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0
                         ,CINEMA ADULTES     ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,HISTOIRE           ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,12,2,0,3,1,0,3,5,0,4,0,9,4,0,5,0,2,9,0,2,0,0,0
                         ,JEUX D'EXERCICES   ,0,7,3,0,0,3,0,4,6,0,11,0,13,4,0,1,0,0,8,0,7,0,2,0
                         ,GRANDS JEUX        ,0,31,0,0,34,1,0,0,0,0,22,0,0,0,0,0,0,6,0,0,26,0,0,0
                         ,JEUX A REGLES      ,0,18,22,4,1,15,0,14,9,0,38,0,18,24,0,10,0,1,13,4,24,0,1,0
                         ,JEUX SYMBOLIQUES   ,0,17,10,0,7,5,0,6,6,0,11,0,14,4,0,0,0,2,14,0,13,0,0,0
                         ,JEUX VIDEO         ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
                         ,PHILOSOPHIE        ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gao Xingjian - Sillon    ,TOTAL              ,0,204,257,131,249,131,25,239,188,198,225,2,207,212,179,204,2,149,197,237,229,13,379,152
                         ,ALBUMS             ,0,31,43,3,54,22,1,20,13,23,20,0,42,8,28,27,0,19,10,19,14,0,40,7
                         ,ARTS               ,0,0,3,0,2,1,0,4,0,1,2,0,1,0,1,0,0,0,1,1,0,0,2,0
                         ,GRAPHISME          ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0
                         ,BD ADULTES         ,0,4,8,18,22,0,1,17,7,15,13,0,3,11,19,15,0,22,27,23,16,0,25,13
                         ,BD JEUNESSE        ,0,23,48,33,31,34,16,54,33,31,74,0,37,50,29,29,0,30,69,56,17,6,94,35
                         ,CINEMA ADULTES     ,0,1,2,0,14,0,0,5,0,3,2,0,10,6,0,2,0,0,2,1,0,0,1,0
                         ,CINEMA JEUNESSE    ,0,0,0,2,1,0,0,0,3,1,0,0,1,0,0,3,0,2,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,2,0,0,0,0,0,5,2,0,2,0,3,3,2,0,0,2,1,1,1,0,1,2
                         ,INFORMATIQUE       ,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,2,0,1,0,1,7,0,1,0,0,0,0,0,0,1,0,0,6,0,1,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,28,20,2,11,6,2,32,14,23,17,1,49,28,10,12,1,10,13,14,35,1,34,26
                         ,JEUX VIDEO         ,0,7,6,2,6,7,1,14,11,14,1,1,10,19,6,3,0,6,11,6,5,0,20,10
                         ,LANGUES            ,0,5,0,3,9,4,0,3,5,2,2,0,6,0,8,0,0,1,5,11,3,1,5,7
                         ,LOISIRS CREATIFS   ,0,0,9,4,11,1,0,15,2,4,7,0,2,7,0,8,0,4,0,4,2,0,1,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,8,0,0,2,0,0,2,0,0,3,1,3,0,0,1,3,1,0,1,0
                         ,MUSIQUE JEUNESSE   ,0,0,1,1,7,0,0,1,3,2,0,0,1,3,0,2,0,1,0,0,2,0,0,0
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0
                         ,PRESSE             ,0,3,22,6,10,9,0,5,15,19,6,0,2,0,19,3,0,4,2,1,26,2,10,17
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,2,1,4,1,2,0,5,6,6,2,0,0,4,3,2,0,4,0,1,10,0,8,0
                         ,ROMANS ADULTES     ,0,56,36,30,38,13,0,22,21,17,32,0,28,31,19,48,1,24,27,53,33,1,67,22
                         ,ROMANS JEUNESSE    ,0,20,38,11,15,19,0,16,27,24,29,0,5,6,24,34,0,7,19,13,29,0,38,7
                         ,SCIENCES           ,0,11,3,2,1,0,0,6,3,3,0,0,0,8,1,2,0,4,2,0,11,0,5,1
                         ,SOCIETE            ,0,2,4,1,5,11,0,0,7,3,1,0,3,5,1,3,0,1,0,8,5,0,3,2
                         ,SPORTS ET LOISIRS  ,0,0,3,0,1,0,3,2,0,2,0,0,0,5,3,2,0,0,0,0,4,1,0,0
                         ,VIE PRATIQUE       ,0,9,8,6,2,1,0,8,7,2,11,0,3,12,2,4,0,7,5,19,9,1,23,3
                         ,THEATRE            ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
