Lieu de prêt,Emplacement,"Nb prêt
03/07/17","Nb prêt
04/07/17","Nb prêt
05/07/17","Nb prêt
06/07/17","Nb prêt
07/07/17","Nb prêt
10/07/17","Nb prêt
11/07/17","Nb prêt
12/07/17","Nb prêt
13/07/17","Nb prêt
17/07/17","Nb prêt
18/07/17","Nb prêt
19/07/17","Nb prêt
20/07/17","Nb prêt
21/07/17","Nb prêt
24/07/17","Nb prêt
25/07/17","Nb prêt
26/07/17","Nb prêt
27/07/17","Nb prêt
28/07/17","Nb prêt
31/07/17"
                         ,JEUX D'ASSEMBLAGE  ,0,5,6,12,4,0,12,11,5,0,5,16,3,6,0,14,14,6,5,0
                         ,JEUX D'EXERCICES   ,0,3,8,5,7,0,6,15,1,0,3,14,11,7,0,7,21,3,7,0
                         ,JEUX               ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,2,29,40,27,31,1,34,40,41,0,2,56,14,15,0,27,58,28,19,0
                         ,JEUX SYMBOLIQUES   ,0,6,17,7,15,0,18,12,6,0,5,19,14,6,0,12,17,9,10,0
                         ,JEUX VIDEO         ,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
                         ,LANGUES            ,0,3,4,0,1,0,10,4,0,0,5,3,2,4,0,2,7,4,6,0
                         ,LITTERATURE        ,1,5,0,4,0,0,3,3,1,0,5,2,1,3,0,4,0,5,5,0
                         ,FONDS LOCAL        ,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,11,8,6,2,0,8,9,16,0,5,17,3,6,0,4,11,10,5,0
                         ,MUSIQUE ADULTES    ,0,40,40,102,99,3,84,96,48,0,77,57,90,43,0,72,121,140,44,0
                         ,MUSIQUE            ,0,1,1,2,2,0,2,1,2,0,0,1,1,1,0,4,2,1,0,0
                         ,MUSIQUE JEUNESSE   ,0,7,28,14,1,0,7,13,11,0,4,11,19,0,0,10,27,4,16,0
                         ,PHILOSOPHIE        ,0,4,0,0,5,1,23,8,3,0,9,2,2,5,0,3,10,2,3,0
                         ,PRESSE             ,0,32,43,11,13,8,38,52,15,1,25,24,10,22,0,49,46,25,21,1
                         ,PSYCHOLOGIE        ,0,13,9,4,4,0,6,11,8,1,6,22,10,5,0,12,10,3,9,0
                         ,RELIGIONS          ,1,6,11,4,0,0,3,8,1,0,5,1,1,1,0,5,1,2,1,0
                         ,ROMANS ADULTES     ,0,182,89,61,120,0,129,136,116,4,96,137,108,100,0,127,161,90,82,0
                         ,ROMANS JEUNESSE    ,4,48,80,43,54,2,106,71,88,0,76,83,37,34,0,51,66,38,28,1
                         ,SCIENCES           ,0,13,20,4,19,0,42,13,25,3,22,22,23,15,1,16,28,15,2,0
                         ,SOCIETE            ,0,14,18,11,15,1,25,19,13,0,21,10,2,13,0,13,55,7,15,0
                         ,SPORTS ET LOISIRS  ,0,9,2,2,9,1,5,6,3,0,3,7,1,2,0,6,8,9,2,0
