Lieu de prêt,Emplacement,"Nb prêt
01/08/17","Nb prêt
02/08/17","Nb prêt
03/08/17","Nb prêt
04/08/17","Nb prêt
07/08/17","Nb prêt
08/08/17","Nb prêt
09/08/17","Nb prêt
10/08/17","Nb prêt
11/08/17","Nb prêt
16/08/17","Nb prêt
17/08/17","Nb prêt
18/08/17","Nb prêt
21/08/17","Nb prêt
22/08/17","Nb prêt
23/08/17","Nb prêt
24/08/17","Nb prêt
25/08/17","Nb prêt
28/08/17","Nb prêt
29/08/17","Nb prêt
30/08/17","Nb prêt
31/08/17"
TOTAL                    ,                   ,1370,1430,852,1142,331,1374,1332,708,1035,1659,1251,1112,112,1276,1508,922,1098,260,1371,2261,1137
Bourg                    ,TOTAL              ,4,0,0,0,0,0,0,0,0,0,0,0,3,105,146,0,201,0,115,293,2
                         ,ALBUMS             ,0,0,0,0,0,0,0,0,0,0,0,0,0,30,38,0,25,0,26,69,1
                         ,ARTS               ,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,0,1,0,0
                         ,BD ADULTES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,16,0,0,14,0
                         ,BD JEUNESSE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0,38,0,41,66,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,DANSE              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
                         ,GEOGRAPHIE         ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0
                         ,JEUX A REGLES      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
                         ,LANGUES            ,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,0,1,0,0,2,0
