Lieu de prêt,Emplacement,"Nb prêt
01/08/17","Nb prêt
02/08/17","Nb prêt
03/08/17","Nb prêt
04/08/17","Nb prêt
07/08/17","Nb prêt
08/08/17","Nb prêt
09/08/17","Nb prêt
10/08/17","Nb prêt
11/08/17","Nb prêt
16/08/17","Nb prêt
17/08/17","Nb prêt
18/08/17","Nb prêt
21/08/17","Nb prêt
22/08/17","Nb prêt
23/08/17","Nb prêt
24/08/17","Nb prêt
25/08/17","Nb prêt
28/08/17","Nb prêt
29/08/17","Nb prêt
30/08/17","Nb prêt
31/08/17"
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,PRESSE             ,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,25,0,6,43,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0
                         ,ROMANS ADULTES     ,3,0,0,0,0,0,0,0,0,0,0,0,0,26,48,0,57,0,18,39,0
                         ,ROMANS JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,26,0,14,19,1
                         ,SCIENCES           ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,5,0
                         ,SOCIETE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,3,0
                         ,SPORTS ET LOISIRS  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
                         ,VIE PRATIQUE       ,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1,0,1,11,0
Haute-Chaussée           ,TOTAL              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,21,0,1,52,11
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,0,0,7,1
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,11,3
                         ,JEUX A REGLES      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,14,0,1,18,2
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,12,5
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
                         ,ROMANS JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,978,1167,688,799,28,996,950,555,639,1251,970,758,6,834,937,603,616,31,869,1409,865
                         ,ALBUMS             ,112,211,79,91,8,137,111,54,47,196,152,93,0,60,172,73,64,4,148,241,133
                         ,ARTS               ,12,15,4,6,0,10,11,2,11,8,5,7,2,14,24,4,4,2,10,12,16
                         ,GRAPHISME          ,2,2,8,3,0,3,2,1,3,5,1,0,0,1,7,1,4,0,2,4,10
                         ,BD ADULTES         ,77,98,28,24,0,69,64,22,45,87,52,53,0,40,35,47,47,6,42,69,87
                         ,BD JEUNESSE        ,265,163,135,128,1,130,160,58,136,226,184,110,0,188,97,80,104,3,148,220,92
                         ,CINEMA ADULTES     ,62,82,56,52,0,94,72,52,54,92,63,61,0,51,58,36,75,0,45,91,31
                         ,CINEMA JEUNESSE    ,24,48,33,17,0,33,39,69,13,41,60,33,0,22,43,19,17,0,40,70,28
                         ,CINEMA             ,1,0,1,0,0,2,0,0,0,1,2,1,0,1,1,0,2,0,0,1,1
                         ,DANSE              ,0,1,0,1,2,6,0,7,1,5,3,0,0,8,1,12,6,0,3,3,4
                         ,GEOGRAPHIE         ,14,25,8,26,0,12,13,3,9,7,7,4,0,15,7,5,30,0,12,19,8
                         ,HISTOIRE           ,5,14,1,7,0,15,10,5,15,10,13,5,0,15,8,12,9,0,1,12,8
                         ,INFORMATIQUE       ,1,8,4,21,0,1,9,1,3,4,3,4,0,6,4,2,4,0,4,7,3
                         ,JEUX D'ASSEMBLAGE  ,3,10,7,9,0,10,8,3,3,12,10,5,0,8,4,3,6,1,7,25,6
                         ,JEUX D'EXERCICES   ,6,6,7,5,0,5,5,4,4,11,3,2,0,7,11,8,1,0,4,18,8
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
                         ,JEUX               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,JEUX A REGLES      ,32,36,11,10,6,28,15,23,28,59,22,14,0,16,25,16,15,1,31,43,17
                         ,JEUX SYMBOLIQUES   ,4,20,9,13,0,14,13,4,2,13,13,8,0,5,16,7,5,5,5,31,10
                         ,JEUX VIDEO         ,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,3,10,2,8,0,9,9,4,6,8,0,1,0,5,3,4,1,0,3,7,13
                         ,LETTRES            ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LITTERATURE        ,6,2,1,2,0,2,1,2,1,2,3,0,0,5,0,2,0,0,3,2,2
                         ,FONDS LOCAL        ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,8,10,9,0,0,12,17,3,8,7,6,17,0,9,13,6,1,0,9,5,2
                         ,MUSIQUE ADULTES    ,76,74,54,33,0,82,83,32,50,54,43,74,0,66,79,23,47,4,41,50,74
                         ,MUSIQUE            ,2,0,0,2,0,1,4,3,0,3,0,2,0,0,2,0,0,1,1,0,0
                         ,MUSIQUE JEUNESSE   ,7,25,11,17,0,16,13,9,1,17,12,4,0,5,13,1,5,0,7,28,5
                         ,PHILOSOPHIE        ,3,2,5,8,0,4,1,6,2,17,6,6,0,3,7,1,6,2,2,13,3
                         ,PRESSE             ,17,36,22,52,0,35,28,4,29,31,35,25,0,17,52,21,10,0,39,25,36
                         ,PSYCHOLOGIE        ,6,5,2,10,0,12,5,5,7,6,10,2,0,11,6,3,6,0,8,15,4
                         ,RELIGIONS          ,1,2,5,8,0,1,0,0,1,2,1,3,0,0,3,1,2,0,3,18,10
                         ,ROMANS ADULTES     ,141,125,77,106,1,105,118,52,80,145,116,120,4,128,97,57,62,1,110,149,111
                         ,ROMANS JEUNESSE    ,31,50,46,51,0,32,59,39,29,85,79,55,0,60,36,43,33,0,46,90,69
                         ,SCIENCES           ,9,24,19,11,9,42,23,23,14,19,12,18,0,26,21,42,17,1,28,55,19
                         ,SOCIETE            ,13,14,11,21,0,16,11,23,11,32,23,4,0,14,8,4,11,0,17,37,11
                         ,SPORTS ET LOISIRS  ,1,8,0,8,0,2,2,5,0,4,4,4,0,4,4,1,5,0,7,7,3
                         ,VIE PRATIQUE       ,8,28,13,30,0,29,12,35,22,32,22,18,0,12,22,13,10,0,26,35,20
                         ,THEATRE            ,26,12,19,18,1,27,32,2,2,8,4,3,0,12,56,55,6,0,11,4,20
                         ,VERSION ORIGINALE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0
                         ,xx                 ,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,1
Bellevue                 ,TOTAL              ,79,128,0,137,287,159,172,0,171,182,0,235,92,85,131,0,125,225,47,274,0
                         ,ALBUMS             ,15,23,0,16,32,27,30,0,42,23,0,49,20,15,27,0,20,43,11,79,0
                         ,ARTS               ,0,2,0,2,0,0,5,0,5,0,0,3,0,0,0,0,0,1,0,3,0
                         ,GRAPHISME          ,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0
                         ,BD ADULTES         ,0,14,0,14,23,17,12,0,32,20,0,26,3,17,4,0,18,20,6,6,0
                         ,BD JEUNESSE        ,10,24,0,23,66,31,50,0,12,50,0,46,3,6,14,0,19,50,4,63,0
                         ,CINEMA ADULTES     ,5,7,0,8,25,18,1,0,0,13,0,1,8,3,12,0,6,14,0,6,0
                         ,CINEMA JEUNESSE    ,9,2,0,4,21,10,19,0,3,4,0,5,6,0,11,0,2,5,0,32,0
                         ,CINEMA             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
                         ,DANSE              ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,0,3,4,1,2,0,2,1,0,0,1,2,2,0,3,0,1,2,0
                         ,HISTOIRE           ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
                         ,INFORMATIQUE       ,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
                         ,JEUX A REGLES      ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,LANGUES            ,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
                         ,LOISIRS CREATIFS   ,0,4,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,1,1,4,0
                         ,MUSIQUE ADULTES    ,4,1,0,6,5,9,6,0,2,6,0,2,5,1,6,0,12,4,0,2,0
                         ,MUSIQUE            ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,3,0,0,0,3,4,1,0,0,0,0,2,0,2,1,0,0,5,0,1,0
                         ,PHILOSOPHIE        ,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,3,0,2,0
                         ,PRESSE             ,3,3,0,17,36,12,11,0,11,7,0,35,7,1,15,0,8,17,4,24,0
                         ,PSYCHOLOGIE        ,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0
                         ,RELIGIONS          ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,20,32,0,19,37,10,25,0,23,24,0,32,34,26,24,0,22,27,15,24,0
                         ,ROMANS JEUNESSE    ,2,8,0,16,24,8,4,0,8,17,0,12,1,6,5,0,12,19,3,12,0
                         ,SCIENCES           ,0,4,0,2,3,1,1,0,2,3,0,6,2,1,2,0,0,5,0,4,0
                         ,SOCIETE            ,1,0,0,1,0,3,0,0,3,7,0,8,1,0,0,0,0,0,0,2,0
                         ,SPORTS ET LOISIRS  ,1,0,0,0,1,1,1,0,2,1,0,2,0,0,0,0,1,0,0,2,0
                         ,VIE PRATIQUE       ,2,1,0,1,5,7,1,0,13,3,0,3,1,2,2,0,0,5,0,3,0
                         ,THEATRE            ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gao Xingjian - Sillon    ,TOTAL              ,309,135,164,206,16,219,210,153,225,226,281,119,11,252,262,299,135,4,339,233,259
                         ,ALBUMS             ,26,17,30,2,6,27,40,59,40,52,36,3,2,58,35,89,33,0,57,66,42
                         ,ARTS               ,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0
                         ,GRAPHISME          ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,9,5,14,6,0,33,14,9,19,4,27,7,0,29,10,28,3,0,39,11,4
                         ,BD JEUNESSE        ,47,20,30,33,0,44,52,9,68,9,77,30,0,35,55,45,23,1,84,40,71
                         ,CINEMA ADULTES     ,17,0,0,0,0,0,0,0,0,0,1,1,0,4,8,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0
                         ,GEOGRAPHIE         ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0
                         ,INFORMATIQUE       ,1,0,2,2,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,7
                         ,JEUX D'ASSEMBLAGE  ,2,1,0,0,0,3,1,0,0,1,0,0,0,1,0,1,0,0,2,3,3
                         ,JEUX D'EXERCICES   ,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,34,29,15,17,0,26,13,8,19,33,31,12,1,12,21,20,9,0,30,26,35
                         ,JEUX VIDEO         ,24,10,6,7,0,7,7,9,8,16,11,5,1,2,10,9,15,0,11,12,5
                         ,LANGUES            ,2,9,4,1,0,3,3,0,2,0,2,0,0,7,1,4,1,0,6,0,8
                         ,LOISIRS CREATIFS   ,1,4,2,6,0,4,3,6,6,8,8,0,0,1,5,0,0,0,2,2,2
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,1,0,2,1,0,2,3,0,0,0,1,2,1,0,0,1,0,0,3,0,1
                         ,PHILOSOPHIE        ,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,PRESSE             ,8,1,14,22,3,8,20,14,1,25,14,1,5,12,23,26,6,0,28,14,3
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,4,2,2,7,2,0,2,0,3,0,3,1,0,1,1,5,1,1,3,6,5
                         ,ROMANS ADULTES     ,55,13,29,62,0,25,21,16,26,39,28,38,1,29,37,32,16,0,32,11,28
                         ,ROMANS JEUNESSE    ,58,5,10,13,1,19,16,12,20,18,26,4,0,41,31,25,20,1,28,22,36
                         ,SCIENCES           ,4,1,0,1,1,2,1,6,0,8,2,2,0,0,2,3,1,0,3,6,0
                         ,SOCIETE            ,3,2,0,14,0,4,1,1,0,1,4,3,0,8,5,1,2,0,4,3,4
                         ,SPORTS ET LOISIRS  ,1,0,0,2,0,2,1,0,0,0,1,2,0,0,0,1,0,0,1,0,1
                         ,VIE PRATIQUE       ,9,15,4,7,0,9,12,2,11,9,6,8,0,4,10,6,5,0,3,9,3
                         ,THEATRE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,1
