Lieu de prêt,Emplacement,"Nb prêt
01/05/19","Nb prêt
02/05/19","Nb prêt
03/05/19","Nb prêt
04/05/19","Nb prêt
05/05/19","Nb prêt
06/05/19","Nb prêt
07/05/19","Nb prêt
08/05/19","Nb prêt
09/05/19","Nb prêt
10/05/19","Nb prêt
11/05/19","Nb prêt
12/05/19","Nb prêt
13/05/19","Nb prêt
14/05/19","Nb prêt
15/05/19","Nb prêt
16/05/19","Nb prêt
17/05/19","Nb prêt
18/05/19","Nb prêt
19/05/19","Nb prêt
20/05/19","Nb prêt
21/05/19","Nb prêt
22/05/19","Nb prêt
23/05/19","Nb prêt
24/05/19","Nb prêt
25/05/19","Nb prêt
27/05/19","Nb prêt
28/05/19","Nb prêt
29/05/19","Nb prêt
30/05/19","Nb prêt
31/05/19"
                         ,CINEMA ADULTES     ,0,47,116,185,0,0,50,1,42,30,119,0,2,41,79,41,58,136,0,5,64,36,21,33,121,3,60,45,1,47
                         ,CINEMA JEUNESSE    ,0,18,25,107,3,0,28,0,20,6,98,6,1,7,48,19,19,73,0,2,26,25,9,6,80,0,15,28,2,39
                         ,DANSE              ,0,1,1,10,0,0,0,0,0,0,11,0,0,4,7,5,3,0,0,0,12,1,2,1,5,0,0,1,0,6
                         ,GEOGRAPHIE         ,0,7,15,53,0,0,9,0,12,24,38,0,0,19,16,12,8,40,0,3,10,29,19,14,39,1,21,29,0,16
                         ,HISTOIRE           ,0,4,4,38,0,0,8,0,8,4,24,0,0,3,12,10,9,30,0,0,5,10,10,3,33,0,7,6,2,5
                         ,INFORMATIQUE       ,0,3,3,24,0,0,1,0,0,0,12,0,2,0,3,4,0,9,0,1,8,4,3,2,14,0,1,4,0,6
                         ,JEUX D'ASSEMBLAGE  ,0,8,9,28,0,1,6,0,3,2,11,0,2,3,13,4,6,17,0,0,6,8,6,2,17,0,6,8,0,4
                         ,JEUX D'EXERCICES   ,0,7,6,19,0,0,9,0,11,4,10,0,3,1,4,11,9,14,0,0,6,4,8,0,16,0,9,8,0,1
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX               ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,15,27,84,1,2,31,1,43,17,83,4,0,12,25,20,17,90,0,2,6,34,15,25,73,9,23,47,6,20
                         ,JEUX SYMBOLIQUES   ,1,17,6,30,0,0,3,1,12,1,12,0,0,4,13,8,4,30,0,0,2,13,10,1,12,0,7,18,0,2
                         ,JEUX VIDEO         ,0,0,0,4,0,2,0,0,0,0,1,1,0,1,0,1,0,3,0,0,0,0,1,0,2,0,2,2,0,1
                         ,LANGUES            ,0,3,1,15,0,0,4,0,2,1,14,0,0,0,1,7,1,18,0,3,2,2,1,1,8,0,0,8,0,4
                         ,LITTERATURE        ,0,2,2,4,0,0,5,0,3,1,7,0,0,2,1,2,2,1,0,0,8,3,1,2,2,0,1,0,0,0
                         ,LOISIRS CREATIFS   ,1,6,2,41,0,6,1,0,4,10,22,1,2,3,9,4,6,19,1,0,8,16,4,4,15,0,6,17,4,13
                         ,MUSIQUE ADULTES    ,0,47,67,181,3,0,40,0,57,48,159,3,5,31,104,32,46,45,0,5,56,27,29,85,166,1,27,61,0,49
                         ,MUSIQUE JEUNESSE   ,0,5,3,42,0,0,3,0,14,4,30,0,0,2,20,9,1,24,0,0,3,8,3,5,20,0,8,13,3,2
                         ,PHILOSOPHIE        ,0,2,1,14,0,0,2,0,4,0,5,0,0,0,5,0,0,2,0,0,1,3,7,1,7,0,0,4,0,5
                         ,PRESSE             ,6,57,40,127,0,1,50,1,15,46,92,2,1,27,41,34,23,106,0,0,22,35,47,28,106,4,34,40,4,29
                         ,FONDS PRO          ,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,7,19,41,0,0,10,0,7,5,18,2,0,4,9,3,0,16,0,1,12,10,6,9,17,0,15,7,0,10
                         ,RELIGIONS          ,0,3,2,14,0,0,3,0,0,4,11,0,1,6,2,2,6,10,0,0,0,2,2,2,6,0,0,2,0,9
                         ,ROMANS ADULTES     ,4,89,61,250,3,1,151,2,78,106,191,3,20,138,139,76,98,255,0,8,159,116,49,80,153,9,173,154,5,109
                         ,ROMANS JEUNESSE    ,4,33,43,182,3,1,23,2,63,21,235,0,0,9,78,44,53,247,1,0,24,81,59,22,195,0,22,80,13,37
                         ,SCIENCES           ,1,18,16,61,0,0,19,4,31,21,57,0,11,8,30,7,24,69,0,2,6,19,9,7,43,2,11,17,10,23
                         ,SOCIETE            ,1,16,17,64,0,12,13,0,7,18,67,0,1,9,35,11,20,37,0,9,30,10,19,15,20,2,23,8,3,9
                         ,SPORTS ET LOISIRS  ,0,6,9,11,0,0,3,0,0,5,8,0,1,0,2,3,2,11,1,2,0,1,2,1,6,2,3,4,0,3
                         ,VIE PRATIQUE       ,21,25,31,84,1,1,24,2,49,30,64,6,1,20,49,28,14,69,0,3,30,38,28,18,63,2,27,30,7,32
                         ,THEATRE            ,0,6,17,5,0,0,17,0,45,29,14,0,0,4,1,3,3,19,0,0,10,3,10,14,12,0,52,26,0,13
                         ,VERSION ORIGINALE  ,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
                         ,xx                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Bellevue                 ,TOTAL              ,0,27,302,0,0,278,268,0,5,279,0,0,250,217,630,23,332,0,0,308,273,479,20,300,0,296,238,503,0,81
                         ,ALBUMS             ,0,22,30,0,0,26,29,0,1,33,0,0,58,53,103,16,85,0,0,19,48,85,20,72,0,17,56,103,0,16
                         ,ARTS               ,0,0,2,0,0,1,9,0,0,6,0,0,1,1,7,0,1,0,0,12,1,2,0,0,0,1,2,2,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
                         ,BD ADULTES         ,0,0,4,0,0,9,18,0,0,10,0,0,19,13,28,0,26,0,0,17,18,17,0,8,0,10,35,16,0,6
                         ,BD JEUNESSE        ,0,0,101,0,0,93,64,0,0,63,0,0,47,42,180,1,69,0,0,70,66,157,0,72,0,77,26,157,0,13
                         ,CINEMA ADULTES     ,0,0,16,0,0,29,7,0,1,6,0,0,3,3,31,3,13,0,0,21,6,14,0,17,0,26,10,15,0,1
                         ,CINEMA JEUNESSE    ,0,0,12,0,0,5,6,0,0,2,0,0,5,11,33,1,9,0,0,4,14,13,0,9,0,9,1,22,0,0
