Lieu de prêt,Emplacement,"Nb prêt
02/11/18","Nb prêt
03/11/18","Nb prêt
05/11/18","Nb prêt
06/11/18","Nb prêt
07/11/18","Nb prêt
08/11/18","Nb prêt
09/11/18","Nb prêt
10/11/18","Nb prêt
12/11/18","Nb prêt
13/11/18","Nb prêt
14/11/18","Nb prêt
15/11/18","Nb prêt
16/11/18","Nb prêt
17/11/18","Nb prêt
19/11/18","Nb prêt
20/11/18","Nb prêt
21/11/18","Nb prêt
22/11/18","Nb prêt
23/11/18","Nb prêt
24/11/18","Nb prêt
26/11/18","Nb prêt
27/11/18","Nb prêt
28/11/18","Nb prêt
29/11/18","Nb prêt
30/11/18"
                         ,JEUX               ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,41,43,0,12,41,25,24,86,0,27,37,8,12,74,4,6,38,9,10,77,0,7,40,14,7
                         ,JEUX SYMBOLIQUES   ,10,21,0,7,19,8,7,18,0,7,21,1,4,30,0,3,15,7,4,15,0,14,19,2,3
                         ,JEUX VIDEO         ,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
                         ,LANGUES            ,9,16,0,6,13,2,2,15,0,2,6,0,1,6,0,5,18,1,4,17,0,5,5,3,1
                         ,LETTRES            ,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LITTERATURE        ,1,9,0,0,7,1,1,0,0,1,1,2,0,4,0,0,1,3,2,3,0,3,3,0,1
                         ,FONDS LOCAL        ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,16,36,0,12,20,4,8,17,0,4,13,0,4,33,0,13,15,10,12,16,0,7,10,11,1
                         ,MUSIQUE ADULTES    ,89,105,0,81,87,55,73,139,0,36,96,7,30,54,0,65,43,18,67,164,5,43,58,44,84
                         ,MUSIQUE            ,2,2,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,2,2,0,0,0,0,2
                         ,MUSIQUE JEUNESSE   ,26,20,0,7,15,4,6,23,0,4,17,4,9,32,0,4,31,4,0,31,0,8,30,4,4
                         ,PHILOSOPHIE        ,7,9,0,6,10,1,3,6,0,2,7,3,3,10,0,3,2,2,2,16,0,1,5,8,2
                         ,PRESSE             ,30,87,0,28,96,34,36,102,0,42,80,16,35,88,0,23,49,36,6,87,2,18,69,31,21
                         ,FONDS PRO          ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,6,24,0,5,15,8,10,19,0,2,7,5,5,15,0,7,8,1,2,23,0,2,12,0,0
                         ,RELIGIONS          ,3,10,0,0,7,1,4,8,0,3,4,1,1,6,0,1,7,3,0,4,0,2,3,2,0
                         ,ROMANS ADULTES     ,101,189,0,108,156,97,78,189,0,92,140,69,111,115,0,84,134,56,73,195,0,119,132,86,102
                         ,ROMANS JEUNESSE    ,94,134,1,10,78,1,42,175,0,30,139,11,22,157,0,15,98,15,12,147,0,30,97,21,18
                         ,SCIENCES           ,32,63,0,26,40,17,16,43,0,15,64,8,10,40,0,28,31,8,7,48,0,13,32,9,12
                         ,SOCIETE            ,17,30,3,25,25,6,13,32,0,8,20,11,24,40,0,33,20,13,8,59,0,13,28,11,2
                         ,SPORTS ET LOISIRS  ,2,9,0,7,2,1,0,21,0,5,4,0,3,3,1,1,9,1,5,15,0,2,5,1,0
                         ,VIE PRATIQUE       ,29,70,0,36,49,22,29,56,0,18,45,5,24,63,0,12,39,14,13,63,0,24,28,24,10
                         ,THEATRE            ,53,34,0,34,23,25,29,92,0,61,49,10,11,9,0,7,50,3,5,34,0,21,26,25,52
                         ,VERSION ORIGINALE  ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0
                         ,xx                 ,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Bellevue                 ,TOTAL              ,115,0,260,247,907,22,277,0,369,299,697,13,282,0,224,272,716,2,135,0,282,248,647,2,235
                         ,ALBUMS             ,18,0,45,69,263,4,38,0,73,91,151,4,65,0,42,95,154,0,11,0,71,57,102,0,26
                         ,ARTS               ,1,0,3,3,12,0,4,0,1,0,5,0,0,0,2,1,10,0,5,0,3,1,6,0,0
                         ,GRAPHISME          ,1,0,0,1,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
                         ,BD ADULTES         ,10,0,13,7,45,2,19,0,27,11,55,0,16,0,20,6,52,1,14,0,17,4,26,0,13
                         ,BD JEUNESSE        ,14,0,64,40,198,5,69,0,80,61,190,5,75,0,69,68,185,0,36,0,53,61,207,0,59
                         ,CINEMA ADULTES     ,5,0,3,7,17,0,10,0,14,7,29,0,12,0,6,25,8,0,8,0,14,5,25,2,4
                         ,CINEMA JEUNESSE    ,2,0,4,5,24,1,6,0,14,9,31,3,11,0,1,7,30,0,9,0,3,18,13,0,6
                         ,CINEMA             ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,DANSE              ,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1
                         ,GEOGRAPHIE         ,4,0,4,0,7,0,1,0,1,2,2,0,1,0,1,1,12,0,1,0,2,3,4,0,6
                         ,HISTOIRE           ,3,0,0,0,3,0,2,0,2,1,2,0,0,0,3,0,1,0,1,0,1,3,11,0,4
                         ,INFORMATIQUE       ,0,0,0,0,5,0,1,0,0,0,2,0,1,0,2,1,0,0,0,0,2,3,2,0,2
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0
