Lieu de prêt,Emplacement,"Nb prêt
02/09/19","Nb prêt
03/09/19","Nb prêt
04/09/19","Nb prêt
05/09/19","Nb prêt
06/09/19","Nb prêt
07/09/19","Nb prêt
09/09/19","Nb prêt
10/09/19","Nb prêt
11/09/19","Nb prêt
12/09/19","Nb prêt
13/09/19","Nb prêt
14/09/19","Nb prêt
16/09/19","Nb prêt
17/09/19","Nb prêt
18/09/19","Nb prêt
19/09/19","Nb prêt
20/09/19","Nb prêt
21/09/19","Nb prêt
23/09/19","Nb prêt
24/09/19","Nb prêt
25/09/19","Nb prêt
26/09/19","Nb prêt
27/09/19","Nb prêt
28/09/19","Nb prêt
30/09/19"
TOTAL                    ,                 ,236,1119,2694,729,799,2640,232,1086,2431,784,886,2041,294,1127,2410,650,1041,1931,250,1074,2639,521,1150,2742,264
Haute Chaussée           ,TOTAL            ,0,40,113,19,38,0,0,33,65,85,17,0,0,57,96,45,42,0,0,48,127,17,34,0,0
                         ,ALBUMS           ,0,5,18,6,5,0,0,11,14,31,0,0,0,2,15,15,9,0,0,21,37,5,14,0,0
                         ,BD ADULTES       ,0,0,2,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD JEUNESSE      ,0,17,16,3,13,0,0,9,17,6,5,0,0,15,19,5,11,0,0,6,18,0,1,0,0
                         ,CINEMA ADULTES   ,0,1,0,0,0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,2,3,0,0,0
                         ,INFORMATIQUE     ,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,JEUX D'ASSEMBLAGE,0,0,6,1,1,0,0,0,2,6,0,0,0,1,4,2,2,0,0,2,8,0,1,0,0
                         ,JEUX D'EXERCICES ,0,1,4,0,1,0,0,4,1,11,1,0,0,0,1,12,2,0,0,2,3,0,1,0,0
                         ,JEUX A REGLES    ,0,0,15,3,10,0,0,2,11,9,1,0,0,3,18,2,9,0,0,9,20,5,6,0,0
                         ,JEUX SYMBOLIQUES ,0,5,10,0,0,0,0,0,3,6,1,0,0,0,6,6,0,0,0,5,8,1,3,0,0
                         ,JEUX VIDEO       ,0,2,3,0,1,0,0,0,1,2,3,0,0,1,2,1,1,0,0,1,2,0,0,0,0
                         ,LOISIRS CREATIFS ,0,0,0,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0
                         ,MUSIQUE JEUNESSE ,0,1,4,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE           ,0,0,2,2,0,0,0,0,2,3,0,0,0,5,10,2,0,0,0,0,9,1,1,0,0
                         ,FONDS PRO        ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE      ,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES   ,0,1,4,3,2,0,0,4,2,0,0,0,0,4,1,0,4,0,0,1,5,0,5,0,0
                         ,ROMANS JEUNESSE  ,0,6,14,0,2,0,0,1,3,2,2,0,0,18,3,0,2,0,0,1,5,0,0,0,0
                         ,SCIENCES         ,0,1,7,0,0,0,0,0,1,2,0,0,0,0,8,0,1,0,0,0,0,1,0,0,0
                         ,SOCIETE          ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE     ,0,0,5,0,1,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,6,1,1,0,0
Charles-Gautier-Hermeland,TOTAL            ,2,634,1681,593,532,2191,15,546,1215,520,522,1692,6,602,1274,526,581,1612,3,520,1518,408,565,2212,6
                         ,ALBUMS           ,0,55,259,94,95,254,0,73,200,91,78,281,0,80,243,94,76,249,0,61,240,40,62,396,0
                         ,ARTS             ,0,8,27,3,8,17,0,12,13,7,8,33,0,12,15,19,8,25,0,13,16,7,16,29,0
                         ,GRAPHISME        ,0,3,15,0,2,2,0,0,1,0,3,15,0,1,13,7,1,3,0,6,4,4,4,11,0
                         ,AUTOUR DU JEU    ,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,BD ADULTES       ,0,29,101,35,23,136,0,27,35,33,39,100,2,23,53,43,29,125,0,19,57,18,46,150,1
                         ,BD JEUNESSE      ,0,118,335,56,59,523,5,100,214,35,55,276,1,48,219,43,85,421,1,33,316,31,72,381,0
                         ,CINEMA ADULTES   ,2,36,64,58,20,120,5,48,48,68,38,73,0,74,31,39,67,33,0,66,57,33,34,167,3
                         ,CINEMA JEUNESSE  ,0,10,66,15,13,64,1,12,35,0,13,56,0,7,50,10,23,35,0,5,59,2,16,58,0
                         ,DANSE            ,0,1,0,12,0,7,0,8,0,1,1,2,0,2,3,0,7,0,0,1,3,3,0,4,0
                         ,GEOGRAPHIE       ,0,8,21,10,35,22,0,15,13,8,17,16,0,7,18,10,5,14,0,9,9,10,8,25,0
                         ,HISTOIRE         ,0,5,20,18,3,19,0,3,19,3,6,26,0,16,5,6,6,6,0,5,16,6,2,20,0
                         ,INFORMATIQUE     ,0,0,4,3,1,8,0,2,4,6,1,8,0,0,0,2,2,10,0,1,1,8,3,16,0
                         ,JEUX D'ASSEMBLAGE,0,0,8,2,4,16,0,2,24,2,3,5,0,2,12,3,1,15,0,1,16,3,3,20,0
                         ,JEUX D'EXERCICES ,0,0,7,6,5,21,0,6,4,1,1,12,0,1,13,2,1,3,0,6,17,4,1,27,0
                         ,JEUX A REGLES    ,0,8,38,21,22,92,0,1,52,2,14,60,1,0,41,11,20,47,0,11,40,12,7,75,0
                         ,JEUX SYMBOLIQUES ,0,6,32,8,13,14,0,4,30,4,3,23,0,0,25,6,3,18,0,3,33,2,4,32,0
                         ,JEUX VIDEO       ,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES          ,0,4,4,15,2,4,0,2,2,1,0,19,0,3,3,2,2,9,0,0,6,1,1,14,0
                         ,LITTERATURE      ,0,0,1,3,1,7,0,0,1,0,3,2,0,3,2,2,3,3,0,7,3,1,3,3,0
                         ,LOISIRS CREATIFS ,0,4,29,0,21,22,2,5,14,2,1,13,0,4,29,4,5,16,0,7,19,9,4,15,0
                         ,MUSIQUE ADULTES  ,0,42,56,44,13,93,0,36,57,19,16,87,0,34,43,39,40,103,0,55,44,30,33,106,0
