Lieu de prêt,Emplacement,"Nb prêt
02/11/17","Nb prêt
03/11/17","Nb prêt
04/11/17","Nb prêt
06/11/17","Nb prêt
07/11/17","Nb prêt
08/11/17","Nb prêt
09/11/17","Nb prêt
10/11/17","Nb prêt
13/11/17","Nb prêt
14/11/17","Nb prêt
15/11/17","Nb prêt
16/11/17","Nb prêt
17/11/17","Nb prêt
18/11/17","Nb prêt
20/11/17","Nb prêt
21/11/17","Nb prêt
22/11/17","Nb prêt
23/11/17","Nb prêt
24/11/17","Nb prêt
25/11/17","Nb prêt
27/11/17","Nb prêt
28/11/17","Nb prêt
29/11/17","Nb prêt
30/11/17"
TOTAL                    ,                   ,1472,1781,2219,399,1167,3191,911,1323,370,1366,3463,343,1344,2900,299,1195,2871,730,1178,2578,388,1257,3071,753
Bourg                    ,TOTAL              ,0,197,0,0,134,633,16,282,0,130,616,0,219,0,0,125,414,0,191,0,0,128,623,20
                         ,ALBUMS             ,0,30,0,0,32,224,14,60,0,33,186,0,59,0,0,15,111,0,57,0,0,16,173,13
                         ,ARTS               ,0,2,0,0,1,1,0,2,0,0,5,0,1,0,0,0,3,0,4,0,0,2,1,0
                         ,BD ADULTES         ,0,12,0,0,6,9,0,1,0,9,48,0,24,0,0,5,23,0,1,0,0,0,19,0
                         ,BD JEUNESSE        ,0,33,0,0,23,105,0,31,0,10,104,0,28,0,0,7,127,0,21,0,0,14,128,0
                         ,CINEMA ADULTES     ,0,0,0,0,2,1,0,1,0,0,0,0,3,0,0,1,1,0,2,0,0,0,4,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
                         ,DANSE              ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
                         ,GEOGRAPHIE         ,0,0,0,0,0,8,0,2,0,0,5,0,1,0,0,4,2,0,4,0,0,5,1,0
                         ,HISTOIRE           ,0,0,0,0,1,1,0,1,0,0,1,0,3,0,0,4,0,0,0,0,0,2,1,0
                         ,INFORMATIQUE       ,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
