Emplacement,"Nb prêt
01/06/18","Nb prêt
02/06/18","Nb prêt
04/06/18","Nb prêt
05/06/18","Nb prêt
06/06/18","Nb prêt
07/06/18","Nb prêt
08/06/18","Nb prêt
09/06/18","Nb prêt
11/06/18","Nb prêt
12/06/18","Nb prêt
13/06/18","Nb prêt
14/06/18","Nb prêt
15/06/18","Nb prêt
16/06/18","Nb prêt
18/06/18","Nb prêt
19/06/18","Nb prêt
20/06/18","Nb prêt
21/06/18","Nb prêt
22/06/18","Nb prêt
23/06/18","Nb prêt
25/06/18","Nb prêt
26/06/18","Nb prêt
27/06/18","Nb prêt
28/06/18","Nb prêt
29/06/18","Nb prêt
30/06/18"
PSYCHOLOGIE        ,2,19,0,0,7,11,12,23,0,11,4,8,1,10,0,11,6,8,3,7,0,5,10,5,12,12
RELIGIONS          ,2,2,0,1,9,1,1,4,0,5,2,7,1,12,0,7,7,3,1,1,0,4,8,0,2,6
ROMANS ADULTES     ,112,131,3,70,169,94,109,121,1,101,88,57,71,139,0,86,118,108,94,165,1,101,146,59,52,136
ROMANS JEUNESSE    ,43,120,0,29,92,19,9,125,0,25,67,21,3,115,1,20,78,12,10,101,0,35,123,56,15,122
SCIENCES           ,8,40,0,15,35,21,22,49,0,11,12,3,7,27,0,12,32,9,3,58,0,23,13,9,7,23
SOCIETE            ,7,23,0,9,18,7,9,43,1,13,8,7,6,23,0,11,10,9,6,55,0,10,15,11,9,28
SPORTS ET LOISIRS  ,0,10,0,1,5,0,0,14,0,9,4,8,0,6,0,5,8,1,5,6,0,0,6,1,0,3
VIE PRATIQUE       ,20,69,0,24,49,15,20,65,0,38,37,23,9,31,0,15,52,10,20,69,0,29,26,12,7,50
THEATRE            ,1,3,0,8,52,32,3,6,0,0,43,6,3,3,0,5,20,41,7,40,0,6,24,7,0,25
VERSION ORIGINALE  ,1,0,0,0,1,0,0,3,0,2,0,0,0,1,0,0,3,1,2,0,0,0,0,0,0,0
xx                 ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
TOTAL              ,216,0,223,272,663,31,193,7,191,183,541,0,125,0,219,218,474,3,250,0,187,198,445,3,130,0
ALBUMS             ,36,0,54,68,134,17,44,0,23,40,131,0,6,0,59,45,100,2,73,0,29,29,64,1,16,0
