Lieu de prêt,Emplacement,"Nb prêt
01/02/18","Nb prêt
02/02/18","Nb prêt
03/02/18","Nb prêt
05/02/18","Nb prêt
06/02/18","Nb prêt
07/02/18","Nb prêt
08/02/18","Nb prêt
09/02/18","Nb prêt
10/02/18","Nb prêt
12/02/18","Nb prêt
13/02/18","Nb prêt
14/02/18","Nb prêt
15/02/18","Nb prêt
16/02/18","Nb prêt
17/02/18","Nb prêt
19/02/18","Nb prêt
20/02/18","Nb prêt
21/02/18","Nb prêt
22/02/18","Nb prêt
23/02/18","Nb prêt
24/02/18","Nb prêt
26/02/18","Nb prêt
27/02/18","Nb prêt
28/02/18"
TOTAL                    ,                   ,767,1110,2752,377,1011,2853,814,1034,2606,279,1270,2508,785,1210,2533,572,1622,2874,800,1112,2552,216,2191,1949
Bourg                    ,TOTAL              ,1,160,0,0,90,415,1,96,0,0,123,323,0,177,0,0,159,407,5,156,0,0,163,235
                         ,ALBUMS             ,0,44,0,0,26,87,0,39,0,0,3,71,0,39,0,0,24,60,1,29,0,0,23,69
                         ,ARTS               ,0,1,0,0,0,6,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,1,2
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,0,5,0,0,6,15,0,5,0,0,6,25,0,22,0,0,6,29,0,7,0,0,8,25
                         ,BD JEUNESSE        ,0,22,0,0,10,84,0,15,0,0,15,68,0,10,0,0,25,81,0,32,0,0,19,22
                         ,CINEMA ADULTES     ,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0
                         ,DANSE              ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
                         ,GEOGRAPHIE         ,0,1,0,0,0,6,0,0,0,0,3,5,0,8,0,0,2,9,0,5,0,0,2,0
                         ,HISTOIRE           ,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,1,0,2,0,0,1,4
                         ,INFORMATIQUE       ,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
                         ,JEUX A REGLES      ,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
                         ,LANGUES            ,0,1,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,3,9
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,1
                         ,MUSIQUE ADULTES    ,0,9,0,0,3,19,0,1,0,0,6,4,0,8,0,0,0,12,0,6,0,0,18,13
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,8,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,4,4
                         ,PHILOSOPHIE        ,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
                         ,PRESSE             ,0,7,0,0,6,28,0,0,0,0,2,29,0,21,0,0,9,37,0,9,0,0,13,10
                         ,PSYCHOLOGIE        ,0,2,0,0,0,2,0,0,0,0,1,4,0,0,0,0,8,0,0,2,0,0,1,0
                         ,RELIGIONS          ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
                         ,ROMANS ADULTES     ,0,39,0,0,24,47,0,21,0,0,69,51,0,49,0,0,39,62,0,42,0,0,39,37
                         ,ROMANS JEUNESSE    ,0,16,0,0,6,48,0,7,0,0,9,38,0,4,0,0,28,70,3,11,0,0,9,32
                         ,SCIENCES           ,0,1,0,0,0,13,0,2,0,0,4,4,0,0,0,0,3,6,0,0,0,0,7,0
                         ,SOCIETE            ,0,1,0,0,1,3,0,0,0,0,3,4,0,1,0,0,0,7,0,1,0,0,2,1
                         ,SPORTS ET LOISIRS  ,0,1,0,0,0,17,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,1,0
