Lieu de prêt,Emplacement,"Nb prêt
02/07/18","Nb prêt
03/07/18","Nb prêt
04/07/18","Nb prêt
05/07/18","Nb prêt
06/07/18","Nb prêt
07/07/18","Nb prêt
09/07/18","Nb prêt
10/07/18","Nb prêt
11/07/18","Nb prêt
12/07/18","Nb prêt
13/07/18","Nb prêt
16/07/18","Nb prêt
17/07/18","Nb prêt
18/07/18","Nb prêt
19/07/18","Nb prêt
20/07/18","Nb prêt
23/07/18","Nb prêt
24/07/18","Nb prêt
25/07/18","Nb prêt
26/07/18","Nb prêt
27/07/18","Nb prêt
30/07/18","Nb prêt
31/07/18"
TOTAL                    ,                   ,202,1190,2413,795,985,1699,200,1411,1593,911,1130,244,1507,1651,835,1393,162,1597,1449,945,1035,217,1896
Haute-Chaussée           ,TOTAL              ,0,24,54,20,3,0,0,16,16,7,38,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ALBUMS             ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,1,5,1,0,0,0,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,0,12,2,0,0,0,1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,4,24,10,2,0,0,3,10,2,13,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX SYMBOLIQUES   ,0,1,5,1,1,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,0,10,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SOCIETE            ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,8,702,1602,583,597,1450,31,1033,1128,697,732,9,1088,1065,705,919,7,1124,1042,738,551,13,1337
                         ,ALBUMS             ,0,84,284,74,54,187,2,83,128,80,64,0,205,149,87,72,3,136,161,92,44,0,124
                         ,ARTS               ,0,23,15,8,3,18,0,9,15,6,10,1,9,14,4,2,0,19,6,12,5,0,14
                         ,GRAPHISME          ,0,3,5,7,2,11,3,11,3,0,6,1,2,4,1,5,0,0,5,9,1,0,6
                         ,AUTOUR DU JEU      ,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,2,55,103,69,28,73,5,91,74,19,43,1,50,48,65,82,0,59,41,33,45,3,75
                         ,BD JEUNESSE        ,0,69,254,48,85,312,1,177,170,95,125,0,170,187,113,136,0,282,186,76,45,0,243
                         ,CINEMA ADULTES     ,0,33,102,52,62,65,0,51,82,65,80,0,59,40,35,81,0,48,78,65,31,5,115
                         ,CINEMA JEUNESSE    ,0,25,52,25,31,36,2,37,38,27,14,0,30,56,11,42,0,43,43,26,16,0,24
                         ,CINEMA             ,0,0,2,2,1,1,0,2,2,0,2,0,0,0,2,2,0,0,2,3,0,0,0
                         ,DANSE              ,0,1,1,0,2,6,0,5,0,8,2,0,0,2,1,13,0,2,2,0,2,0,9
                         ,GEOGRAPHIE         ,0,28,43,21,22,25,0,30,28,24,21,0,22,17,12,9,0,42,14,16,32,0,25
                         ,HISTOIRE           ,0,23,18,6,3,26,0,13,6,3,3,0,5,6,3,4,0,17,15,16,2,0,17
                         ,INFORMATIQUE       ,0,1,11,2,2,6,0,0,5,5,1,0,13,3,2,1,0,0,1,2,1,0,5
                         ,JEUX D'ASSEMBLAGE  ,0,4,14,4,2,12,0,4,12,4,9,0,4,5,9,6,0,4,6,10,3,0,9
                         ,JEUX D'EXERCICES   ,0,7,18,1,5,5,0,4,12,7,14,0,3,10,1,5,1,5,7,5,1,0,5
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
                         ,JEUX               ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
                         ,JEUX A REGLES      ,0,21,57,27,24,63,2,59,42,15,17,1,19,43,48,10,0,31,25,30,35,0,44
                         ,JEUX SYMBOLIQUES   ,0,7,30,5,10,23,0,10,13,6,10,0,12,10,5,15,1,10,9,5,3,0,16
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,0,1,1,2,0,2,0,20,5,5,12,1,11,10,4,3,0,6,2,5,1,0,9
                         ,LITTERATURE        ,0,1,4,3,0,2,0,2,1,0,4,0,3,2,0,3,0,2,3,2,0,0,1
                         ,FONDS LOCAL        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
                         ,LOISIRS CREATIFS   ,0,5,8,2,6,10,0,11,13,2,19,0,8,11,6,3,0,5,6,7,8,0,10
                         ,MUSIQUE ADULTES    ,0,11,60,18,34,87,0,49,61,47,52,0,42,21,43,49,0,76,49,71,25,2,47
                         ,MUSIQUE            ,0,0,0,0,1,2,0,2,1,0,0,0,0,1,0,2,0,2,2,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,9,28,9,9,8,0,28,20,7,0,0,3,11,10,6,0,11,9,4,10,0,10
                         ,PHILOSOPHIE        ,0,4,10,5,6,6,0,7,6,1,1,0,3,6,0,7,0,7,4,10,4,0,11
                         ,PRESSE             ,0,22,77,31,27,62,1,27,18,26,24,0,53,31,20,58,0,31,42,16,29,0,68
                         ,FONDS PRO          ,0,0,2,0,0,1,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,2,4,4,2,7,0,15,25,12,7,0,4,10,9,14,0,4,5,2,4,0,6
                         ,RELIGIONS          ,0,3,4,6,1,1,0,2,6,2,11,0,6,6,4,10,0,6,3,1,0,0,6
                         ,ROMANS ADULTES     ,5,162,199,95,80,169,2,107,144,103,78,4,180,159,93,136,1,133,134,116,104,1,192
                         ,ROMANS JEUNESSE    ,0,37,114,17,45,126,8,76,72,52,44,0,55,97,61,72,0,66,76,49,43,0,101
                         ,SCIENCES           ,0,9,16,6,20,22,0,25,34,17,17,0,15,17,15,9,0,19,25,8,16,2,44
                         ,SOCIETE            ,1,11,16,13,9,20,0,15,22,12,12,0,13,21,8,16,0,18,20,4,4,0,24
                         ,SPORTS ET LOISIRS  ,0,6,7,5,1,15,0,2,6,5,1,0,1,3,4,10,0,2,8,1,6,0,1
                         ,VIE PRATIQUE       ,0,17,39,16,19,31,5,30,29,24,11,0,28,32,10,7,0,27,44,16,11,0,50
