Lieu de prêt,Emplacement,"Nb prêt
02/01/20","Nb prêt
03/01/20","Nb prêt
04/01/20","Nb prêt
06/01/20","Nb prêt
07/01/20","Nb prêt
08/01/20","Nb prêt
09/01/20","Nb prêt
10/01/20","Nb prêt
11/01/20","Nb prêt
13/01/20","Nb prêt
14/01/20","Nb prêt
15/01/20","Nb prêt
16/01/20","Nb prêt
17/01/20","Nb prêt
18/01/20","Nb prêt
20/01/20","Nb prêt
21/01/20","Nb prêt
22/01/20","Nb prêt
23/01/20","Nb prêt
24/01/20","Nb prêt
25/01/20","Nb prêt
27/01/20","Nb prêt
28/01/20","Nb prêt
29/01/20","Nb prêt
30/01/20","Nb prêt
31/01/20"
TOTAL                    ,                 ,1712,2070,2175,332,1516,2863,1034,1432,2891,252,1124,2796,656,955,2678,266,1246,2516,514,1118,2686,254,1238,2605,612,1222
Haute Chaussée           ,TOTAL            ,0,0,0,0,160,148,38,28,0,0,22,200,50,80,0,0,91,98,6,52,0,0,70,164,28,56
                         ,ALBUMS           ,0,0,0,0,46,12,8,1,0,0,4,48,13,40,0,0,26,17,0,14,0,0,21,34,15,27
                         ,ARTS             ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES       ,0,0,0,0,4,0,1,1,0,0,6,4,1,7,0,0,0,1,0,0,0,0,4,4,0,0
                         ,BD JEUNESSE      ,0,0,0,0,29,24,7,0,0,0,4,37,6,6,0,0,26,22,2,8,0,0,14,28,1,1
                         ,CINEMA ADULTES   ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,1,0,1
                         ,CINEMA JEUNESSE  ,0,0,0,0,3,11,1,0,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,4,0,0
                         ,DANSE            ,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE       ,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,INFORMATIQUE     ,0,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0
                         ,JEUX D'ASSEMBLAGE,0,0,0,0,7,15,2,0,0,0,0,9,1,1,0,0,2,6,0,1,0,0,3,8,3,6
                         ,JEUX D'EXERCICES ,0,0,0,0,2,4,3,4,0,0,0,5,0,1,0,0,3,2,0,1,0,0,5,3,0,1
