Lieu de prêt,Emplacement,"Nb prêt
02/01/18","Nb prêt
03/01/18","Nb prêt
04/01/18","Nb prêt
05/01/18","Nb prêt
06/01/18","Nb prêt
08/01/18","Nb prêt
09/01/18","Nb prêt
10/01/18","Nb prêt
11/01/18","Nb prêt
12/01/18","Nb prêt
13/01/18","Nb prêt
15/01/18","Nb prêt
16/01/18","Nb prêt
17/01/18","Nb prêt
18/01/18","Nb prêt
19/01/18","Nb prêt
20/01/18","Nb prêt
22/01/18","Nb prêt
23/01/18","Nb prêt
24/01/18","Nb prêt
25/01/18","Nb prêt
26/01/18","Nb prêt
27/01/18","Nb prêt
29/01/18","Nb prêt
30/01/18","Nb prêt
31/01/18"
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,0,0,0,0,0,0,2,0,0,5,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1
                         ,LITTERATURE        ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,4,0,4,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,2
                         ,MUSIQUE ADULTES    ,0,0,3,0,0,0,41,36,0,24,0,0,0,12,0,11,0,0,1,25,0,5,0,0,10,6
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,13,0,3,0,0,2,6,0,0,0,0,0,3,0,3,0,0,1,0
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,PRESSE             ,0,0,0,0,0,0,11,43,0,9,0,0,14,36,0,10,0,0,4,32,0,31,0,0,19,15
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
                         ,RELIGIONS          ,0,0,0,0,0,0,0,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
                         ,ROMANS ADULTES     ,0,0,0,0,0,0,80,82,0,47,0,0,18,36,0,47,0,0,33,58,0,47,0,0,15,32
                         ,ROMANS JEUNESSE    ,0,0,0,0,0,0,44,63,0,11,0,2,5,78,0,16,0,0,1,39,0,10,0,0,13,27
                         ,SCIENCES           ,0,0,0,1,0,0,4,10,1,2,0,0,2,6,0,1,0,0,2,0,0,1,0,0,1,13
                         ,SOCIETE            ,0,0,0,1,0,0,1,9,0,2,0,0,0,4,0,3,0,0,1,7,0,2,0,0,2,3
                         ,SPORTS ET LOISIRS  ,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,4,0,4,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,0,1,0,0,3,17,0,0,0,0,2,6,0,3,0,0,3,11,0,3,0,0,3,17
                         ,THEATRE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Haute-Chaussée           ,TOTAL              ,0,0,0,0,0,0,0,49,33,14,0,6,0,60,34,17,0,0,11,77,14,25,0,0,3,34
                         ,ALBUMS             ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,17,3,0,0,0,0,0
                         ,ARTS               ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
                         ,BD JEUNESSE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,DANSE              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,14,0,4,0,0,0,14,4,3,0,0,0,6,0,1,0,0,0,3
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,7,13,1,0,0,0,6,15,0,0,0,0,11,3,2,0,0,0,1
                         ,JEUX A REGLES      ,0,0,0,0,0,0,0,22,11,3,0,1,0,11,4,12,0,0,4,18,1,13,0,0,1,18
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,0,3,7,3,0,0,0,16,10,0,0,0,0,5,3,7,0,0,0,5
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,3,1,1,0,0,0,8,1,2,0,0,0,5,4,2,0,0,0,4
                         ,LANGUES            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,PRESSE             ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0
                         ,SCIENCES           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
                         ,SOCIETE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,1197,1068,889,1104,1992,0,726,1044,475,474,1908,3,703,1388,382,542,2035,4,427,1125,503,669,1991,34,751,1303
                         ,ALBUMS             ,174,214,82,163,298,0,97,212,78,83,303,2,73,327,77,42,296,3,37,157,54,130,262,14,99,274
                         ,ARTS               ,22,18,15,9,50,0,8,18,14,10,26,0,6,15,8,19,20,0,14,16,8,15,30,0,17,25
                         ,GRAPHISME          ,3,3,3,6,3,0,1,7,1,0,9,0,5,4,0,5,1,0,4,3,1,2,7,0,1,1
                         ,AUTOUR DU JEU      ,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
                         ,BD ADULTES         ,76,49,80,40,161,0,27,65,16,48,119,0,48,56,33,29,137,0,24,72,51,65,114,1,54,52
                         ,BD JEUNESSE        ,202,174,138,182,249,0,62,163,10,55,335,1,45,236,25,37,432,0,47,211,66,35,328,2,83,233
                         ,CINEMA ADULTES     ,105,46,105,104,145,0,69,69,49,32,128,0,63,68,51,61,172,0,41,63,43,87,131,0,39,94
                         ,CINEMA JEUNESSE    ,45,40,43,44,84,0,26,24,14,15,90,0,22,58,11,18,88,0,17,26,8,21,73,3,19,73
                         ,CINEMA             ,3,1,1,2,0,0,0,3,1,0,1,0,0,0,0,0,4,0,0,3,0,1,2,0,1,1
                         ,DANSE              ,4,2,10,5,2,0,22,2,0,0,10,0,0,5,10,1,0,0,2,9,2,4,23,0,0,0
                         ,GEOGRAPHIE         ,14,8,12,16,41,0,9,22,16,18,36,0,13,21,5,5,35,0,5,17,10,14,25,0,27,17
                         ,HISTOIRE           ,34,12,22,5,27,0,20,11,8,3,21,0,6,6,1,5,26,0,3,15,6,10,16,0,11,17
                         ,INFORMATIQUE       ,13,3,2,1,17,0,5,10,0,7,10,0,10,5,2,1,6,0,3,6,1,1,5,0,1,8
                         ,JEUX D'ASSEMBLAGE  ,4,8,1,6,19,0,5,6,0,3,17,0,3,22,3,0,19,0,4,7,3,6,15,0,3,11
                         ,JEUX D'EXERCICES   ,3,11,4,8,13,0,6,15,1,3,10,0,3,5,3,4,15,0,2,15,5,7,16,0,3,27
                         ,JEUX A REGLES      ,28,34,20,39,72,0,18,29,20,8,57,0,13,59,10,12,49,1,9,28,12,9,62,0,13,45
                         ,JEUX SYMBOLIQUES   ,15,15,10,28,21,0,6,21,7,5,16,0,5,23,6,2,31,0,9,16,5,4,14,1,8,31
                         ,JEUX VIDEO         ,0,1,2,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
                         ,LANGUES            ,9,9,2,7,14,0,0,5,7,2,16,0,3,2,2,4,10,0,5,5,3,13,15,0,5,3
                         ,LETTRES            ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,LITTERATURE        ,5,3,0,2,2,0,1,4,2,1,5,0,1,0,0,7,6,0,4,3,3,1,4,0,2,6
                         ,LOISIRS CREATIFS   ,5,9,5,11,23,0,8,11,3,12,14,0,7,9,2,6,20,0,1,2,5,7,15,0,4,7
                         ,MUSIQUE ADULTES    ,82,44,80,70,149,0,36,57,25,14,109,0,70,110,36,94,141,0,19,99,24,44,194,12,65,60
                         ,MUSIQUE            ,0,1,1,0,3,0,1,2,0,0,0,0,0,1,0,3,0,0,0,1,0,1,6,0,0,2
                         ,MUSIQUE JEUNESSE   ,5,11,7,10,27,0,7,31,1,6,16,0,5,11,4,9,39,0,2,16,0,15,32,0,7,17
                         ,PHILOSOPHIE        ,3,21,11,2,9,0,5,4,10,1,16,0,2,1,0,1,7,0,2,9,1,1,10,0,3,2
                         ,PRESSE             ,31,49,30,37,65,0,62,15,32,18,85,0,84,48,13,19,50,0,10,49,44,28,60,0,20,49
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,10,0,0,0,0,2,0
                         ,PSYCHOLOGIE        ,9,5,9,7,10,0,18,3,2,2,19,0,10,13,3,7,4,0,5,10,6,6,19,0,6,16
                         ,RELIGIONS          ,3,4,3,0,6,0,3,3,2,0,9,0,2,0,0,3,1,0,3,1,1,1,3,0,1,5
                         ,ROMANS ADULTES     ,97,94,77,105,163,0,95,113,94,74,151,0,116,82,43,73,135,0,84,108,63,55,161,0,113,87
                         ,ROMANS JEUNESSE    ,86,61,48,77,132,0,35,46,10,9,101,0,30,87,10,15,142,0,21,46,17,14,143,0,38,68
                         ,SCIENCES           ,30,30,12,53,48,0,10,18,6,9,78,0,5,9,5,11,45,0,9,42,11,28,68,0,9,25
                         ,SOCIETE            ,33,8,20,14,74,0,19,9,2,6,25,0,6,14,2,13,22,0,8,16,17,13,47,0,20,8
                         ,SPORTS ET LOISIRS  ,8,3,1,3,7,0,6,3,1,0,5,0,0,3,6,1,12,0,5,5,5,1,13,0,1,2
                         ,VIE PRATIQUE       ,23,60,33,38,41,0,15,18,10,14,57,0,37,31,9,21,59,0,15,31,25,13,68,1,48,33
                         ,THEATRE            ,23,15,0,9,11,0,23,25,33,16,13,0,7,55,2,12,11,0,12,8,0,14,9,0,26,4
                         ,VERSION ORIGINALE  ,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0
                         ,xx                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bellevue                 ,TOTAL              ,163,264,16,207,0,445,194,487,20,230,0,285,287,642,2,226,0,353,123,648,18,202,0,332,264,516
                         ,ALBUMS             ,17,32,7,36,0,105,69,103,10,55,0,38,62,124,0,50,0,78,11,156,13,33,0,69,54,111
                         ,ARTS               ,3,1,0,0,0,3,4,3,0,0,0,2,3,7,0,1,0,5,1,7,0,1,0,2,2,1
                         ,GRAPHISME          ,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1
                         ,AUTOUR DU JEU      ,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,9,38,0,14,0,13,16,30,0,8,0,24,13,65,0,3,0,26,7,13,0,20,0,40,13,8
                         ,BD JEUNESSE        ,29,50,0,27,0,63,27,156,5,56,0,36,73,161,0,33,0,53,31,175,0,36,0,56,69,150
                         ,CINEMA ADULTES     ,21,17,1,10,0,32,7,17,1,9,0,24,11,24,0,13,0,27,8,25,0,14,0,13,8,13
                         ,CINEMA JEUNESSE    ,3,10,0,9,0,26,2,20,0,22,0,6,22,30,0,11,0,6,4,21,0,6,0,18,6,18
                         ,CINEMA             ,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0
                         ,DANSE              ,1,0,4,0,0,1,0,2,1,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,1,0
                         ,GEOGRAPHIE         ,4,5,0,0,0,2,1,3,0,3,0,5,0,2,0,8,0,3,0,5,0,4,0,5,3,7
                         ,HISTOIRE           ,1,1,0,0,0,2,0,7,0,6,0,0,3,3,0,1,0,3,1,1,0,0,0,1,2,2
                         ,INFORMATIQUE       ,0,0,0,0,0,0,1,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
                         ,LIVRES SUR LES JEUX,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
                         ,JEUX A REGLES      ,1,0,0,0,0,3,0,2,0,0,0,1,0,10,0,1,0,0,0,4,0,0,0,0,0,2
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,1,0,1
                         ,LANGUES            ,4,4,2,6,0,3,0,4,0,1,0,0,3,4,0,0,0,0,1,3,0,4,0,2,3,4
                         ,LITTERATURE        ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,3,2,0,1,0,2,3,4,0,1,0,2,1,7,0,2,0,1,1,10,0,4,0,1,0,2
                         ,MUSIQUE ADULTES    ,3,13,0,1,0,4,0,1,0,3,0,3,21,12,0,1,0,15,3,4,0,10,0,10,1,10
                         ,MUSIQUE JEUNESSE   ,1,2,0,3,0,6,4,4,0,1,0,6,6,9,0,6,0,3,2,13,0,0,0,5,5,5
                         ,PHILOSOPHIE        ,3,1,0,1,0,3,2,2,0,0,0,0,1,5,0,0,0,2,0,4,0,0,0,1,1,4
                         ,PRESSE             ,8,8,0,13,0,29,18,21,0,6,0,35,7,23,0,26,0,36,7,19,0,1,0,17,12,41
                         ,PSYCHOLOGIE        ,5,1,0,0,0,5,0,8,0,1,0,2,0,1,0,1,0,2,2,2,0,0,0,1,2,6
                         ,RELIGIONS          ,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0
                         ,ROMANS ADULTES     ,18,28,0,18,0,31,14,36,0,25,0,42,19,15,2,41,0,28,15,45,0,20,0,17,14,16
                         ,ROMANS JEUNESSE    ,15,28,2,47,0,80,12,33,0,26,0,42,24,86,0,14,0,43,23,101,5,31,0,54,34,84
                         ,SCIENCES           ,3,7,0,7,0,7,4,10,2,3,0,1,7,16,0,1,0,4,2,10,0,3,0,6,21,13
                         ,SOCIETE            ,0,3,0,2,0,11,2,5,1,0,0,1,2,5,0,1,0,1,1,2,0,0,0,0,4,1
                         ,SPORTS ET LOISIRS  ,1,2,0,3,0,6,2,4,0,1,0,1,4,2,0,2,0,2,2,4,0,2,0,2,0,1
                         ,VIE PRATIQUE       ,5,6,0,8,0,7,5,10,0,2,0,9,3,21,0,6,0,11,1,20,0,10,0,7,7,8
                         ,THEATRE            ,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1
La Ludothèque            ,TOTAL              ,26,108,0,75,0,3,34,71,0,43,23,0,17,77,0,33,55,0,60,82,0,30,18,0,43,94
                         ,ALBUMS             ,0,18,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
                         ,ARTS               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
                         ,GRAPHISME          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,1,10,0,3,0,0,4,2,0,4,4,0,2,1,0,0,6,0,9,8,0,0,0,0,2,4
                         ,BD ADULTES         ,0,0,0,4,0,2,0,1,0,0,2,0,0,4,0,0,0,0,3,4,0,0,0,0,0,0
                         ,BD JEUNESSE        ,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,14,0,3,0,0,1,10,0,2,4,0,2,20,0,4,8,0,7,9,0,2,1,0,8,7
                         ,JEUX D'EXERCICES   ,1,14,0,7,0,0,10,7,0,2,4,0,1,13,0,7,5,0,14,6,0,2,1,0,4,6
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0
                         ,JEUX A REGLES      ,10,26,0,26,0,1,14,24,0,15,6,0,3,25,0,17,10,0,9,16,0,13,9,0,14,45
                         ,JEUX SYMBOLIQUES   ,11,26,0,21,0,0,2,18,0,3,3,0,9,14,0,4,24,0,6,24,0,9,5,0,11,27
                         ,JEUX VIDEO         ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LITTERATURE        ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE ADULTES    ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SCIENCES           ,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,SOCIETE            ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
                         ,SPORTS ET LOISIRS  ,2,0,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gao Xingjian - Sillon    ,TOTAL              ,203,275,168,279,0,10,186,285,116,190,489,0,204,365,122,139,304,0,236,388,184,163,298,6,182,198
                         ,ALBUMS             ,37,70,39,32,0,4,17,65,18,11,62,0,32,67,36,26,38,0,42,90,26,11,63,3,42,37
                         ,ARTS               ,1,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,2,2,0,0,1,0,1,2
                         ,GRAPHISME          ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,3,11,14,72,0,0,13,15,0,20,75,0,9,24,3,6,37,0,7,24,16,19,6,0,6,2
                         ,BD JEUNESSE        ,39,90,23,33,0,0,31,53,27,42,119,0,46,82,7,26,42,0,32,67,48,37,67,0,24,42
                         ,CINEMA ADULTES     ,3,0,1,0,0,0,1,1,3,0,2,0,1,7,3,1,2,0,1,2,0,1,0,1,1,0
                         ,CINEMA JEUNESSE    ,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,GEOGRAPHIE         ,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,2,0,1,0,0,1,0
                         ,HISTOIRE           ,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,4,1,0,2,0,0,0,0,0,1,3,0,1,9,0,0,1,0,0,1,0,0,0,0,1,0
                         ,JEUX D'ASSEMBLAGE  ,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,2,1,0,3,0
                         ,JEUX D'EXERCICES   ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,12,14,16,20,0,0,13,27,9,15,40,0,12,23,7,21,21,0,15,30,11,20,15,0,9,18
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,10,9,9,7,0,0,4,10,6,5,14,0,7,12,4,5,3,0,7,17,2,5,9,0,1,7
                         ,LANGUES            ,2,0,6,7,0,0,5,3,8,2,8,0,4,13,7,3,3,0,9,11,2,12,7,0,9,9
                         ,LITTERATURE        ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,4,2,0,1,0,2,6,4,2,2,12,0,3,3,9,3,6,0,10,9,1,3,5,0,5,3
                         ,MUSIQUE ADULTES    ,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,2,2,0,0,0,2,1,0,3,2,0,1,1,2,0,0,0,0,0,1,0,0,0,0,2
                         ,PHILOSOPHIE        ,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,7,9,2,8,0,0,2,8,4,4,44,0,10,24,5,2,25,0,1,0,9,5,18,1,8,2
                         ,FONDS PRO          ,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,4,4,0,6,0,0,1,6,7,0,4,0,6,5,1,1,6,0,3,3,1,5,11,1,4,14
                         ,RELIGIONS          ,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,36,21,27,60,0,0,49,31,11,30,54,0,36,24,18,17,43,0,59,37,43,27,26,0,36,33
                         ,ROMANS JEUNESSE    ,9,13,16,13,0,3,25,24,5,32,28,0,13,38,4,14,40,0,9,63,9,11,36,0,13,16
                         ,SCIENCES           ,4,2,1,3,0,0,2,5,2,4,8,0,7,9,2,1,8,0,4,10,1,1,9,0,3,1
                         ,SOCIETE            ,5,2,0,3,0,0,5,5,1,8,1,0,5,7,0,3,1,0,3,0,4,1,3,0,4,2
                         ,SPORTS ET LOISIRS  ,2,3,0,1,0,0,0,2,0,0,0,0,1,0,1,2,1,0,1,5,0,0,2,0,3,1
                         ,VIE PRATIQUE       ,3,13,6,8,0,0,4,17,13,5,11,0,8,13,8,7,19,0,14,13,6,2,19,0,8,7
                         ,THEATRE            ,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
