Lieu de prêt,Emplacement,"Nb prêt
02/01/18","Nb prêt
03/01/18","Nb prêt
04/01/18","Nb prêt
05/01/18","Nb prêt
06/01/18","Nb prêt
08/01/18","Nb prêt
09/01/18","Nb prêt
10/01/18","Nb prêt
11/01/18","Nb prêt
12/01/18","Nb prêt
13/01/18","Nb prêt
15/01/18","Nb prêt
16/01/18","Nb prêt
17/01/18","Nb prêt
18/01/18","Nb prêt
19/01/18","Nb prêt
20/01/18","Nb prêt
22/01/18","Nb prêt
23/01/18","Nb prêt
24/01/18","Nb prêt
25/01/18","Nb prêt
26/01/18","Nb prêt
27/01/18","Nb prêt
29/01/18","Nb prêt
30/01/18","Nb prêt
31/01/18"
TOTAL                    ,                   ,1589,1715,1076,1697,1992,458,1436,2713,647,1182,2420,319,1329,2957,540,1152,2394,357,941,2698,719,1255,2307,372,1349,2391
Bourg                    ,TOTAL              ,0,0,3,32,0,0,296,777,3,231,0,25,118,425,0,195,0,0,84,378,0,166,0,0,106,246
                         ,ALBUMS             ,0,0,0,27,0,0,44,303,2,63,0,17,31,127,0,53,0,0,17,100,0,49,0,0,22,47
                         ,ARTS               ,0,0,0,0,0,0,1,12,0,2,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
                         ,BD ADULTES         ,0,0,0,1,0,0,13,24,0,10,0,0,7,18,0,5,0,0,10,18,0,0,0,0,4,8
                         ,BD JEUNESSE        ,0,0,0,1,0,0,34,140,0,39,0,6,21,70,0,42,0,0,5,66,0,8,0,0,12,61
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0
                         ,DANSE              ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,0,0,0,0,7,7,0,2,0,0,2,6,0,1,0,0,1,3,0,1,0,0,1,3
                         ,HISTOIRE           ,0,0,0,0,0,0,2,2,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,3
                         ,INFORMATIQUE       ,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
                         ,JEUX A REGLES      ,0,0,0,0,0,0,1,2,0,2,0,0,0,2,0,0,0,0,1,6,0,0,0,0,1,1
