Lieu de prêt,Emplacement,"Nb prêt
03/04/18","Nb prêt
04/04/18","Nb prêt
05/04/18","Nb prêt
06/04/18","Nb prêt
07/04/18","Nb prêt
09/04/18","Nb prêt
10/04/18","Nb prêt
11/04/18","Nb prêt
12/04/18","Nb prêt
13/04/18","Nb prêt
14/04/18","Nb prêt
16/04/18","Nb prêt
17/04/18","Nb prêt
18/04/18","Nb prêt
19/04/18","Nb prêt
20/04/18","Nb prêt
21/04/18","Nb prêt
23/04/18","Nb prêt
24/04/18","Nb prêt
25/04/18","Nb prêt
26/04/18","Nb prêt
27/04/18","Nb prêt
28/04/18","Nb prêt
30/04/18"
TOTAL                    ,                   ,1351,2607,545,972,2970,342,1120,2487,641,1046,2400,306,997,1814,513,896,2092,296,1418,2198,1171,1545,2112,357
Haute-Chaussée           ,TOTAL              ,14,61,31,32,0,0,24,72,18,25,0,0,9,45,4,35,0,0,13,62,18,39,0,0
                         ,ALBUMS             ,13,1,4,9,0,0,0,1,0,0,0,0,6,0,1,0,0,0,1,3,0,0,0,0
                         ,BD ADULTES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,BD JEUNESSE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,16,2,1,0,0,0,11,1,1,0,0,0,5,0,3,0,0,4,6,2,8,0,0
                         ,JEUX D'EXERCICES   ,0,5,3,1,0,0,10,15,9,8,0,0,0,21,0,11,0,0,1,3,0,7,0,0
                         ,JEUX A REGLES      ,0,10,4,9,0,0,3,28,5,2,0,0,2,10,1,15,0,0,0,26,12,23,0,0
                         ,JEUX SYMBOLIQUES   ,0,12,1,4,0,0,3,11,1,0,0,0,0,6,0,1,0,0,7,3,1,0,0,0
                         ,JEUX VIDEO         ,0,4,6,4,0,0,1,3,1,0,0,0,0,3,0,3,0,0,0,7,1,0,0,0
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,MUSIQUE ADULTES    ,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,0,10,5,2,0,0,6,0,1,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0
                         ,ROMANS ADULTES     ,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0
                         ,ROMANS JEUNESSE    ,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0
                         ,SCIENCES           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Charles-Gautier-Hermeland,TOTAL              ,826,1542,356,474,2559,9,502,1496,469,629,2052,13,563,965,242,504,1747,16,991,1496,1153,1257,2087,7
                         ,ALBUMS             ,59,283,41,92,427,0,44,268,62,107,390,0,49,168,29,33,198,2,79,212,229,190,198,1
                         ,ARTS               ,8,7,13,7,38,0,9,24,7,13,21,1,6,13,1,13,22,0,36,9,12,39,30,1
                         ,GRAPHISME          ,1,2,1,3,6,0,2,2,4,4,5,0,4,0,0,2,6,0,4,2,3,0,4,0
                         ,AUTOUR DU JEU      ,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,60,64,12,47,184,1,28,81,42,22,120,0,46,30,6,18,111,1,47,70,109,68,173,0
                         ,BD JEUNESSE        ,92,295,36,47,517,3,54,259,39,63,343,1,37,213,13,47,454,4,110,296,166,179,378,0
                         ,CINEMA ADULTES     ,84,86,34,33,151,0,39,67,30,60,132,0,61,32,20,58,89,0,86,80,95,87,167,0
                         ,CINEMA JEUNESSE    ,7,52,10,9,100,0,21,59,14,32,69,0,17,17,3,20,49,1,19,74,31,52,69,0
                         ,CINEMA             ,1,2,0,0,2,0,0,2,0,0,1,0,0,0,1,0,3,0,2,1,1,2,3,0
                         ,DANSE              ,3,1,0,1,6,0,4,5,10,2,3,0,0,0,2,1,0,0,6,4,2,1,3,0
                         ,GEOGRAPHIE         ,18,22,12,7,40,0,16,26,4,11,31,0,32,29,3,7,44,0,36,18,44,34,43,0
                         ,HISTOIRE           ,18,22,5,4,39,0,8,28,4,3,19,0,2,6,3,6,35,0,12,10,10,16,43,0
                         ,INFORMATIQUE       ,3,10,0,2,14,0,4,8,5,4,13,0,2,2,1,6,4,0,5,4,9,5,19,0
                         ,JEUX D'ASSEMBLAGE  ,3,13,0,1,22,0,5,18,0,1,19,1,4,7,0,0,18,0,9,15,6,7,14,1
                         ,JEUX D'EXERCICES   ,2,10,0,2,13,0,6,9,2,0,22,4,0,9,0,3,5,0,8,14,6,6,11,0
                         ,LIVRES SUR LES JEUX,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX               ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,20,37,4,15,68,0,16,59,17,9,74,0,10,18,9,18,53,0,18,36,31,47,67,1
                         ,JEUX SYMBOLIQUES   ,1,13,1,0,27,0,6,30,4,4,29,2,8,12,0,0,15,0,10,28,10,10,19,0
                         ,JEUX VIDEO         ,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,3,0
                         ,LANGUES            ,0,15,2,2,17,0,2,4,1,1,18,0,7,6,0,9,5,0,14,7,13,7,9,0
                         ,LITTERATURE        ,0,7,3,1,9,0,0,1,4,0,1,0,0,6,0,0,2,0,4,2,1,3,2,0
                         ,FONDS LOCAL        ,4,0,10,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,LOISIRS CREATIFS   ,6,10,8,0,32,0,7,21,0,4,12,0,8,10,7,5,19,0,5,15,14,10,11,0
                         ,MUSIQUE ADULTES    ,92,66,26,40,147,0,33,67,24,71,104,0,34,69,22,37,83,0,104,57,37,53,126,1
                         ,MUSIQUE            ,1,0,0,0,1,0,0,0,0,1,2,0,2,1,0,0,0,0,2,2,2,0,3,0
                         ,MUSIQUE JEUNESSE   ,2,31,9,0,22,0,0,26,4,23,18,0,2,12,4,2,15,0,12,39,6,22,18,1
                         ,PHILOSOPHIE        ,0,7,0,2,6,0,2,10,2,4,5,0,2,4,6,12,2,0,4,3,4,14,13,0
                         ,PRESSE             ,24,87,20,34,64,0,14,62,29,17,60,0,15,54,6,16,94,0,20,99,56,42,123,0
                         ,FONDS PRO          ,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,2,0
                         ,PSYCHOLOGIE        ,6,8,5,5,16,0,3,11,13,6,8,0,2,7,1,6,20,0,11,10,2,9,31,0
                         ,RELIGIONS          ,5,6,2,0,6,0,1,6,1,3,3,0,2,0,1,1,10,0,3,9,2,2,15,0
                         ,ROMANS ADULTES     ,194,171,57,53,244,4,109,118,73,80,188,3,100,81,58,96,152,0,162,153,127,146,163,1
                         ,ROMANS JEUNESSE    ,35,74,1,15,137,1,11,99,19,23,139,1,5,64,20,16,111,5,53,108,46,71,93,0
                         ,SCIENCES           ,11,52,3,14,52,0,6,35,4,7,51,0,3,25,0,10,23,1,19,33,22,54,59,0
                         ,SOCIETE            ,9,24,10,10,46,0,8,31,26,10,59,0,39,3,2,20,18,0,31,20,15,30,55,0
                         ,SPORTS ET LOISIRS  ,1,4,2,6,12,0,0,6,0,6,7,0,2,5,8,3,18,0,6,6,3,6,25,0
                         ,VIE PRATIQUE       ,45,42,12,17,61,0,14,44,17,17,69,0,39,36,15,15,63,2,36,50,26,36,81,0
                         ,THEATRE            ,7,16,16,5,29,0,28,9,8,20,12,0,18,23,0,18,6,0,17,8,12,8,12,0
                         ,VERSION ORIGINALE  ,0,2,0,0,1,0,0,0,0,0,2,0,4,1,0,4,0,0,0,0,1,0,0,0
                         ,xx                 ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Bellevue                 ,TOTAL              ,322,578,14,222,0,333,265,585,5,167,0,291,220,486,54,150,0,280,257,597,0,116,0,350
                         ,ALBUMS             ,87,135,5,58,0,56,77,160,0,18,0,71,50,108,48,30,0,39,25,89,0,30,0,23
                         ,ARTS               ,0,6,0,0,0,1,2,2,0,1,0,1,2,0,0,1,0,2,2,7,0,1,0,1
                         ,GRAPHISME          ,0,3,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0
                         ,BD ADULTES         ,37,43,0,15,0,22,17,22,0,8,0,20,3,5,0,14,0,4,10,37,0,8,0,26
                         ,BD JEUNESSE        ,69,158,3,50,0,107,50,146,0,51,0,48,54,133,0,42,0,71,55,180,0,14,0,84
                         ,CINEMA ADULTES     ,9,24,1,9,0,9,10,20,0,9,0,14,7,17,0,9,0,13,22,22,0,1,0,36
                         ,CINEMA JEUNESSE    ,9,15,1,1,0,14,14,10,0,4,0,6,11,19,0,7,0,13,16,16,0,15,0,2
                         ,CINEMA             ,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,DANSE              ,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0
                         ,GEOGRAPHIE         ,0,6,0,2,0,9,2,8,1,2,0,3,2,9,0,1,0,5,5,6,0,0,0,10
                         ,HISTOIRE           ,1,0,0,2,0,2,0,2,0,1,0,0,0,2,0,3,0,1,0,1,0,0,0,1
                         ,INFORMATIQUE       ,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
                         ,JEUX A REGLES      ,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,0
                         ,JEUX SYMBOLIQUES   ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
                         ,JEUX VIDEO         ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,2,3,0,1,0,2,2,1,0,0,0,4,1,1,0,0,0,2,2,13,0,0,0,2
                         ,LITTERATURE        ,0,1,0,0,0,5,4,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0
                         ,LOISIRS CREATIFS   ,1,0,0,1,0,2,3,3,0,0,0,3,0,1,0,1,0,1,7,3,0,2,0,4
                         ,MUSIQUE ADULTES    ,4,23,0,1,0,7,2,7,0,5,0,17,1,5,0,0,0,6,1,41,0,1,0,3
                         ,MUSIQUE JEUNESSE   ,3,8,0,1,0,5,3,3,0,3,0,5,5,7,0,7,0,4,0,5,0,0,0,0
                         ,PHILOSOPHIE        ,0,3,0,0,0,1,0,5,1,0,0,1,0,2,0,0,0,2,1,2,0,1,0,1
                         ,PRESSE             ,11,26,0,15,0,11,5,31,0,7,0,14,6,28,0,8,0,15,19,19,0,2,0,20
                         ,PSYCHOLOGIE        ,1,0,0,1,0,3,2,8,0,1,0,5,0,0,0,0,0,1,0,2,0,0,0,6
                         ,RELIGIONS          ,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,ROMANS ADULTES     ,32,32,1,28,0,16,34,50,0,34,0,34,16,28,0,18,0,35,21,42,0,25,0,77
                         ,ROMANS JEUNESSE    ,42,45,1,10,0,49,21,63,1,15,0,36,45,75,6,5,0,50,43,75,0,11,0,36
                         ,SCIENCES           ,4,12,0,4,0,3,6,15,1,4,0,2,4,9,0,2,0,2,4,9,0,1,0,5
                         ,SOCIETE            ,0,7,0,0,0,0,3,2,0,1,0,0,4,12,0,0,0,2,1,1,0,3,0,0
                         ,SPORTS ET LOISIRS  ,1,1,0,5,0,1,2,3,0,0,0,3,3,5,0,0,0,0,2,2,0,0,0,3
                         ,VIE PRATIQUE       ,5,16,2,16,0,4,0,18,0,2,0,1,5,12,0,2,0,8,11,12,0,1,0,10
                         ,THEATRE            ,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
La Ludothèque            ,TOTAL              ,19,92,3,23,54,0,80,79,4,62,20,0,21,41,0,45,21,0,34,43,0,91,25,0
                         ,ALBUMS             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
                         ,AUTOUR DU JEU      ,0,14,0,0,1,0,3,0,0,3,1,0,3,0,0,2,1,0,0,1,0,3,6,0
                         ,BD ADULTES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,5,16,3,3,12,0,14,6,0,3,2,0,4,1,0,2,4,0,3,7,0,9,3,0
                         ,JEUX D'EXERCICES   ,1,13,0,3,8,0,22,12,0,9,3,0,3,10,0,2,1,0,2,12,0,22,4,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,JEUX A REGLES      ,8,26,0,9,17,0,24,37,1,41,12,0,9,17,0,35,7,0,22,12,0,43,6,0
                         ,JEUX SYMBOLIQUES   ,5,23,0,8,16,0,9,24,0,6,2,0,1,10,0,3,5,0,5,9,0,9,6,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PRESSE             ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SOCIETE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,SPORTS ET LOISIRS  ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
                         ,VIE PRATIQUE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gao Xingjian - Sillon    ,TOTAL              ,170,334,141,221,357,0,249,255,145,163,328,2,184,277,213,162,324,0,123,0,0,42,0,0
                         ,ALBUMS             ,20,106,35,45,47,0,62,51,6,43,65,0,19,48,50,25,44,0,32,0,0,6,0,0
                         ,ARTS               ,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,13,25,21,22,37,0,14,13,21,5,31,0,14,17,23,6,64,0,2,0,0,0,0,0
                         ,BD JEUNESSE        ,18,68,7,43,112,0,61,51,43,24,74,0,42,44,25,19,80,0,18,0,0,3,0,0
                         ,CINEMA ADULTES     ,0,2,0,3,3,0,3,0,1,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0
                         ,GEOGRAPHIE         ,2,0,2,3,0,0,0,4,0,4,0,0,0,0,1,1,4,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,2,0,1,1,0,0,0,2,0,0,1,0,1,2,3,2,0,0,0,0,0,1,0,0
                         ,JEUX D'ASSEMBLAGE  ,0,1,1,0,5,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,19,21,7,9,30,0,15,23,7,15,28,0,11,24,12,13,11,0,17,0,0,7,0,0
                         ,JEUX SYMBOLIQUES   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,3,6,5,1,10,0,4,12,3,8,19,0,4,11,5,8,13,0,1,0,0,0,0,0
                         ,LANGUES            ,1,9,2,4,1,0,3,2,5,5,4,0,4,4,2,13,1,0,1,0,0,1,0,0
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,7,10,9,11,1,0,2,2,4,2,1,0,2,1,4,2,5,0,5,0,0,0,0,0
                         ,MUSIQUE ADULTES    ,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,1,3,0,2,0,0,1,1,0,1,0,0,0,1,0,1,2,0,1,0,0,0,0,0
                         ,PRESSE             ,3,22,6,9,11,0,3,12,12,2,9,0,20,3,11,6,9,0,3,0,0,0,0,0
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,6,7,1,8,1,0,2,1,0,6,12,0,1,3,3,0,2,0,1,0,0,0,0,0
                         ,RELIGIONS          ,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,36,7,20,22,49,0,41,21,31,25,35,0,43,59,16,23,40,0,15,0,0,5,0,0
                         ,ROMANS JEUNESSE    ,16,26,5,14,36,0,23,33,7,14,34,0,18,44,31,12,33,0,20,0,0,19,0,0
                         ,SCIENCES           ,4,9,4,8,2,0,2,6,0,0,3,0,0,4,5,1,2,0,0,0,0,0,0,0
                         ,SOCIETE            ,1,5,1,2,1,0,1,8,2,1,3,1,2,2,10,3,5,0,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS  ,1,0,0,0,2,0,0,1,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0
                         ,VIE PRATIQUE       ,10,6,13,12,7,0,7,7,0,5,8,0,1,6,4,3,4,0,5,0,0,0,0,0
                         ,THEATRE            ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0
                         ,xx                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
