Lieu de prêt,Emplacement,"Nb prêt
04/11/19","Nb prêt
05/11/19","Nb prêt
06/11/19","Nb prêt
07/11/19","Nb prêt
08/11/19","Nb prêt
09/11/19","Nb prêt
12/11/19","Nb prêt
13/11/19","Nb prêt
14/11/19","Nb prêt
15/11/19","Nb prêt
16/11/19","Nb prêt
18/11/19","Nb prêt
19/11/19","Nb prêt
20/11/19","Nb prêt
21/11/19","Nb prêt
22/11/19","Nb prêt
23/11/19","Nb prêt
25/11/19","Nb prêt
26/11/19","Nb prêt
27/11/19","Nb prêt
28/11/19","Nb prêt
29/11/19","Nb prêt
30/11/19"
TOTAL                    ,                 ,229,1692,3222,850,1556,3335,1347,3097,932,1112,2892,231,1229,2730,672,913,2639,299,1128,2614,726,1081,2693
Haute Chaussée           ,TOTAL            ,0,82,149,94,127,0,43,172,89,82,0,0,66,188,52,30,0,0,57,160,81,48,0
                         ,ALBUMS           ,0,23,51,64,41,0,16,36,29,18,0,0,16,60,16,13,0,0,23,27,45,6,0
                         ,ARTS             ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES       ,0,1,0,0,3,0,0,7,2,2,0,0,0,1,2,4,0,0,0,2,0,0,0
                         ,BD JEUNESSE      ,0,11,22,1,9,0,12,29,8,12,0,0,14,29,4,0,0,0,10,27,10,12,0
                         ,CINEMA ADULTES   ,0,2,0,2,0,0,0,2,4,2,0,0,2,0,0,0,0,0,0,1,0,0,0
                         ,CINEMA JEUNESSE  ,0,3,3,0,1,0,1,0,2,2,0,0,1,9,1,0,0,0,1,8,0,0,0
                         ,GEOGRAPHIE       ,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
                         ,INFORMATIQUE     ,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0
                         ,JEUX D'ASSEMBLAGE,0,4,9,1,1,0,2,8,3,3,0,0,1,9,2,0,0,0,3,6,5,0,0
                         ,JEUX D'EXERCICES ,0,1,3,0,8,0,0,5,1,4,0,0,3,8,1,3,0,0,0,3,3,0,0
                         ,JEUX A REGLES    ,0,7,21,6,8,0,4,24,18,6,0,0,4,23,7,4,0,0,6,30,13,3,0
                         ,JEUX SYMBOLIQUES ,0,2,2,1,3,0,3,16,2,4,0,0,3,16,2,0,0,0,5,10,1,2,0
                         ,JEUX VIDEO       ,0,2,6,0,0,0,0,4,1,1,0,0,2,3,2,2,0,0,1,8,0,2,0
                         ,LANGUES          ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,LITTERATURE      ,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS ,0,1,1,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,1,0,4,0
