Lieu de prêt,Emplacement,"Nb prêt
04/11/19","Nb prêt
05/11/19","Nb prêt
06/11/19","Nb prêt
07/11/19","Nb prêt
08/11/19","Nb prêt
09/11/19","Nb prêt
12/11/19","Nb prêt
13/11/19","Nb prêt
14/11/19","Nb prêt
15/11/19","Nb prêt
16/11/19","Nb prêt
18/11/19","Nb prêt
19/11/19","Nb prêt
20/11/19","Nb prêt
21/11/19","Nb prêt
22/11/19","Nb prêt
23/11/19","Nb prêt
25/11/19","Nb prêt
26/11/19","Nb prêt
27/11/19","Nb prêt
28/11/19","Nb prêt
29/11/19","Nb prêt
30/11/19"
                         ,MUSIQUE ADULTES  ,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE ,0,4,4,4,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0
                         ,PRESSE           ,0,4,9,0,0,0,2,11,1,0,0,0,0,4,7,0,0,0,3,8,2,0,0
                         ,PSYCHOLOGIE      ,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,0,1,0
                         ,RELIGIONS        ,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES   ,0,3,2,1,1,0,0,1,7,4,0,0,15,1,1,4,0,0,3,6,1,5,0
                         ,ROMANS JEUNESSE  ,0,6,11,0,38,0,3,16,1,19,0,0,0,13,2,0,0,0,1,10,0,5,0
                         ,SCIENCES         ,0,3,1,12,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,3,0,2,0
                         ,SOCIETE          ,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,VIE PRATIQUE     ,0,3,1,0,1,0,0,8,3,4,0,0,2,6,0,0,0,0,0,6,0,3,0
                         ,THEATRE          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Charles-Gautier-Hermeland,TOTAL            ,11,868,1762,557,822,2775,631,1518,614,519,2509,12,664,1358,411,408,2193,28,496,1351,397,577,2285
                         ,ALBUMS           ,1,157,273,63,99,367,72,354,88,65,460,3,114,318,41,47,384,21,32,241,66,59,373
                         ,ARTS             ,0,15,28,9,7,43,9,13,7,4,44,0,5,8,10,3,30,1,9,26,3,10,29
                         ,GRAPHISME        ,0,0,10,5,9,13,4,2,2,1,16,0,1,5,0,1,9,0,1,1,1,2,6
                         ,AUTOUR DU JEU    ,1,0,1,0,1,0,0,0,2,3,0,0,1,1,0,4,0,0,0,1,0,0,0
                         ,BD ADULTES       ,1,67,106,28,36,176,34,75,44,24,250,1,42,112,19,36,122,1,20,64,32,35,153
                         ,BD JEUNESSE      ,0,40,302,101,88,526,52,237,61,59,440,0,28,234,55,24,362,0,55,280,51,68,474
                         ,CINEMA ADULTES   ,3,87,101,47,43,181,33,72,48,38,121,0,43,32,36,55,136,1,32,55,10,63,127
                         ,CINEMA JEUNESSE  ,1,23,57,0,20,108,3,69,20,19,62,0,1,34,14,11,74,0,23,64,10,19,77
                         ,DANSE            ,0,0,0,12,12,5,18,5,1,8,1,0,6,3,1,2,10,0,3,8,4,3,2
                         ,GEOGRAPHIE       ,0,27,32,8,15,21,18,16,10,3,17,0,11,4,4,4,30,0,4,19,8,12,12
                         ,HISTOIRE         ,0,20,15,3,19,49,7,19,9,10,20,0,7,10,8,10,14,0,3,11,3,4,30
                         ,INFORMATIQUE     ,0,0,3,2,7,16,1,6,3,2,17,0,0,2,3,2,6,0,5,6,0,6,3
                         ,JEUX D'ASSEMBLAGE,0,8,24,2,1,15,4,16,1,8,26,0,6,18,2,7,20,0,0,8,0,3,13
                         ,JEUX D'EXERCICES ,0,12,16,3,1,5,3,11,4,8,20,0,9,14,0,6,12,0,1,7,1,1,10
                         ,JEUX A REGLES    ,0,30,68,10,20,144,23,45,34,7,139,0,8,40,8,9,77,0,7,43,6,14,89
                         ,JEUX SYMBOLIQUES ,0,8,30,1,1,25,10,18,5,11,47,0,2,28,4,2,35,0,2,12,2,7,18
                         ,JEUX VIDEO       ,0,0,1,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
                         ,LANGUES          ,0,0,7,1,6,8,1,6,2,0,7,0,1,4,0,0,8,0,4,19,5,0,8
                         ,LITTERATURE      ,0,4,6,0,5,4,0,1,3,0,4,0,6,3,5,7,6,0,2,4,0,2,10
                         ,FONDS LOCAL      ,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS ,0,9,15,7,19,16,12,24,5,5,22,0,5,16,1,5,28,0,4,11,1,5,20
                         ,MUSIQUE ADULTES  ,0,53,80,39,53,154,36,65,47,37,93,0,41,56,17,23,131,2,9,28,34,53,105
                         ,MUSIQUE JEUNESSE ,0,13,10,3,5,13,5,7,7,0,31,0,6,19,2,6,15,0,0,9,4,4,15
                         ,PHILOSOPHIE      ,1,0,12,1,3,13,1,5,0,0,5,0,13,1,1,2,6,0,4,5,2,0,3
                         ,PRESSE           ,0,26,55,19,41,183,21,89,29,23,85,2,26,46,7,16,129,0,20,67,7,29,117
                         ,FONDS PRO        ,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
                         ,PSYCHOLOGIE      ,0,11,14,1,6,21,11,12,5,5,18,0,5,7,3,11,13,0,6,10,4,2,19
                         ,RELIGIONS        ,0,7,5,0,4,7,5,3,1,1,3,0,3,2,1,3,3,0,0,5,1,4,3
                         ,ROMANS ADULTES   ,2,138,195,111,123,155,145,109,108,126,176,3,142,93,78,83,171,0,132,90,75,109,211
                         ,ROMANS JEUNESSE  ,1,23,127,2,47,226,39,100,28,23,158,2,12,138,45,8,169,0,29,126,16,14,184
                         ,SCIENCES         ,0,20,34,8,19,94,9,39,9,4,42,0,9,26,1,6,39,0,12,30,15,15,53
                         ,SOCIETE          ,0,2,23,15,16,43,9,19,3,1,41,1,18,37,12,7,33,0,4,10,15,12,13
                         ,SPORTS ET LOISIRS,0,1,14,1,3,21,1,2,0,1,1,0,0,3,0,1,3,0,1,3,2,2,16
                         ,VIE PRATIQUE     ,0,30,67,38,30,97,20,55,22,19,110,0,23,24,23,7,72,2,23,38,5,13,69
                         ,THEATRE          ,0,37,30,17,44,22,24,23,6,4,32,0,70,16,10,0,39,0,49,48,13,2,23
                         ,VERSION ORIGINALE,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,2,0,5,0
                         ,xx               ,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Bellevue                 ,TOTAL            ,218,299,804,40,245,0,444,863,53,284,0,219,182,716,24,232,0,271,302,630,32,289,0
                         ,ALBUMS           ,23,64,167,20,50,0,136,158,31,102,0,27,37,156,3,52,0,66,92,111,15,87,0
                         ,ARTS             ,1,0,5,0,3,0,0,7,0,1,0,2,1,7,0,7,0,1,4,5,0,5,0
                         ,GRAPHISME        ,0,0,2,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,2,0,1,0
                         ,AUTOUR DU JEU    ,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
                         ,BD ADULTES       ,22,26,17,0,3,0,2,53,1,5,0,12,11,36,0,4,0,1,12,29,3,3,0
                         ,BD JEUNESSE      ,35,58,245,1,56,0,71,237,5,56,0,90,36,204,10,51,0,58,82,193,4,80,0
                         ,CINEMA ADULTES   ,12,4,25,0,17,0,14,22,0,16,0,11,13,7,1,7,0,6,6,13,0,3,0
                         ,CINEMA JEUNESSE  ,1,12,17,1,2,0,38,35,1,2,0,6,9,24,1,7,0,4,5,24,0,6,0
                         ,DANSE            ,0,0,1,1,1,0,0,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
                         ,GEOGRAPHIE       ,2,2,3,0,1,0,13,4,0,0,0,3,2,8,0,3,0,3,4,1,0,3,0
                         ,HISTOIRE         ,3,6,8,0,4,0,2,4,0,1,0,1,2,2,0,7,0,1,1,8,0,1,0
                         ,INFORMATIQUE     ,1,1,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,JEUX A REGLES    ,2,0,0,0,0,0,3,3,3,0,0,0,5,1,1,0,0,0,10,1,1,0,0
                         ,JEUX SYMBOLIQUES ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO       ,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
                         ,LANGUES          ,1,3,4,0,1,0,3,5,0,1,0,1,1,1,0,1,0,5,2,3,2,0,0
                         ,LITTERATURE      ,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
                         ,LOISIRS CREATIFS ,0,2,11,0,2,0,0,6,0,1,0,1,0,4,0,6,0,4,1,5,0,3,0
                         ,MUSIQUE ADULTES  ,0,7,12,0,5,0,4,16,0,20,0,0,2,11,0,2,0,9,4,8,0,0,0
                         ,MUSIQUE JEUNESSE ,1,14,14,0,1,0,10,8,0,6,0,3,0,10,0,2,0,3,1,11,0,1,0
                         ,PHILOSOPHIE      ,0,2,3,0,1,0,0,4,0,1,0,0,6,5,1,1,0,1,2,5,0,0,0
                         ,PRESSE           ,17,8,36,0,16,0,18,44,1,14,0,4,1,47,0,12,0,36,14,23,0,31,0
                         ,PSYCHOLOGIE      ,0,2,5,0,0,0,1,6,0,2,0,0,1,5,0,2,0,0,1,1,0,1,0
                         ,RELIGIONS        ,1,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0
                         ,ROMANS ADULTES   ,70,31,37,0,39,0,31,61,0,30,0,29,19,43,0,23,0,40,10,40,0,14,0
                         ,ROMANS JEUNESSE  ,13,25,142,4,32,0,68,130,3,8,0,5,22,101,2,31,0,16,29,113,5,43,0
                         ,SCIENCES         ,4,10,14,10,0,0,8,24,6,3,0,6,2,7,4,1,0,9,9,4,1,0,0
                         ,SOCIETE          ,0,9,7,0,0,0,2,1,1,4,0,2,0,10,0,3,0,0,2,2,0,1,0
                         ,SPORTS ET LOISIRS,1,2,4,0,2,0,2,6,0,0,0,2,3,2,1,1,0,1,3,4,0,0,0
                         ,VIE PRATIQUE     ,8,7,20,2,7,0,12,13,1,9,0,8,7,15,0,8,0,4,5,20,1,4,0
                         ,THEATRE          ,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ludothèque Municipale            ,TOTAL            ,0,91,106,0,65,35,42,133,2,76,49,0,78,110,2,34,69,0,83,101,5,83,29
                         ,ALBUMS           ,0,8,0,0,2,7,3,0,0,18,0,0,1,9,0,1,0,0,2,1,0,11,2
                         ,ARTS             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
                         ,AUTOUR DU JEU    ,0,8,0,0,0,1,0,7,0,6,5,0,6,15,1,0,5,0,0,4,0,8,0
                         ,BD JEUNESSE      ,0,4,0,0,2,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0
                         ,CINEMA ADULTES   ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
                         ,CINEMA JEUNESSE  ,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
                         ,GEOGRAPHIE       ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE,0,7,6,0,6,9,2,13,0,5,9,0,6,10,0,1,10,0,9,15,0,12,2
                         ,JEUX D'EXERCICES ,0,17,11,0,6,3,10,13,0,5,3,0,15,16,0,8,6,0,8,14,0,10,2
                         ,GRANDS JEUX      ,0,1,0,0,6,0,0,4,0,6,0,0,6,0,0,4,0,0,0,0,0,0,0
                         ,JEUX A REGLES    ,0,15,46,0,23,14,12,38,2,24,20,0,32,24,1,7,37,0,48,23,4,18,4
                         ,JEUX SYMBOLIQUES ,0,10,43,0,8,1,11,44,0,10,8,0,10,32,0,10,10,0,13,32,0,19,19
                         ,LANGUES          ,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,MUSIQUE ADULTES  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,MUSIQUE JEUNESSE ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
                         ,PRESSE           ,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE      ,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
                         ,ROMANS ADULTES   ,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
                         ,ROMANS JEUNESSE  ,0,8,0,0,4,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
                         ,SCIENCES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
                         ,SOCIETE          ,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0
                         ,VIE PRATIQUE     ,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Gao Xingjian - Sillon    ,TOTAL            ,0,352,401,159,297,525,187,411,174,151,334,0,239,358,183,209,377,0,190,372,211,84,379
                         ,ALBUMS           ,0,83,105,22,40,73,20,81,29,28,63,0,37,94,37,70,68,0,29,102,38,7,40
                         ,ARTS             ,0,2,0,0,3,0,2,0,0,3,2,0,1,1,2,0,2,0,0,0,0,1,0
                         ,GRAPHISME        ,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU    ,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,1
                         ,BD ADULTES       ,0,23,49,4,33,53,30,29,6,16,19,0,5,50,16,12,21,0,13,12,18,4,38
                         ,BD JEUNESSE      ,0,19,50,11,44,182,29,97,28,19,66,0,69,54,41,21,79,0,53,104,25,8,95
                         ,CINEMA ADULTES   ,0,1,1,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,6,2,0
                         ,CINEMA JEUNESSE  ,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,2,0,0
                         ,DANSE            ,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,GEOGRAPHIE       ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
                         ,HISTOIRE         ,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE     ,0,2,0,0,1,0,2,0,3,0,6,0,0,1,4,1,5,0,0,0,0,0,3
                         ,JEUX D'ASSEMBLAGE,0,0,0,2,0,1,1,2,0,0,1,0,0,2,0,0,1,0,1,4,0,1,0
                         ,JEUX D'EXERCICES ,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,GRANDS JEUX      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
                         ,JEUX A REGLES    ,0,14,36,11,18,45,21,22,9,15,15,0,32,33,7,36,35,0,6,36,3,7,40
                         ,JEUX SYMBOLIQUES ,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO       ,0,6,11,3,4,29,5,13,3,7,15,0,5,18,3,9,8,0,2,9,3,3,16
                         ,LANGUES          ,0,9,7,0,0,2,1,22,4,4,5,0,0,13,7,4,1,0,4,3,1,0,1
                         ,LITTERATURE      ,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LOISIRS CREATIFS ,0,7,4,6,16,3,3,5,1,1,5,0,1,12,1,6,4,0,2,2,3,0,11
                         ,MUSIQUE ADULTES  ,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0
                         ,MUSIQUE JEUNESSE ,0,2,1,2,1,1,0,2,2,0,0,0,3,1,0,0,1,0,1,2,4,0,2
                         ,PRESSE           ,0,30,26,6,31,26,7,21,3,1,17,0,7,8,17,5,7,0,14,6,5,6,9
                         ,FONDS PRO        ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE      ,0,6,2,1,1,4,5,2,5,3,2,0,3,5,3,2,2,0,5,6,4,2,0
                         ,RELIGIONS        ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
                         ,ROMANS ADULTES   ,0,97,40,35,47,41,26,55,29,22,43,0,26,24,15,19,80,0,28,32,37,15,44
                         ,ROMANS JEUNESSE  ,0,23,30,32,33,28,14,35,26,7,47,0,23,21,14,20,26,0,20,39,12,23,56
                         ,SCIENCES         ,0,6,13,7,3,7,2,6,3,4,3,0,2,6,3,2,9,0,3,3,3,0,3
                         ,SOCIETE          ,0,0,1,1,2,4,8,0,5,11,5,0,6,3,3,0,6,0,2,2,6,0,9
                         ,SPORTS ET LOISIRS,0,3,3,2,4,2,1,3,0,1,3,0,0,1,1,0,4,0,0,2,2,0,1
                         ,VIE PRATIQUE     ,0,19,20,13,11,19,10,8,6,5,13,0,9,9,5,1,15,0,2,8,32,1,9
                         ,THEATRE          ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,VERSION ORIGINALE,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
                         ,xx               ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
