Lieu de prêt,Emplacement,"Nb prêt
01/10/18","Nb prêt
02/10/18","Nb prêt
03/10/18","Nb prêt
04/10/18","Nb prêt
05/10/18","Nb prêt
06/10/18","Nb prêt
08/10/18","Nb prêt
09/10/18","Nb prêt
10/10/18","Nb prêt
11/10/18","Nb prêt
12/10/18","Nb prêt
13/10/18","Nb prêt
15/10/18","Nb prêt
16/10/18","Nb prêt
17/10/18","Nb prêt
18/10/18","Nb prêt
19/10/18","Nb prêt
20/10/18","Nb prêt
22/10/18","Nb prêt
23/10/18","Nb prêt
24/10/18","Nb prêt
25/10/18","Nb prêt
26/10/18","Nb prêt
27/10/18","Nb prêt
29/10/18","Nb prêt
30/10/18","Nb prêt
31/10/18"
TOTAL                    ,                   ,293,1173,2447,640,845,2611,211,1167,2871,562,1134,2418,408,1016,2709,844,967,2774,281,1802,2270,1122,1255,1772,358,2297,1556
Bourg                    ,TOTAL              ,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
                         ,ALBUMS             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,JEUX D'EXERCICES   ,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX A REGLES      ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haute-Chaussée           ,TOTAL              ,0,6,39,19,14,0,0,9,87,19,35,0,0,24,55,11,28,0,0,4,78,20,2,0,0,8,64
                         ,ALBUMS             ,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,1,5,0,0,0,0,0
                         ,BD ADULTES         ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,BD JEUNESSE        ,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
