Lieu de prêt,Emplacement,"Nb prêt
02/05/18","Nb prêt
03/05/18","Nb prêt
04/05/18","Nb prêt
05/05/18","Nb prêt
07/05/18","Nb prêt
09/05/18","Nb prêt
11/05/18","Nb prêt
12/05/18","Nb prêt
14/05/18","Nb prêt
15/05/18","Nb prêt
16/05/18","Nb prêt
17/05/18","Nb prêt
18/05/18","Nb prêt
19/05/18","Nb prêt
22/05/18","Nb prêt
23/05/18","Nb prêt
24/05/18","Nb prêt
25/05/18","Nb prêt
26/05/18","Nb prêt
28/05/18","Nb prêt
29/05/18","Nb prêt
30/05/18","Nb prêt
31/05/18"
                         ,MUSIQUE JEUNESSE   ,9,5,9,9,0,14,6,21,0,2,12,10,1,27,9,30,1,8,27,0,6,47,1
                         ,PHILOSOPHIE        ,6,4,8,3,0,12,4,4,0,4,6,9,4,18,1,3,6,1,10,0,2,2,2
                         ,PRESSE             ,45,40,29,61,0,87,51,117,0,27,83,17,20,69,4,59,10,21,63,0,29,44,18
                         ,FONDS PRO          ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,PSYCHOLOGIE        ,8,7,1,8,0,11,14,20,0,3,11,7,2,21,4,7,0,10,8,0,3,11,0
                         ,RELIGIONS          ,6,3,4,4,0,1,3,7,0,2,6,5,3,15,6,7,2,6,8,0,1,4,0
                         ,ROMANS ADULTES     ,124,114,87,158,6,150,160,172,2,129,119,70,109,141,25,121,91,52,146,0,103,150,71
                         ,ROMANS JEUNESSE    ,94,42,51,110,0,59,109,101,0,24,71,17,29,125,17,73,9,18,118,0,20,157,14
                         ,SCIENCES           ,14,10,15,31,0,24,11,43,0,9,59,3,14,54,2,32,15,6,36,0,10,36,9
                         ,SOCIETE            ,40,10,10,29,0,24,7,48,0,16,30,12,15,40,7,15,7,18,36,0,12,29,7
                         ,SPORTS ET LOISIRS  ,17,4,0,4,0,5,6,5,0,2,6,2,3,9,2,6,5,5,3,0,2,6,1
                         ,VIE PRATIQUE       ,68,36,12,44,0,31,50,71,1,38,44,13,16,70,8,55,11,15,60,0,24,33,26
                         ,THEATRE            ,44,4,0,33,0,30,0,12,0,4,20,3,21,11,5,30,13,2,7,0,0,8,10
                         ,VERSION ORIGINALE  ,2,0,0,1,0,0,0,0,0,0,1,0,1,5,0,1,0,6,0,0,1,1,0
                         ,xx                 ,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Bellevue                 ,TOTAL              ,207,2,245,0,0,12,0,0,441,363,741,8,177,0,291,512,8,144,0,239,293,606,36
                         ,ALBUMS             ,46,1,66,0,0,0,0,0,78,113,197,1,35,0,76,90,7,13,0,37,50,132,26
                         ,ARTS               ,1,0,2,0,0,0,0,0,9,1,1,0,6,0,2,0,0,0,0,1,2,4,2
                         ,GRAPHISME          ,2,0,2,0,0,0,0,0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,20,0,19,0,0,0,0,0,29,6,5,0,11,0,3,16,0,5,0,7,27,44,0
                         ,BD JEUNESSE        ,31,0,30,0,0,12,0,0,69,67,196,0,39,0,68,181,0,36,0,67,47,203,0
                         ,CINEMA ADULTES     ,12,1,17,0,0,0,0,0,16,6,26,1,12,0,10,19,0,6,0,7,18,8,0
                         ,CINEMA JEUNESSE    ,11,0,6,0,0,0,0,0,23,6,12,0,6,0,16,14,0,11,0,7,13,28,2
                         ,DANSE              ,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,1,2,0,0
                         ,GEOGRAPHIE         ,0,0,5,0,0,0,0,0,11,2,7,0,3,0,8,10,0,3,0,4,2,7,0
                         ,HISTOIRE           ,1,0,2,0,0,0,0,0,3,9,1,0,4,0,2,2,0,0,0,1,3,1,0
                         ,INFORMATIQUE       ,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0
                         ,JEUX D'EXERCICES   ,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
                         ,JEUX A REGLES      ,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX SYMBOLIQUES   ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,LANGUES            ,0,0,8,0,0,0,0,0,4,3,0,0,1,0,5,2,0,2,0,1,3,1,0
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0
                         ,LOISIRS CREATIFS   ,3,0,2,0,0,0,0,0,4,2,0,0,0,0,2,3,0,0,0,1,2,4,0
                         ,MUSIQUE ADULTES    ,11,0,8,0,0,0,0,0,11,13,7,0,5,0,1,11,0,8,0,2,5,17,0
                         ,MUSIQUE JEUNESSE   ,1,0,2,0,0,0,0,0,2,1,9,0,2,0,6,4,1,2,0,1,1,4,0
                         ,PHILOSOPHIE        ,3,0,3,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,0,3,1
                         ,PRESSE             ,22,0,7,0,0,0,0,0,37,21,54,0,3,0,9,30,0,5,0,10,9,43,0
                         ,FONDS PRO          ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,PSYCHOLOGIE        ,5,0,1,0,0,0,0,0,3,5,3,1,2,0,2,7,0,0,0,0,2,4,0
                         ,RELIGIONS          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
                         ,ROMANS ADULTES     ,25,0,30,0,0,0,0,0,75,34,61,1,21,0,27,21,0,25,0,33,37,32,0
                         ,ROMANS JEUNESSE    ,6,0,22,0,0,0,0,0,38,49,109,0,16,0,43,68,0,11,0,43,41,44,2
                         ,SCIENCES           ,0,0,3,0,0,0,0,0,4,3,18,4,5,0,2,11,0,5,0,2,7,3,2
                         ,SOCIETE            ,3,0,0,0,0,0,0,0,5,7,1,0,3,0,1,3,0,2,0,3,3,4,0
                         ,SPORTS ET LOISIRS  ,0,0,1,0,0,0,0,0,5,0,2,0,0,0,2,1,0,0,0,2,6,2,1
                         ,VIE PRATIQUE       ,3,0,6,0,0,0,0,0,10,9,17,0,3,0,1,15,0,2,0,5,8,16,0
                         ,THEATRE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
La Ludothèque            ,TOTAL              ,82,10,60,15,0,64,36,67,0,39,90,0,24,44,29,103,10,77,9,23,54,86,0
                         ,ALBUMS             ,0,0,0,0,0,0,0,1,0,0,18,0,0,1,0,23,0,0,0,0,8,0,0
                         ,ARTS               ,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
                         ,GRAPHISME          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
                         ,AUTOUR DU JEU      ,3,0,1,1,0,4,1,2,0,1,3,0,0,1,0,4,0,1,2,4,6,6,0
                         ,BD ADULTES         ,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0
                         ,BD JEUNESSE        ,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
                         ,CINEMA ADULTES     ,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
                         ,CINEMA JEUNESSE    ,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX D'ASSEMBLAGE  ,6,0,9,1,0,15,3,5,0,3,8,0,0,11,1,7,0,5,0,0,2,8,0
                         ,JEUX D'EXERCICES   ,12,0,10,5,0,10,3,1,0,13,11,0,0,5,13,5,0,11,0,12,18,13,0
                         ,LIVRES SUR LES JEUX,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0
                         ,JEUX A REGLES      ,34,10,31,5,0,24,20,16,0,18,23,0,10,13,12,23,2,48,3,3,5,27,0
                         ,JEUX SYMBOLIQUES   ,22,0,6,3,0,9,9,1,0,4,18,0,13,13,3,18,0,12,4,3,8,22,0
                         ,LOISIRS CREATIFS   ,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
                         ,MUSIQUE ADULTES    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
                         ,MUSIQUE JEUNESSE   ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
                         ,PRESSE             ,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0
                         ,PSYCHOLOGIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,ROMANS ADULTES     ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
                         ,ROMANS JEUNESSE    ,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
                         ,SOCIETE            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
                         ,SPORTS ET LOISIRS  ,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0
Gao Xingjian - Sillon    ,TOTAL              ,457,392,295,0,0,414,322,0,0,282,286,161,239,213,46,397,148,205,410,0,150,310,200
                         ,ALBUMS             ,71,73,47,0,0,35,111,0,0,27,29,23,28,18,10,78,39,33,70,0,15,68,39
                         ,ARTS               ,0,1,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,3
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1
                         ,BD ADULTES         ,34,5,11,0,0,32,13,0,0,21,9,3,28,20,1,12,6,24,68,0,8,32,4
                         ,BD JEUNESSE        ,118,62,61,0,0,133,39,0,0,41,83,8,55,88,1,151,28,38,70,0,31,72,39
                         ,CINEMA ADULTES     ,0,2,0,0,0,1,0,0,0,10,0,0,1,0,0,0,0,0,3,0,1,0,0
                         ,CINEMA JEUNESSE    ,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0
                         ,GEOGRAPHIE         ,0,0,4,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,1
                         ,HISTOIRE           ,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
                         ,INFORMATIQUE       ,0,2,0,0,0,1,3,0,0,0,0,0,4,0,1,0,0,1,4,0,1,0,1
                         ,JEUX D'ASSEMBLAGE  ,1,8,2,0,0,0,2,0,0,0,2,2,0,0,0,0,1,2,0,0,0,0,3
                         ,JEUX D'EXERCICES   ,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
                         ,LIVRES SUR LES JEUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,JEUX A REGLES      ,29,34,61,0,0,49,27,0,0,28,23,10,13,20,2,21,19,15,37,0,33,16,10
                         ,JEUX SYMBOLIQUES   ,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
                         ,JEUX VIDEO         ,14,6,18,0,0,11,14,0,0,4,9,4,1,5,3,13,6,2,5,0,5,6,6
                         ,LANGUES            ,11,5,6,0,0,3,15,0,0,14,8,15,2,0,0,10,4,1,1,0,1,18,5
                         ,LITTERATURE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
                         ,LOISIRS CREATIFS   ,5,3,2,0,0,9,3,0,0,4,3,7,2,2,0,1,1,15,5,0,3,0,2
                         ,MUSIQUE ADULTES    ,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
                         ,MUSIQUE JEUNESSE   ,1,6,1,0,0,2,0,0,0,1,0,0,3,0,0,1,0,0,5,0,0,1,2
                         ,PHILOSOPHIE        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
                         ,PRESSE             ,27,22,0,0,0,26,11,0,0,13,16,4,14,2,9,4,15,10,39,0,3,5,10
                         ,FONDS PRO          ,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1
                         ,PSYCHOLOGIE        ,7,6,4,0,0,0,9,0,0,6,5,8,4,5,1,2,1,1,12,0,5,2,3
                         ,RELIGIONS          ,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
                         ,ROMANS ADULTES     ,63,57,30,0,0,42,36,0,0,50,33,40,35,11,15,31,14,26,48,0,25,33,21
                         ,ROMANS JEUNESSE    ,32,44,13,0,0,47,11,0,0,22,31,23,24,30,2,40,5,18,19,0,9,34,32
                         ,SCIENCES           ,1,11,2,0,0,2,3,0,0,3,10,2,7,0,0,8,0,6,5,0,0,2,0
                         ,SOCIETE            ,7,9,8,0,0,8,6,0,0,7,1,1,0,5,0,2,3,4,7,0,3,7,9
                         ,SPORTS ET LOISIRS  ,3,4,4,0,0,3,6,0,0,2,3,0,2,2,0,0,0,4,1,0,1,0,0
                         ,VIE PRATIQUE       ,33,20,19,0,0,6,11,0,0,20,19,11,9,4,0,21,3,4,6,0,5,10,3
                         ,THEATRE            ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
