Lieu de prêt,Emplacement,"Nb prêt
03/12/18","Nb prêt
04/12/18","Nb prêt
05/12/18","Nb prêt
06/12/18","Nb prêt
07/12/18","Nb prêt
08/12/18","Nb prêt
10/12/18","Nb prêt
11/12/18","Nb prêt
12/12/18","Nb prêt
13/12/18","Nb prêt
14/12/18","Nb prêt
15/12/18","Nb prêt
17/12/18","Nb prêt
18/12/18","Nb prêt
19/12/18","Nb prêt
20/12/18","Nb prêt
21/12/18","Nb prêt
22/12/18","Nb prêt
26/12/18","Nb prêt
27/12/18","Nb prêt
28/12/18","Nb prêt
29/12/18"
                         ,ROMANS ADULTES     ,0,124,125,67,75,108,0,82,104,60,108,132,2,135,165,61,90,139,101,69,106,137
                         ,ROMANS JEUNESSE    ,0,23,58,57,9,133,3,32,47,24,47,131,0,23,82,17,26,161,28,95,69,44
                         ,SCIENCES           ,0,7,34,10,12,49,0,11,29,8,7,40,0,9,26,5,15,65,19,21,30,33
                         ,SOCIETE            ,0,14,22,9,13,26,0,4,22,9,5,32,1,12,38,13,7,30,29,17,18,12
                         ,SPORTS ET LOISIRS  ,0,1,3,1,0,7,0,3,4,4,5,4,0,1,6,1,0,3,7,1,2,7
                         ,VIE PRATIQUE       ,0,20,29,15,13,44,0,12,52,34,21,65,0,20,35,26,19,38,34,13,33,39
                         ,THEATRE            ,0,53,23,6,4,43,0,38,44,34,24,37,0,24,19,0,1,6,15,16,24,6
                         ,VERSION ORIGINALE  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,1
                         ,xx                 ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Bellevue                 ,TOTAL              ,247,323,654,52,261,0,343,246,611,5,233,0,331,524,640,0,238,0,174,0,171,0
                         ,ALBUMS             ,47,111,198,11,70,0,90,83,153,0,40,0,90,181,121,0,27,0,38,0,13,0
                         ,ARTS               ,5,3,12,0,1,0,2,1,4,0,1,0,3,8,4,0,4,0,1,0,1,0
                         ,GRAPHISME          ,3,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
                         ,AUTOUR DU JEU      ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
                         ,BD ADULTES         ,12,9,28,1,7,0,12,15,19,2,9,0,6,8,36,0,1,0,12,0,22,0
                         ,BD JEUNESSE        ,68,65,149,6,67,0,44,48,158,0,64,0,53,102,180,0,50,0,20,0,70,0
                         ,CINEMA ADULTES     ,1,12,25,0,4,0,19,0,9,1,5,0,18,13,17,0,27,0,4,0,5,0
                         ,CINEMA JEUNESSE    ,6,14,30,3,12,0,9,4,26,0,7,0,10,22,46,0,8,0,5,0,1,0
                         ,CINEMA             ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
                         ,DANSE              ,0,0,0,0,0,0,1,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0
                         ,GEOGRAPHIE         ,2,4,9,0,9,0,5,2,7,0,3,0,1,4,4,0,0,0,2,0,1,0
